rank,song,artist,Previous week,weeks on chart
1,Ginger (feat. Burna Boy),Wizkid,1,6
2,Essence (feat. Tems),Wizkid,3,6
3,Feeling,LADIPOE and  Buju,2,6
4,Show Me,Joeboy,4,6
5,Testimony,Buju,5,6
6,FOR YOU (feat. Davido),Teni featuring Davido,7,6
7,Coming,Naira Marley and  Busiswa,6,6
8,Bounce (Official Video),Ruger,11,3
9,Bloody Samaritan,Ayra Starr,0,1
10,Outside,Buju,9,6
11,Enjoyment,Yemi Alade,8,6
12,La La (Official Video) (feat. CKay),Davido,10,6
13,Rock (Official Video),Olamide,13,6
14,Soundgasm,Rema,14,4
15,Kilometre,Burna Boy,19,6
16,INJURE ME,Teni,15,6
17,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,16,6
18,Understand (Lyric Video),Omah Lay,12,6
19,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,17,4
20,Mercy (Official Audio),Falz,0,1
21,Slow Down,King Promise,18,6
22,Music Messiah,DJ Neptune,26,3
23,Somebody Baby,Davido and  Peruzzi,20,4
24,Godly,Omah Lay,21,5
25,KOLO (feat. Oxlade),Ice Prince,24,6
26,Dimension (Official Video),JAE5,22,5
27,The Best (feat. Mayorkun),Davido,25,6
28,Peru,Fireboy DML,28,2
29,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,27,4
30,Non Living Thing (feat. Oxlade) ,Sarkodie,0,1
31,Who Talk (feat. Adekunle Gold & Ria Sean) ,Moelogo,0,1
32,Professor  Peller (feat. Zlatan) ,Seyi Vibez,0,1
33,Black (feat. Mr Eazi) ,Victor AD,0,1
34,This Your Body,Skales and Davido,29,6
35,The Key,Tems,32,5
36,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",0,1
37,Squander,Niniola,23,4
38,Rise Up   ,2Baba and  Falz,49,6
39,Party Next Door,Dangbana Republik and  Bella Shmurda,31,6
40,PEPE,Davido,35,2
41,All (Official Audio) (feat. Davido),Rexxie,33,4
42,Verified ft. Mayorkun,Laycon,34,5
43,System (feat. WizKid),Dave and  Wizkid,0,1
44,Off You ft. KiDi,Young Jonn,38,5
45,Pronto ft. Omah Lay,Ajebo Hustlers,39,4
46,Monalisa,Lojay and  Sarz,41,3
47,AWAY,Ayra Starr,44,4
48,Loco ft. Mayorkun,KDDO,43,5
49,Naira Marley,Zinoleesky,46,2
50,Fine Wine (feat. King Promise & Joeboy),R2Bees,42,2
