rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
78,Champion,Fireboy DML,71,301,301,80,42,56,56,129.57142857142858
79,Wonderful,Burna Boy,44,301,73,97,301,50,50,130.85714285714286
80,Smooth MF,Agho,54,95,39,62,64,301,301,130.85714285714286
81,JA ARA E,Burna Boy,66,89,301,88,301,41,41,132.42857142857142
82,Play Play (feat. Burna Boy),J Hus,88,74,53,48,70,301,301,133.57142857142858
83,Bounce,Rema,93,75,80,301,301,57,57,137.71428571428572
84,Joro,WizKid,83,73,74,63,73,301,301,138.28571428571428
85,Holy Ground (feat. Nicki Minaj),DaVido,301,86,50,55,301,91,91,139.28571428571428
86,Be Honest (feat. Burna Boy),Jorja Smith,77,99,98,301,301,77,77,147.14285714285714
87,I No Go Give Up On You,Mr Eazi,89,80,100,301,301,88,88,149.57142857142858
88,Fkn Around (feat. Megan Thee Stallion),Cuppy Remix - Phony Ppl,78,93,301,94,301,90,90,149.57142857142858
89,REQUIRE,DJ Tunez,63,301,301,96,99,100,100,151.42857142857142
90,Baajo,Kwesi Arthur,301,62,40,301,301,54,54,159.0
91,CHOP N PRAY,WurlD,301,301,301,46,84,74,74,168.71428571428572
92,African Girl Bad,Zoro,301,76,52,301,301,75,75,168.71428571428572
93,Love Nobody,WurlD,301,46,71,301,301,84,84,169.71428571428572
94,Repeat (feat. Koffee),J Hus,94,33,66,301,95,301,301,170.14285714285714
95,Bad Shit,Jarreau Vandal,91,63,81,73,301,301,301,173.0
96,Do To Me,H.E.R.,59,77,83,301,90,301,301,173.14285714285714
97,Take Me Home,Lady Donli,301,65,87,76,89,301,301,174.28571428571428
98,Fashion Killer,Ayra Starr,301,301,301,90,78,85,85,177.28571428571428
99,Risky,DaVido,301,94,94,84,81,301,301,179.42857142857142
100,Beamer (Bad Boys),Rema,81,90,301,99,92,301,301,180.71428571428572
101,So Crazy (feat. Lil Baby),DaVido,301,301,301,301,71,23,23,188.71428571428572
102,juju,Zubi,301,301,78,301,301,70,70,203.14285714285714
103,Pamela,Wauve,36,301,301,87,98,301,301,203.57142857142858
104,Nobody (Amapiano),DJ Neptune,92,301,301,301,301,82,82,208.57142857142858
105,My Oasis (feat. Burna Boy),Sam Smith,301,301,88,78,97,301,301,209.57142857142858
106,Body,Reen,301,301,301,8,45,301,301,222.57142857142858
107,ELI,Fireboy DML,301,301,301,301,301,38,38,225.85714285714286
108,Luva Luva,Runtown,301,54,24,301,301,301,301,226.14285714285714
109,Peace Of Mind,Ayo Jay,37,301,301,301,51,301,301,227.57142857142858
110,Under Pressure,Jay Teazer,301,301,301,60,33,301,301,228.28571428571428
111,Ke Star,Remix - Focalistic,301,57,45,301,301,301,301,229.57142857142858
112,Roll It,Richie Benson,301,301,301,301,301,53,53,230.14285714285714
113,Marry Me,Smallgod,301,301,301,74,72,301,301,235.85714285714286
114,Nnobody,Nnabu,84,301,301,301,68,301,301,236.71428571428572
115,The Recipe,Aluna,67,301,301,301,96,301,301,238.28571428571428
116,Anybody,Burna Boy,72,96,301,301,301,301,301,239.0
117,Oh My,Lavaud,301,87,301,81,301,301,301,239.0
118,Surround Me,Ayotemi,301,301,301,301,301,87,87,239.85714285714286
119,Confirmed,DarkoVibes,301,301,301,301,301,92,92,241.28571428571428
120,New York City Girl,Fireboy DML,301,301,301,301,301,95,95,242.14285714285714
121,Fever,Iyanya,301,301,301,301,301,99,99,243.28571428571428
122,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","DJ Tunez, Omah Lay",301,12,301,301,301,301,301,259.7142857142857
123,Trouble,"DRB Lasgidi, Tems",301,31,301,301,301,301,301,262.42857142857144
124,Might Let You (feat. Davido),Tink,301,301,301,301,62,301,301,266.85714285714283
125,Angelina,Juls,301,301,68,301,301,301,301,267.7142857142857
126,Sweetie Odo,Juls,68,301,301,301,301,301,301,267.7142857142857
127,Comfortable (feat. Davido),Preme,301,301,301,75,301,301,301,268.7142857142857
128,Simmer (feat. Burna Boy),Mahalia,301,301,79,301,301,301,301,269.2857142857143
129,Dollas and Cents,TOBi,301,301,301,301,79,301,301,269.2857142857143
130,Badman Love,Remix - Skales,82,301,301,301,301,301,301,269.7142857142857
131,Proppa,Etana,301,301,301,301,82,301,301,269.7142857142857
132,Midnight Boom,with ChocQuibTown & Afro B - Ir Sais,301,85,301,301,301,301,301,270.14285714285717
133,Simple Things [Feat. Tory Lanez & Rema],DJDS,301,301,301,301,87,301,301,270.42857142857144
134,Grandad,NSG,301,301,301,301,88,301,301,270.57142857142856
135,FIND YOUR WAY BACK,Beyoncé,90,301,301,301,301,301,301,270.85714285714283
136,Going Out Of My Way (feat. Mr Eazi),M.O,301,91,301,301,301,301,301,271.0
137,Curious (feat. Jimi Tents & Garren),VanJess,301,92,301,301,301,301,301,271.14285714285717
138,Beg Friend,Juls,301,301,92,301,301,301,301,271.14285714285717
139,Dumebi (Remix),Rema,301,301,95,301,301,301,301,271.57142857142856
140,Wishes,Juls,96,301,301,301,301,301,301,271.7142857142857
141,"Sorrow, Tears And Blood",GoldLink,98,301,301,301,301,301,301,272.0
142,On It (feat. PnB Rock & K1NG),Crumz,301,301,301,98,301,301,301,272.0
