rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE and  Buju,1,8
2,Essence (feat. Tems),Wizkid,2,8
3,Bounce (Official Video),Ruger,3,8
4,Testimony,Buju,12,8
5,Peru,Fireboy DML,5,8
6,Outside,Buju,6,8
7,Understand (Lyric Video),Omah Lay,7,8
8,Show Me,Joeboy,8,5
9,Bloody Samaritan,Ayra Starr,14,3
10,Soundgasm,Rema,9,8
11,Rock (Official Video),Olamide,10,8
12,La La (Official Video) (feat. CKay),Davido,11,8
13,Ginger (feat. Burna Boy),Wizkid,4,8
14,FOR YOU (feat. Davido),Teni,20,6
15,Lie (Audio),Kizz Daniel,15,2
16,Somebody Baby,Davido and  Peruzzi,17,8
17,Ojuju,Troniq Music and  Oxlade,22,8
18,Dimension (Official Video),JAE5,16,8
19,Non Living Thing (feat. Oxlade) ,Sarkodie,19,6
20,Mercy (Official Audio),Falz,23,3
21,Slow Down,King Promise,21,8
22,Question (feat. Don Jazzy),Burna Boy,0,1
23,Music Messiah,DJ Neptune,24,6
24,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,25,7
25,The Key,Tems,27,8
26,Coming,Naira Marley and  Busiswa,13,7
27,This Your Body,Skales and Davido,28,8
28,INJURE ME,Teni,26,4
29,Somebody’s Son (Audio),Tiwa Savage,0,1
30,PEPE,Davido,29,3
31,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,30,3
32,Tales By Moonlight (feat. Amaarae) ,Tiwa Savage,0,1
33,Kilometre,Burna Boy,18,3
34,Monalisa,Lojay and  Sarz,35,8
35,Rise Up   ,2Baba and  Falz,32,7
36,Loco ft. Mayorkun,KDDO,40,3
37,Fine Wine (feat. King Promise & Joeboy),R2Bees,34,2
38,Fendi (feat. Joeboy),Blaqbonez,37,8
39,Southy Love (feat. Fireboy DML),Peruzzi,44,8
40,Godly,Omah Lay,45,4
41,Anoti (Audio),Wizkid,0,1
42,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",38,7
43,Let Me Know (Official Audio),Mayorkun,48,2
44,Celebrate Me (Official Video),Patoranking,50,2
45,Enjoyment (lyric Video),Yemi Alade,0,1
46,Ghetto Vigilante   ,Uche B and  Kwesi Arthur,0,1
47,It Is What It Is,Adekunle Gold,49,2
48,Mood (Audio) (feat. Buju),Wizkid,0,1
49,Feel Good   ,MohBad,46,2
50,Money (feat. Teni),terri,0,1
