rank,song,artist,apple,boom,youtube,RT
85,Sore (Remix),"Yaw Tog, Stormzy & Kwesi Arthur",300,40,250,423.3333333333333
86,DKT,Oxlade,30,310,250,423.3333333333333
87,Focus,Joeboy,300,41,250,424.3333333333333
88,PANTIES,Kagwe Mungai,31,310,250,424.3333333333333
89,Jackpot (feat. Bella Shmurda),Crayon,32,310,250,425.3333333333333
90,Sika Aba Fie,"Kweku Darlington, Yaw Tog, Kweku Flick",300,42,250,425.3333333333333
91,Kenkey Seller (Remix) [feat. Medikal],Quamina Mp,33,310,250,426.3333333333333
92,Rush,Dangbana Republik X Bella Shmurda,300,43,250,426.3333333333333
93,Inside House,"D-Tac, Soundz",34,310,250,427.3333333333333
94,Sere (Remix),"Spinall, Fireboy DML, 6LACK",35,310,250,428.3333333333333
95,Kiss Me Like You Miss Me,CKay,300,45,250,428.3333333333333
96,Celebration,Joeboy,300,46,250,429.3333333333333
97,Sw\xc3\xa9,Mus,36,310,250,429.3333333333333
98,Bomb,DJ Tunez & J. Anthoni,300,47,250,430.3333333333333
99,PonPon (feat. Fave),Olamide,37,310,250,430.3333333333333
100,Juju,Idyl,38,310,250,431.3333333333333
101,I Miss You,Joda Kgosi,300,50,250,433.3333333333333
102,KAMBA,Terry Apala,40,310,250,433.3333333333333
103,Ohemaa,Kelvin Black,41,310,250,434.3333333333333
104,Melanin,June Freedom,42,310,250,435.3333333333333
105,Away,Ayra Starr,300,54,250,437.3333333333333
106,Chill,KO-C,45,310,250,438.3333333333333
107,Sukari,Zuchu,300,58,250,441.3333333333333
108,Let Dem Kno,"Smallgod, Tiwa Savage, Kwesi Arthur",50,310,250,443.3333333333333
109,Funu,"Kabza De Small, DJ Maphorisa and TRESOR",300,60,250,443.3333333333333
110,Lifestyle,Fireboy DML,51,310,250,444.3333333333333
111,Walk On The Beach,Femi Leye,300,61,250,444.3333333333333
112,Sika (feat. Sarkodie & Kweku Flick) [Remix],Sista Afia,52,310,250,445.3333333333333
113,Every Weekend,DJ Tunez & J. Anthoni,300,62,250,445.3333333333333
114,"Kubo (feat. K.O, Focalistic & Bassie)","Kwesta featuring K.O, Focalistic and Bassie",300,63,250,446.3333333333333
115,Duro,"Ojayy Wright, Bad Boy Timz",53,310,250,446.3333333333333
116,Roju,Chiké,300,64,250,447.3333333333333
117,Yuda,Nandy,54,310,250,447.3333333333333
118,Angelina (feat. Zlatan),Dreamboy,300,65,250,448.3333333333333
119,Tropical Breeze,"Magnom, Caine",56,310,250,449.3333333333333
120,Ball Till We Fall (feat. Bella Shmurda),Kida Kudz featuring Bella Shmurda,300,66,250,449.3333333333333
121,BACK TO THE SENDER (feat. Kofi Kinaata),Quamina MP,300,67,250,450.3333333333333
122,Akekho,Kekelingo,300,68,250,451.3333333333333
123,Okay,Adekunle Gold,58,310,250,451.3333333333333
124,"Don Dada (feat. Boyymaph, Moudini & LT)",Killer Producer,59,310,250,452.3333333333333
125,Vanity,MzVee and Kelvyn Boy,300,69,250,452.3333333333333
126,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,60,310,250,453.3333333333333
127,PINDA,Nedy Music,300,70,250,453.3333333333333
128,I Like That,The Great Eddy,300,71,250,454.3333333333333
129,Southside,Delvino,61,310,250,454.3333333333333
130,Fendi (feat. Joeboy),Blaqbonez,62,310,250,455.3333333333333
131,Aroma Persona,Izzik,300,72,250,455.3333333333333
132,AJE (feat. Remy Crown),DJ Big N,300,73,250,456.3333333333333
133,Know Person,Sean Tizzle,300,74,250,457.3333333333333
134,Pull Up,Gabzy,300,75,250,458.3333333333333
135,Fresh (feat. Samba Peuzzi),Iss 814,300,76,250,459.3333333333333
136,LEGGO,"Serge Ibaka, Tayc",67,310,250,460.3333333333333
137,Kwadede,Kwabena Kwabena,300,77,250,460.3333333333333
138,Baajo,"Kwesi Arthur, Joeboy",68,310,250,461.3333333333333
139,Cassette (feat. King Promise),Nanky,300,78,250,461.3333333333333
140,The Key,Tems,69,310,250,462.3333333333333
141,Duduke (French),Simi and Deja,300,80,250,463.3333333333333
142,Petty,Olamide,300,81,250,464.3333333333333
143,Have Fun,Bad Boy Timz,71,310,250,464.3333333333333
144,Visa (Remix),"Kelvyn Boy, Joey B, Kwesi Arthur",72,310,250,465.3333333333333
145,1. Confusion,M.anifest,300,83,250,466.3333333333333
146,6AM,Blaq Jerzee,74,310,250,467.3333333333333
147,Leg Work,KOREDE BELLO,300,84,250,467.3333333333333
148,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,300,85,250,468.3333333333333
149,MOSLADO,Teni,300,86,250,469.3333333333333
150,Addicted,DJ Tunez & J. Anthoni,300,87,250,470.3333333333333
151,Verified (feat. Mayorkun),Laycon,77,310,250,470.3333333333333
152,Baby Go,"Otile Brown, Kizz Daniel",78,310,250,471.3333333333333
153,Low Key Feat. Sarkodie (feat. Sarkodie),E.L,300,89,250,472.3333333333333
154,Simple Instruction,"Smallgod, R2Bees",300,90,250,473.3333333333333
155,Jowo,Davido,80,310,250,473.3333333333333
156,Omo X 100 (feat. Olamide),Reminisce,300,91,250,474.3333333333333
157,Ukimwona,H_ART THE BAND,300,92,250,475.3333333333333
158,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,300,93,250,476.3333333333333
159,Give It to Me,"Smallgod, 2BABA",300,94,250,477.3333333333333
160,Loading (feat. Bad Boy Timz),Olamide,84,310,250,477.3333333333333
161,Danca,Acebergtm,85,310,250,478.3333333333333
162,Complicated (feat. Yemi Alade & Bisa Kdei),Philkeyz featuring Yemi Alade and Bisa Kdei,300,95,250,478.3333333333333
163,Big Boss,Didi B,86,310,250,479.3333333333333
164,Wenge,Mimi Mars,300,97,250,480.3333333333333
165,Wagwan,Laycon,300,98,250,481.3333333333333
166,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",300,99,250,482.3333333333333
167,Sawa,Jux,300,100,250,483.3333333333333
168,The Don,Mr Eazi,300,101,250,484.3333333333333
169,Birthday Song (feat. Khaligraph Jones),"Nviiri The Storyteller, Sauti Sol and Bensoul featuring Khaligraph Jones",300,102,250,485.3333333333333
170,Changanya (feat. JUX & Kenz Ville),Jay Rox,300,103,250,486.3333333333333
171,Kamata,Diamond Platnumz,300,104,250,487.3333333333333
172,First Sermon,Black Sherif,300,106,250,489.3333333333333
173,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,300,107,250,490.3333333333333
174,Touch It,KiDi,300,108,250,491.3333333333333
175,Felony,CKay,300,310,8,612.6666666666666
176,Infinity (feat. Omah Lay),Olamide,300,310,9,613.0
177,23,Burna Boy,300,310,12,614.0
178,All My Life (feat. Oxlade),M.I Abaga,300,310,22,617.3333333333334
179,Ayra Starr,MavinRecords,300,310,23,617.6666666666666
180,Dancina (Official Video),Yemi Alade,300,310,24,618.0
181,Fine Fine,Korede Bello,300,310,32,620.6666666666666
182,Enjoy (Remix),Tekno,300,310,33,621.0
183,Rema,Rema,300,310,37,622.3333333333334
184,Off You (Audio),KiDi,300,310,38,622.6666666666666
185,Patoranking,Patoranking,300,310,42,624.0
186,High Way,Dj Kaywise,300,310,43,624.3333333333334
187,Flex,Kizz Daniel,300,310,46,625.3333333333334
188,Koleyewon,Naira Marley,300,310,48,626.0
189,Flavour,Flavour,300,310,55,628.3333333333334
