rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Ginger (feat. Burna Boy),Wizkid,82,75,29,33,39,51.6
2,Essence (feat. Tems),Wizkid,5,310,1,9,3,65.6
3,Feeling ft. Buju,LADIPOE and  Buju,7,19,9,5,290,66.0
4,Show Me,Joeboy,32,77,11,23,290,86.6
5,Testimony,Buju,19,14,12,350,58,90.6
6,FOR YOU,Teni featuring Davido,300,70,25,29,30,90.8
7,Coming ft. Busiswa,Naira Marley and  Busiswa,76,63,24,13,290,93.2
8,Bounce,Ruger,23,310,5,24,162,104.8
9,Bloody Samaritan,Ayra Starr,17,3,53,350,144,113.4
10,Outside,Buju,6,310,8,2,290,123.2
11,Enjoyment,Yemi Alade,62,17,30,350,158,123.4
12,La La ft. Ckay,Davido,28,310,23,3,290,130.8
13,Rock (Official Video),Olamide,11,11,10,350,290,134.4
14,Soundgasm,Rema,12,18,7,350,290,135.4
15,Kilometre,Burna Boy,29,310,26,28,290,136.6
16,INJURE ME,Teni,61,76,250,11,290,137.6
17,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,47,43,8,290,137.6
18,Understand (Lyric Video),Omah Lay,3,10,46,350,290,139.8
19,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,71,18,31,290,142.0
20,Mercy (Official Audio),Falz,16,6,52,350,290,142.8
21,Slow Down (feat. Tion Wayne),King Promise,22,310,21,350,13,143.2
22,Music Messiah,DJ Neptune,300,20,250,6,143,143.8
23,Somebody Baby ft. Davido,Davido and  Peruzzi,83,310,39,12,290,146.8
24,Godly,Omah Lay,300,73,20,350,9,150.4
25,KOLO (feat. Oxlade),Ice Prince,66,310,36,350,37,159.8
26,Dimension (feat. Skepta & Rema),JAE5,53,310,13,350,80,161.2
27,The Best (feat. Mayorkun),Davido,78,78,37,350,290,166.6
28,Peru,Fireboy DML,1,310,250,1,290,170.4
29,Ke Star,Focalistic featuring Vigro Deep,300,72,4,350,159,177.0
30,Non Living Thing (feat. Oxlade) ,Sarkodie,8,1,250,350,290,179.8
31,Who Talk (feat. Adekunle Gold & Ria Sean) ,Moelogo,31,2,250,350,290,184.6
32,Professor  Peller (feat. Zlatan) ,Seyi Vibez,25,9,250,350,290,184.8
33,Black (feat. Mr Eazi) ,Victor AD,30,5,250,350,290,185.0
34,This Your Body ft. Davido,Skales and Davido,300,48,250,40,290,185.6
35,The Key,Tems,38,310,250,49,290,187.4
36,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",20,32,250,350,290,188.4
