rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Ginger (feat. Burna Boy),Wizkid,69,55,34,30,6,38.8
2,Feeling ft. Buju,"LADIPOE, Buju",3,67,5,4,290,73.8
3,Show Me,Joeboy,11,58,17,21,290,79.4
4,Coming ft. Busiswa,"Naira Marley, Busiswa",50,39,21,12,290,82.4
5,FOR YOU,Teni featuring Davido,300,49,30,26,58,92.6
6,Bounce,Ruger,10,310,1,22,157,100.0
7,Outside,Buju,5,310,8,2,290,123.0
8,Essence ft. Tems,Wizkid,4,310,4,8,290,123.2
9,La La ft. Ckay,Davido,9,310,16,1,290,125.2
10,INJURE ME,Teni,26,56,250,10,290,126.4
11,Rock (Official Video),Olamide,6,1,3,350,290,130.0
12,Soundgasm,Rema,23,2,2,350,290,133.4
13,Egbon ft. Phyno,"Masterkraft, Phyno",51,33,250,44,290,133.6
14,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,41,42,7,290,136.0
15,Pempe ft. Yemi Alade,Seyi Shay and Yemi Alade,300,28,47,16,290,136.2
16,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,50,24,28,290,138.4
17,Kilometre,Burna Boy,48,310,23,25,290,139.2
18,PEPE ft. Davido,"L.A.X, Davido",58,310,44,6,290,141.6
19,Music Messiah,DJ Neptune,300,3,250,5,154,142.4
20,Somebody Baby ft. Davido,"Davido, Peruzzi",80,310,22,11,290,142.6
21,Bling (feat. Buju & Amaarae),Blaqbonez,22,40,19,350,290,144.2
22,Godly,Omah Lay,300,52,13,350,13,145.6
23,Pronto ft. Omah Lay,"Ajebo Hustlers, Omah Lay",70,310,33,33,290,147.2
24,The Best (feat. Mayorkun),Davido,39,59,27,350,290,153.0
25,Dimension (feat. Skepta & Rema),JAE5,27,310,11,350,73,154.2
26,KOLO (feat. Oxlade),Ice Prince,45,310,38,350,35,155.6
27,"Slow Down (feat. H.E.R., DaVido, & Oxlade)",King Promise,14,310,37,350,70,156.2
28,All (Official Audio) (feat. Davido),Rexxie,13,84,48,350,290,157.0
29,Understand (Lyric Video),Omah Lay,1,95,50,350,290,157.2
30,Squander,Niniola,300,310,36,3,155,160.8
31,Ke Star,Focalistic featuring Vigro Deep,300,51,7,350,153,172.2
32,Cho Cho ft. Davido & Mayorkun,Zlatan,300,34,250,14,290,177.6
33,This Your Body ft. Davido,Skales and Davido,300,14,250,39,290,178.6
34,Money ft. Bella Shmurda & Mohbad,"Terri, Bella Shmurda, Mohbad",300,21,250,37,290,179.6
35,World ft. Bella Shmurda,"Dangbana Republik, Bella Shmurda",300,31,250,32,290,180.6
36,The Key,Tems,12,310,250,48,290,182.0
37,Sere (Remix),"Spinall, Fireboy DML, 6LACK",21,6,250,350,290,183.4
38,Fine Wine (feat. King Promise & Joeboy),R2Bees,32,10,250,350,290,186.4
39,Blessed (feat. Damian Marley),Wizkid,20,310,250,350,12,188.4
40,Verified ft. Mayorkun,Laycon,81,310,250,24,290,191.0
41,Jackpot ft. Bella Shumurda,Crayon,60,310,250,46,290,191.2
42,AWAY,Ayra Starr,300,54,250,350,7,192.2
