rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Ada Ehi,20,1,3,8.0
2,Congratulations (feat. Buchi Atuonwu),Ada Ehi,24,3,27,18.0
3,Too Faithful,Moses Bliss,2,4,58,21.333333333333332
4,Worship Your Maker,Dunsin Oyekan,19,58,8,28.333333333333332
5,Omemma,Judikay,17,24,50,30.333333333333332
6,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,6,85,20,37.0
7,Now,Ada Ehi,59,14,40,37.666666666666664
8,Jehovah Overdo,Chidinma,15,40,106,53.666666666666664
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",97,50,63,70.0
10,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba",Nathaniel Bassey,11,22,450,161.0
11,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,4,31,450,161.66666666666666
12,Hosanna,Steve Crown,47,16,450,171.0
13,You are Yahweh,Steve Crown,500,7,17,174.66666666666666
14,Obinasom,Mercy Chinwo,500,15,14,176.33333333333334
15,Onyedikagi (feat. Glowrie),Mercy Chinwo,16,510,6,177.33333333333334
16,Way Maker,Sinach,500,23,16,179.66666666666666
17,Covenant Keeping God,Jimmy D Psalmist,3,510,37,183.33333333333334
18,Jesus (feat. Mercy Chinwo),Samsong,500,19,32,183.66666666666666
19,Beautiful (feat. Nathaniel Bassey),Sinach,42,510,2,184.66666666666666
20,You are Great,Steve Crown,500,10,45,185.0
21,Faithful God (Live),Onos,78,29,450,185.66666666666666
22,Fragrance to Fire,Dunsin Oyekan,500,13,56,189.66666666666666
23,Ye Obua Mi (My Help),Joe Mettle,33,92,450,191.66666666666666
24,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,12,510,57,193.0
25,My Father My God,Jimmy D Psalmist,65,65,450,193.33333333333334
26,Yes And Amen,Tope Alabi,500,39,43,194.0
27,Nara,Tim Godfrey,500,62,21,194.33333333333334
28,NO OTHER NAME,Frank Edwards,500,30,53,194.33333333333334
29,At All Cost,Dunsin Oyekan,500,42,41,194.33333333333334
30,Na You Dey Reign,Mercy Chinwo,500,44,44,196.0
31,You Are Worthy,Tope Alabi,500,61,28,196.33333333333334
32,Hallelujah No Go Finish,Freke Umoh,23,510,60,197.66666666666666
33,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,89,510,7,202.0
34,Never Go Down (feat. Limoblaze),Ada Ehi,500,2,104,202.0
35,Chinedum,Mercy Chinwo,500,74,34,202.66666666666666
36,Adom Grace,Diana Hamilton,500,5,105,203.33333333333334
37,In Your Hands,Moses Bliss,500,80,31,203.66666666666666
38,Amazing God,Mercy Chinwo,1,510,103,204.66666666666666
39,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,53,65,206.0
40,All That Matters,Minister GUC,500,66,54,206.66666666666666
41,Imela,Steve Crown,500,64,62,208.66666666666666
42,Halleluyah,Tope Alabi,500,77,55,210.66666666666666
43,Suddenly,Mercy Chinwo,25,510,107,214.0
44,Battles,Tim Godfrey,99,510,38,215.66666666666666
45,Under The Canopy,Frank Edwards,500,93,59,217.33333333333334
46,All Things Are Ready,Sinach,500,89,64,217.66666666666666
47,I Overcame,Ada Ehi,500,70,97,222.33333333333334
48,Eze Nara Ekele,Steve Crown,500,100,80,226.66666666666666
49,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,8,450,319.3333333333333
50,More Than Enough,Ada Ehi,500,9,450,319.6666666666667
51,Thank You For My Life,Ada Ehi,500,11,450,320.3333333333333
52,Fix My Eyes On You ft. Sinach,Ada Ehi,500,12,450,320.6666666666667
53,Jesus the Son of God,Chidinma,5,510,450,321.6666666666667
54,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple",Moses Bliss,500,17,450,322.3333333333333
55,Roar,Dunsin Oyekan,7,510,450,322.3333333333333
56,Chim Ooo,Ernieola Olusoga,8,510,450,322.6666666666667
57,All The Glory,Steve Crown,500,18,450,322.6666666666667
58,"A New Wave of Glory (feat. Tosin Bee, Segunfunmi, Moses Onofeghara & Femi Okunuga)",One Hallelujah,9,510,450,323.0
59,Your Name Is Jesus,Eljoe Onoja,10,510,450,323.3333333333333
60,Yeshua Hamashiach,Nathaniel Bassey,500,20,450,323.3333333333333
61,Taking Care,Moses Bliss,500,21,450,323.6666666666667
62,Thank You,Kobby Mantey and  Joe Mettle,13,510,450,324.3333333333333
63,I Bow,Judikay,14,510,450,324.6666666666667
64,Spirit Chant,Victoria Orenze,500,25,450,325.0
65,Emmanuel,Nathaniel Bassey,500,26,450,325.3333333333333
66,CHIOMA (AFRO VIBE),Frank Edwards,500,27,450,325.6666666666667
67,Hallelujah (feat. Dunsin Oyekan),Joe Mettle,18,510,450,326.0
68,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,28,450,326.0
69,Made In Amazing,Timothy Bassey,21,510,450,327.0
70,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,32,450,327.3333333333333
71,You Are God (feat. Stella Damasus) [Remix],Eliaz Alex,22,510,450,327.3333333333333
72,Covenant Keeper,David G,500,33,450,327.6666666666667
73,Your Love ft. Tope Alabi,Steve Crown,500,34,450,328.0
74,Yah,Dunsin Oyekan,500,36,450,328.6666666666667
