rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Ada Ehi,15,1,3,6.333333333333333
2,Too Faithful,Moses Bliss,1,3,20,8.0
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,22,5,28,18.333333333333332
4,Worship Your Maker,Dunsin Oyekan,14,59,8,27.0
5,Omemma,Judikay,12,24,51,29.0
6,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,4,82,21,35.666666666666664
7,Now,Ada Ehi,55,16,41,37.333333333333336
8,Nara,Tim Godfrey,96,68,22,62.0
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",91,43,94,76.0
10,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba",Nathaniel Bassey,7,20,450,159.0
11,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,2,31,450,161.0
12,Jehovah Overdo,Chidinma,10,32,450,164.0
13,Hosanna,Steve Crown,42,13,450,168.33333333333334
14,You are Yahweh,Steve Crown,500,7,17,174.66666666666666
15,Obinasom,Mercy Chinwo,500,11,14,175.0
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,11,510,6,175.66666666666666
17,Way Maker,Sinach,500,23,16,179.66666666666666
18,Ye Obua Mi (My Help),Joe Mettle,25,72,450,182.33333333333334
19,Beautiful (feat. Nathaniel Bassey),Sinach,36,510,2,182.66666666666666
20,Faithful God (Live),Onos,74,25,450,183.0
21,Jesus (feat. Mercy Chinwo),Samsong,500,22,33,185.0
22,You are Great,Steve Crown,500,10,46,185.33333333333334
23,My Father My God,Jimmy D Psalmist,61,56,450,189.0
24,Fragrance to Fire,Dunsin Oyekan,500,15,56,190.33333333333334
25,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,8,510,57,191.66666666666666
26,Yes And Amen,Tope Alabi,500,39,44,194.33333333333334
27,At All Cost,Dunsin Oyekan,500,42,42,194.66666666666666
28,Hallelujah No Go Finish,Freke Umoh,17,510,60,195.66666666666666
29,Covenant Keeping God,Jimmy D Psalmist,41,510,38,196.33333333333334
30,Na You Dey Reign,Mercy Chinwo,500,47,45,197.33333333333334
31,You Are Worthy,Tope Alabi,500,64,29,197.66666666666666
32,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,85,510,7,200.66666666666666
33,All That Matters,Minister GUC,500,51,54,201.66666666666666
34,In Your Hands,Moses Bliss,500,81,32,204.33333333333334
35,NO OTHER NAME,Frank Edwards,500,33,83,205.33333333333334
36,Chinedum,Mercy Chinwo,500,83,35,206.0
37,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,58,64,207.33333333333334
38,My Father & My Friend,Elijah Oyelade,95,510,19,208.0
39,Imela,Steve Crown,500,65,62,209.0
40,Halleluyah,Tope Alabi,500,79,55,211.33333333333334
41,Battles,Tim Godfrey,93,510,39,214.0
42,Under The Canopy,Frank Edwards,500,94,59,217.66666666666666
43,All Things Are Ready,Sinach,500,92,63,218.33333333333334
44,Bless Me (feat. Ada Ehi),Mercy Masika,100,510,87,232.33333333333334
45,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,317.3333333333333
46,Adom Grace,Diana Hamilton,500,4,450,318.0
47,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,8,450,319.3333333333333
48,More Than Enough,Ada Ehi,500,9,450,319.6666666666667
49,Thank You For My Life,Ada Ehi,500,12,450,320.6666666666667
50,Jesus the Son of God,Chidinma,3,510,450,321.0
51,Fix My Eyes On You ft. Sinach,Ada Ehi,500,14,450,321.3333333333333
52,Roar,Dunsin Oyekan,5,510,450,321.6666666666667
53,Chim Ooo,Ernieola Olusoga,6,510,450,322.0
54,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple",Moses Bliss,500,17,450,322.3333333333333
55,All The Glory,Steve Crown,500,18,450,322.6666666666667
56,I Bow,Judikay,9,510,450,323.0
57,Taking Care,Moses Bliss,500,19,450,323.0
58,Yeshua Hamashiach,Nathaniel Bassey,500,21,450,323.6666666666667
59,Hallelujah (feat. Dunsin Oyekan),Joe Mettle,13,510,450,324.3333333333333
60,Made In Amazing,Timothy Bassey,16,510,450,325.3333333333333
61,Emmanuel,Nathaniel Bassey,500,26,450,325.3333333333333
62,Your Love ft. Tope Alabi,Steve Crown,500,27,450,325.6666666666667
63,Capable God,Judikay,18,510,450,326.0
64,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,28,450,326.0
65,Good God,Limoblaze and  Ada Ehi,19,510,450,326.3333333333333
66,Spirit Chant,Victoria Orenze,500,29,450,326.3333333333333
67,Holy,Monica Eze,20,510,450,326.6666666666667
68,CHIOMA (AFRO VIBE),Frank Edwards,500,30,450,326.6666666666667
69,God Dey (Live),KobbySalm,21,510,450,327.0
70,Light it up (feat. Savanah),LaToyah Bless,23,510,450,327.6666666666667
71,Covenant Keeper,David G,500,34,450,328.0
72,Ebube Jehovah,Victor Ike,24,510,450,328.0
73,Your Name Is Jesus,Eljoe Onoja,26,510,450,328.6666666666667
74,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,36,450,328.6666666666667
75,Song of Victory,Esther Olugbemi,27,510,450,329.0
76,Yah,Dunsin Oyekan,500,37,450,329.0
77,No Troubles,Chris Morgan,28,510,450,329.3333333333333
78,Nyansabuakwa Nyame,Diana Hamilton,500,38,450,329.3333333333333
79,This Love,Chidinma,29,510,450,329.6666666666667
80,You I Live For ft. Loveworld Indomitable Choir,Moses Bliss,500,40,450,330.0
81,In This Place,Minister GUC,30,510,450,330.0
82,New Level,Ada Ehi,500,41,450,330.3333333333333
83,One Song,Ikiri Lawrence,32,510,450,330.6666666666667
84,Never Forget Your Love,Anny,33,510,450,331.0
85,xc3x8cmxe1xbbx8dxccx81lxe1xbaxb9xccx80,T Sharp,34,510,450,331.3333333333333
86,Yesu Mo,Joe Mettle,500,44,450,331.3333333333333
87,Have Mercy (Live),Victoria Orenze,500,45,450,331.6666666666667
88,More Than Conquerors,Chelsea Levi,35,510,450,331.6666666666667
89,My Beautifier,Chris Shalom,500,46,450,332.0
90,You Remain the Same,Dunsin Oyekan,500,48,450,332.6666666666667
91,"A New Wave of Glory (feat. Tosin Bee, Segunfunmi, Moses Onofeghara & Femi Okunuga)",One Hallelujah,38,510,450,332.6666666666667
92,Finally,Ada Ehi,500,49,450,333.0
93,All in All,CalledOut Music,39,510,450,333.0
94,iTestify,Ada Ehi,500,50,450,333.3333333333333
95,Hope (Live),Tosin Ajolore,40,510,450,333.3333333333333
96,Je Laisse Tout A Dieu,Indira,500,52,450,334.0
97,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,43,510,450,334.3333333333333
98,Onememma ft. Chioma Jesus,Mercy Chinwo,500,53,450,334.3333333333333
99,Settled,Ada Ehi,500,54,450,334.6666666666667
100,Nothing Missing,Preye Odede,44,510,450,334.6666666666667
101,Bulldozer,Chioma Jesus,500,55,450,335.0
