,artist,song
0,Ada Ehi,Everything
1,Ada Ehi,Never Go Down ft. Limoblaze
2,Moses Bliss,Too Faithful
3,Diana Hamilton,Adom Grace
4,Ada Ehi,Congratulations ft. Buchi
5,Ada Ehi,"Congratulations ft, Buchi"
6,Steve Crown,You Are Yahweh
7,Nathaniel Bassey,Hallelujah Challenge Praise Medley
8,Ada Ehi,More Than Enough
9,Mercy Chinwo,Obinasom
10,Ada Ehi,Thank You For My Life
11,Steve Crown,You Are Great
12,Ada Ehi,Fix My Eyes On You ft. Sinach
13,Ada Ehi,Now
14,Steve Crown,Hosanna
15,Dunsin Oyekan,Fragrance to Fire
16,Moses Bliss,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple"
17,Jimmy D Psalmist,My Father My God
18,Sinach,Way Maker
19,Samsong,Jesus ft. Mercy Chinwo
20,Sinach,Omemma
21,Nathaniel Bassey,Yeshua Hamashiach
22,Chidinma,Jehovah Overdo
23,Steve Crown,All The Glory
24,Onos,Faithful God (Live)
25,Moses Bliss,Taking Care
26,Nathaniel Bassey,Emmanuel
27,Steve Crown,Your Love ft. Tope Alabi
28,Prospa Ochimana,Ekwueme ft. Osinachi Nwachukwu (ETTWP)
29,Victoria Orenze,Spirit Chant
30,Frank Edwards,CHIOMA (AFRO VIBE)
31,Nathaniel Bassey,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba"
32,Nathaniel Bassey,Yahweh Yahweh ft. Sinach
33,Frank Edwards,NO OTHER NAME
34,Joe Mettle,Yesu Mo
35,Nathaniel Bassey,Hallelujah Challenge Worship Medley
36,Tope Alabi,Yes And Amen
37,Nathaniel Bassey,Olorun Agbaye - You Are Mighty ft. Chandler Moore & Oba
38,Joe Mettle,Ye Obua Mi (My Help)
39,Diana Hamilton,Nyansabuakwa Nyame
40,Dunsin Oyekan,Yah
41,Ada Ehi,New Level
42,David G,Covenant Keeper
43,JayMikee,Heaven
44,Chris Shalom,My Beautifier
45,Moses Bliss,You I Live For
46,Ada Ehi,Finally
47,Dunsin Oyekan,At All Cost
48,Moses Bliss,You I Live For ft. Loveworld Indomitable Choir
49,Ada Ehi,iTestify
50,Steve Crown,Mighty God ft. Nathaniel Bassey
51,Joe Praize,Unchangeable God
52,Moses Bliss,Bigger Everyday
53,Indira,Je Laisse Tout A Dieu
54,Mercy Chinwo,Na You Dey Reign
55,Ada Ehi,Settled
56,Joyce Blessing,Adam Nana
57,Tope Alabi,Lae La O Ma Bo Oluwa
58,Mercy Chinwo,Onememma ft. Chioma Jesus
59,Celestine Donkor,Agbebolo ft. NHYIRABA GIDEON
60,Victoria Orenze,Have Mercy (Live)
61,Tope Alabi,You Are Worthy
62,Chioma Jesus,Bulldozer
63,Dunsin Oyekan,Worship Your Maker
64,Steve Crown,Imela
65,Mercy Chinwo,Excess Love
66,Tim Godfrey,Nara
67,Dunsin Oyekan,You Remain the Same
68,Mike Abdul,Baba Ese ft. Yoruba Mass Choir
69,Chioma Jesus,Okemmuo Ft. Mercy Chinwo
70,Dunsin Oyekan,More Than a Song
71,Chris Shalom,JESUS
72,Mercy Chinwo,Akamdinelu
73,Minister GUC,All That Matters
74,Ada Ehi,I Overcame
75,Indira,Je Veux Te Louer
76,Sinach,All Things Are Ready
77,Moses Bliss,In Your Hands
78,Solomon Lange,Mai Taimako Na (My Helper)
79,Limoblaze,Grateful ft. Moses Bliss
80,Ada Ehi,Cheta 
81,Tope Alabi,Halleluyah
82,Solomon Lange,I Will Praise You
83,ROSNY KAYIBA,Nazo bondela yo (Je te prie)
84,Steve Crown,What A Mighty God ft. Nathaniel Bassey
85,Yinka Ayefele,Ekundayo
86,Chioma Jesus,Oka Ome
87,Jimmy D Psalmist,Mighty Man of War
88,Tope Alabi,Jesu Ore Otito
89,Eben,Jesus Power
90,Eben,The Harvest
91,Mercy Chinwo,Chinedum
92,Frank Edwards,Under The Canopy
93,Joe Mettle,My Everything
94,Ada Ehi,Notice
95,Mercy Chinwo,Oyoyo Chukwu ft. Israel Dammy & EeZee Tee
96,Steve Crown,Eze Nara Ekele
97,Ada Ehi,Shine ft. Chize & Nosa
98,Minister GUC,God of Vengeance
99,Sinach,Overflow
