rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,8,1,2,3.6666666666666665
2,Too Faithful,Moses Bliss,1,6,20,9.0
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,12,3,28,14.333333333333334
4,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,3,57,21,27.0
5,Omemma,Judikay,14,23,53,30.0
6,Worship Your Maker,Dunsin Oyekan,22,80,8,36.666666666666664
7,Now,Ada Ehi,82,15,42,46.333333333333336
8,Nara,Tim Godfrey,89,72,22,61.0
9,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",61,58,65,61.333333333333336
10,Yahweh,Ifeoma Okoli,78,71,82,77.0
11,Olorun Agbaye - You Are Mighty ft. Chandler Moore & Oba,Nathaniel Bassey,5,36,450,163.66666666666666
12,Jehovah Overdo,Chidinma,24,20,450,164.66666666666666
13,Hosanna,Steve Crown,33,14,450,165.66666666666666
14,Ye Obua Mi (My Help),Joe Mettle,21,35,450,168.66666666666666
15,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,31,40,450,173.66666666666666
16,Obinasom,Mercy Chinwo,500,8,14,174.0
17,Onyedikagi (feat. Glowrie),Mercy Chinwo,7,510,5,174.0
18,You are Yahweh,Steve Crown,500,5,17,174.0
19,Faithful God (Live),Onos,50,26,450,175.33333333333334
20,Way Maker,Sinach,500,19,16,178.33333333333334
21,Beautiful (feat. Nathaniel Bassey),Sinach,28,510,1,179.66666666666666
22,Adom Grace,Diana Hamilton,90,4,450,181.33333333333334
23,Jesus (feat. Mercy Chinwo),Samsong,500,24,34,186.0
24,You are Great,Steve Crown,500,12,47,186.33333333333334
25,Covenant Keeping God,Jimmy D Psalmist,10,510,39,186.33333333333334
26,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,57,510,7,191.33333333333334
27,Fragrance to Fire,Dunsin Oyekan,500,17,59,192.0
28,Yes And Amen,Tope Alabi,500,33,45,192.66666666666666
29,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,9,510,60,193.0
30,You Are Worthy,Tope Alabi,500,60,30,196.66666666666666
31,At All Cost,Dunsin Oyekan,500,47,43,196.66666666666666
32,My Father & My Friend,Elijah Oyelade,64,510,19,197.66666666666666
33,NO OTHER NAME,Frank Edwards,500,38,56,198.0
34,Baba Ese ft. Yoruba Mass Choir,Mike Abdul,72,77,450,199.66666666666666
35,Chinedum,Mercy Chinwo,500,63,36,199.66666666666666
36,We Raise a Sound (feat. 121selah),Nosa,74,510,18,200.66666666666666
37,Hallelujah No Go Finish,Freke Umoh,30,510,62,200.66666666666666
38,Na You Dey Reign,Mercy Chinwo,500,59,46,201.66666666666666
39,In Your Hands,Moses Bliss,500,79,33,204.0
40,Battles,Tim Godfrey,63,510,40,204.33333333333334
41,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,55,68,207.66666666666666
42,God of Vengeance,Minister GUC,500,93,32,208.33333333333334
43,Halleluyah,Tope Alabi,500,78,58,212.0
44,All Things Are Ready,Sinach,500,70,67,212.33333333333334
45,All That Matters,Minister GUC,500,81,57,212.66666666666666
46,Wanibariki,Nandy,91,97,450,212.66666666666666
47,Imela,Steve Crown,500,82,64,215.33333333333334
48,Under The Canopy,Frank Edwards,500,90,61,217.0
49,Bless Me (feat. Ada Ehi),Mercy Masika,68,510,94,224.0
50,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,317.3333333333333
51,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,9,450,319.6666666666667
52,More Than Enough,Ada Ehi,500,10,450,320.0
53,Thank You For My Life,Ada Ehi,500,11,450,320.3333333333333
54,I Bow,Judikay,2,510,450,320.6666666666667
55,Fix My Eyes On You ft. Sinach,Ada Ehi,500,13,450,321.0
56,Oga Jesus,Daniel Mylez,4,510,450,321.3333333333333
57,Good God,"Limoblaze, Ada Ehi",6,510,450,322.0
58,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple",Moses Bliss,500,16,450,322.0
59,Jesus Power,Eben,500,18,450,322.6666666666667
60,Amen,Tjsarx,11,510,450,323.6666666666667
61,Yeshua Hamashiach,Nathaniel Bassey,500,21,450,323.6666666666667
62,You I Live For,Moses Bliss,500,22,450,324.0
63,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,13,510,450,324.3333333333333
64,Emmanuel,Nathaniel Bassey,500,25,450,325.0
65,We Hail You,Nayaah,15,510,450,325.0
66,Billion Words,"Limoblaze, Onos",16,510,450,325.3333333333333
67,Ebube Jehovah,Victor Ike,17,510,450,325.6666666666667
68,Taking Care,Moses Bliss,500,27,450,325.6666666666667
69,Your Name Is Jesus,Eljoe Onoja,18,510,450,326.0
70,All The Glory,Steve Crown,500,28,450,326.0
71,Song of Victory,Esther Olugbemi,19,510,450,326.3333333333333
72,Your Love ft. Tope Alabi,Steve Crown,500,29,450,326.3333333333333
73,No Troubles,Chris Morgan,20,510,450,326.6666666666667
74,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,30,450,326.6666666666667
75,Spirit Chant,Victoria Orenze,500,31,450,327.0
76,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,32,450,327.3333333333333
77,In This Place,Minister GUC,23,510,450,327.6666666666667
78,CHIOMA (AFRO VIBE),Frank Edwards,500,34,450,328.0
79,Never Forget Your Love,Anny,25,510,450,328.3333333333333
80,Capable God,Judikay,26,510,450,328.6666666666667
81,The Harvest,Eben,500,39,450,329.6666666666667
82,This Love,Chidinma,29,510,450,329.6666666666667
83,Heaven,JayMikee,500,41,450,330.3333333333333
84,New Level,Ada Ehi,500,42,450,330.6666666666667
85,All in All,CalledOut Music,32,510,450,330.6666666666667
86,My Beautifier,Chris Shalom,500,43,450,331.0
87,Nothing Missing,Preye Odede,34,510,450,331.3333333333333
88,Yah,Dunsin Oyekan,500,44,450,331.3333333333333
89,Too Much,Chioma Jesus,35,510,450,331.6666666666667
90,Nyansabuakwa Nyame,Diana Hamilton,500,45,450,331.6666666666667
91,Thank You,"Kobby Mantey, Joe Mettle",36,510,450,332.0
