rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,10,1,3,4.666666666666667
2,Too Faithful,Moses Bliss,2,7,20,9.666666666666666
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,14,3,28,15.0
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,6,34,24,21.333333333333332
5,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,4,61,21,28.666666666666668
6,Omemma,Judikay,16,21,52,29.666666666666668
7,Worship Your Maker,Dunsin Oyekan,25,70,8,34.333333333333336
8,Now,Ada Ehi,90,14,42,48.666666666666664
9,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",68,50,64,60.666666666666664
10,Nara,Tim Godfrey,97,67,22,62.0
11,Jehovah Overdo,Chidinma,27,19,450,165.33333333333334
12,Ye Obua Mi (My Help),Joe Mettle,24,27,450,167.0
13,Hosanna,Steve Crown,37,15,450,167.33333333333334
14,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,35,35,450,173.33333333333334
15,You are Yahweh,Steve Crown,500,5,17,174.0
16,Obinasom,Mercy Chinwo,500,9,14,174.33333333333334
17,Onyedikagi (feat. Glowrie),Mercy Chinwo,9,510,5,174.66666666666666
18,Faithful God (Live),Onos,55,25,450,176.66666666666666
19,Way Maker,Sinach,500,18,16,178.0
20,Beautiful (feat. Nathaniel Bassey),Sinach,31,510,2,181.0
21,Adom Grace,Diana Hamilton,98,4,450,184.0
22,Jesus (feat. Mercy Chinwo),Samsong,500,20,34,184.66666666666666
23,You are Great,Steve Crown,500,11,47,186.0
24,Covenant Keeping God,Jimmy D Psalmist,12,510,39,187.0
25,Fragrance to Fire,Dunsin Oyekan,500,17,58,191.66666666666666
26,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,11,510,59,193.33333333333334
27,Yes And Amen,Tope Alabi,500,36,45,193.66666666666666
28,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,64,510,7,193.66666666666666
29,NO OTHER NAME,Frank Edwards,500,33,55,196.0
30,You Are Worthy,Tope Alabi,500,59,30,196.33333333333334
31,At All Cost,Dunsin Oyekan,500,46,43,196.33333333333334
32,Yahweh,Ifeoma Okoli,86,510,1,199.0
33,My Father & My Friend,Elijah Oyelade,71,510,19,200.0
34,Baba Ese ft. Yoruba Mass Choir,Mike Abdul,80,71,450,200.33333333333334
35,Oka Ome,Chioma Jesus,58,94,450,200.66666666666666
36,Na You Dey Reign,Mercy Chinwo,500,57,46,201.0
37,Hallelujah No Go Finish,Freke Umoh,33,510,61,201.33333333333334
38,In Your Hands,Moses Bliss,500,74,33,202.33333333333334
39,We Raise a Sound (feat. 121selah),Nosa,82,510,18,203.33333333333334
40,Grateful ft. Moses Bliss,Sinach,85,80,450,205.0
41,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,49,67,205.33333333333334
42,Chinedum,Mercy Chinwo,500,81,36,205.66666666666666
43,Battles,Tim Godfrey,70,510,40,206.66666666666666
44,Imela,Steve Crown,500,65,63,209.33333333333334
45,God of Vengeance,Minister GUC,500,96,32,209.33333333333334
46,All That Matters,Minister GUC,500,77,56,211.0
47,All Things Are Ready,Sinach,500,69,66,211.66666666666666
48,Halleluyah,Tope Alabi,500,83,57,213.33333333333334
49,Wanibariki,Nandy,99,91,450,213.33333333333334
50,Under The Canopy,Frank Edwards,500,86,60,215.33333333333334
51,Eze Nara Ekele,Steve Crown,500,95,83,226.0
52,Bless Me (feat. Ada Ehi),Mercy Masika,75,510,94,226.33333333333334
53,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,317.3333333333333
54,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,8,450,319.3333333333333
55,More Than Enough,Ada Ehi,500,10,450,320.0
56,Hallelujah (feat. Dunsin Oyekan),Joe Mettle,1,510,450,320.3333333333333
57,Thank You For My Life,Ada Ehi,500,12,450,320.6666666666667
58,I Bow,Judikay,3,510,450,321.0
59,Fix My Eyes On You ft. Sinach,Ada Ehi,500,13,450,321.0
60,Oga Jesus,Daniel Mylez,5,510,450,321.6666666666667
61,"Bigger Every Day ft. Festizie, Membrane, Uwa, Chris Heavens & Temple",Moses Bliss,500,16,450,322.0
62,Alpha & Omega (feat. Chris Morgan),K Praise,7,510,450,322.3333333333333
63,Good God,Limoblaze and  Ada Ehi,8,510,450,322.6666666666667
64,Yeshua Hamashiach,Nathaniel Bassey,500,22,450,324.0
65,Amen,Tjsarx,13,510,450,324.3333333333333
66,All The Glory,Steve Crown,500,23,450,324.3333333333333
67,Taking Care,Moses Bliss,500,24,450,324.6666666666667
68,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,15,510,450,325.0
69,Emmanuel,Nathaniel Bassey,500,26,450,325.3333333333333
70,We Hail You,Nayaah,17,510,450,325.6666666666667
71,They That Wait (feat. MOG),Joe Mettle,18,510,450,326.0
72,Ekwueme ft. Osinachi Nwachukwu (ETTWP),Prospa Ochimana,500,28,450,326.0
73,Billion Words,Limoblaze and  Onos,19,510,450,326.3333333333333
74,Your Love ft. Tope Alabi,Steve Crown,500,29,450,326.3333333333333
75,Ebube Jehovah,Victor Ike,20,510,450,326.6666666666667
76,CHIOMA (AFRO VIBE),Frank Edwards,500,30,450,326.6666666666667
77,Spirit Chant,Victoria Orenze,500,31,450,327.0
78,Your Name Is Jesus,Eljoe Onoja,21,510,450,327.0
79,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,32,450,327.3333333333333
80,Song of Victory,Esther Olugbemi,22,510,450,327.3333333333333
81,No Troubles,Chris Morgan,23,510,450,327.6666666666667
82,In This Place,Minister GUC,26,510,450,328.6666666666667
83,You I Live For,Moses Bliss,500,37,450,329.0
84,My Beautifier,Chris Shalom,500,38,450,329.3333333333333
85,Never Forget Your Love,Anny,28,510,450,329.3333333333333
86,Capable God,Judikay,29,510,450,329.6666666666667
87,Nyansabuakwa Nyame,Diana Hamilton,500,39,450,329.6666666666667
88,Heaven,JayMikee,500,40,450,330.0
89,New Level,Ada Ehi,500,41,450,330.3333333333333
90,Yah,Dunsin Oyekan,500,42,450,330.6666666666667
91,This Love,Chidinma,32,510,450,330.6666666666667
92,Finally,Ada Ehi,500,43,450,331.0
93,Unchangeable God,Joe Praize,500,44,450,331.3333333333333
94,Too Much,Chioma Jesus,34,510,450,331.3333333333333
95,Covenant Keeper,David G,500,45,450,331.6666666666667
96,All in All,CalledOut Music,36,510,450,332.0
97,iTestify,Ada Ehi,500,48,450,332.6666666666667
98,Nothing Missing,Preye Odede,38,510,450,332.6666666666667
99,Thank You,Kobby Mantey and  Joe Mettle,39,510,450,333.0
100,Jesu Doh,EBEN and  Jahdiel,40,510,450,333.3333333333333
101,Jesus Power,Eben,500,51,450,333.6666666666667
102,All Things New,Tee Worship,41,510,450,333.6666666666667
103,King of Glory (feat. Darlene Zschech),Sinach,42,510,450,334.0
104,Adam Nana,Joyce Blessing,500,52,450,334.0
105,Settled,Ada Ehi,500,53,450,334.3333333333333
106,Lions,T Sharp,43,510,450,334.3333333333333
107,Je Laisse Tout A Dieu,Indira,500,54,450,334.6666666666667
108,Best of Me,Double F,44,510,450,334.6666666666667
109,Onememma ft. Chioma Jesus,Mercy Chinwo,500,55,450,335.0
110,Ajibole,Protek Illasheva and  Marizu,45,510,450,335.0
111,Yesu Mo,Joe Mettle,500,56,450,335.3333333333333
112,God Most High,Shalom Braide,46,510,450,335.3333333333333
113,Awone (feat. Chris Morgan),naomee,47,510,450,335.6666666666667
114,My Father My God (Live),Jimmy D Psalmist,48,510,450,336.0
115,Lae La O Ma Bo Oluwa,Tope Alabi,500,58,450,336.0
116,Fourthman (feat. Chris Morgan),Caleb Audu,49,510,450,336.3333333333333
117,Great & Mighty (Awimayehun),Segun John,50,510,450,336.6666666666667
118,Agbebolo ft. NHYIRABA GIDEON,Celestine Donkor,500,60,450,336.6666666666667
119,Amazing,Isyrose,51,510,450,337.0
120,Most High,Frank Edwards,52,510,450,337.3333333333333
121,The Harvest,Eben,500,62,450,337.3333333333333
122,You Fight for Me,Mahalia Buchanan,53,510,450,337.6666666666667
123,Bulldozer,Chioma Jesus,500,63,450,337.6666666666667
124,Akamdinelu,Mercy Chinwo,500,64,450,338.0
125,We Prevail (feat. Maranda Curtis),Sinach,54,510,450,338.0
126,Liyinqaba,Hle and  Hlengiwe Mhlaba,56,510,450,338.6666666666667
127,Imole,Sola Allyson,500,510,6,338.6666666666667
128,Ekele,Desai David,57,510,450,339.0
129,Have Mercy (Live),Victoria Orenze,500,68,450,339.3333333333333
130,Ubangiji (feat. Steve Williz),Younggod,59,510,450,339.6666666666667
131,Worship Medley (feat. Toks Nnamani),Kaydee Numbere,500,510,9,339.6666666666667
132,Perfect Love,Rhema 'Ye,60,510,450,340.0
133,Nothing Without You (feat. Kirk Whalum),Dr Tumi,500,510,10,340.0
134,Rejoice in the Lord Philippians 4:4,Victoria Orenze,500,510,11,340.3333333333333
135,One Moment,Freke Umoh,500,510,12,340.6666666666667
136,I Believe,Jessika Kioja,62,510,450,340.6666666666667
137,I Overcame,Ada Ehi,500,72,450,340.6666666666667
138,Magnify,Dare David,500,510,13,341.0
139,Okemmuo Ft. Mercy Chinwo,Chioma Jesus,500,73,450,341.0
140,Answer Your Name (feat. Rosemary Chibuogwu),Caleb Audu,63,510,450,341.0
141,Jesus Jehovah,Lara George,500,510,15,341.6666666666667
142,Konyana,Dr Tumi,65,510,450,341.6666666666667
143,Je Veux Te Louer,Indira,500,75,450,341.6666666666667
144,Chukwu Eze,Melody Gabriel,66,510,450,342.0
145,You Remain the Same,Dunsin Oyekan,500,76,450,342.0
146,Unastahili,Evelyn Wanjiru,67,510,450,342.3333333333333
147,What A Mighty God ft. Nathaniel Bassey,Steve Crown,500,78,450,342.6666666666667
148,Nazo bondela yo (Je te prie),ROSNY KAYIBA,500,79,450,343.0
149,Amanamo (feat. Mercy Chinwo),Chris Morgan,69,510,450,343.0
150,Grace Is Available,Sammie Okposo,72,510,450,344.0
151,More Than a Song,Dunsin Oyekan,500,82,450,344.0
152,Jesus Never Fails,MaryJane Nweke,500,510,23,344.3333333333333
153,Cultural Praise Vol.2,KCee and  Okwesili Eze Group,73,510,450,344.3333333333333
154,Cheta ,Ada Ehi,500,84,450,344.6666666666667
155,Do,Austin Hogan,74,510,450,344.6666666666667
156,Knowing You,Minister GUC,500,510,25,345.0
157,Mai Taimako Na (My Helper),Solomon Lange,500,85,450,345.0
158,Love My Home,Sinach,500,510,26,345.3333333333333
159,Greatest Lord,Sinach,76,510,450,345.3333333333333
160,Ekundayo,Yinka Ayefele,500,87,450,345.6666666666667
161,Evidence,Opera-David Benson,77,510,450,345.6666666666667
162,Unchangeable,Joe Praize,500,510,27,345.6666666666667
163,Notice,Ada Ehi,500,88,450,346.0
164,Praise Medley (Live in London),Joe Mettle,78,510,450,346.0
165,Mighty Man of War,Jimmy D Psalmist,500,89,450,346.3333333333333
166,Take Over,1spirit & Theopilus Sunday,500,510,29,346.3333333333333
167,Mma Mma,Frank Edwards,79,510,450,346.3333333333333
168,Jesu Ore Otito,Tope Alabi,500,90,450,346.6666666666667
169,Okokroko (Remix) [Live],Sonnie Badu,81,510,450,347.0
170,Adonai [Live],Elijah Oyelade,500,510,31,347.0
171,I Will Praise You,Solomon Lange,500,92,450,347.3333333333333
172,My Everything,Joe Mettle,500,93,450,347.6666666666667
173,Holy Ghost (Live),Joe Praize,83,510,450,347.6666666666667
174,Nothing Is Impossible (feat. Tope Alabi),EBEN,84,510,450,348.0
175,WE WORSHIP YOU,Frank Edwards,500,510,35,348.3333333333333
176,We Testify,Deborah Lukalu,87,510,450,349.0
177,Your Word Is Truth (Live),CHRIS SHALOM,500,510,37,349.0
178,Shine ft. Chize & Nosa,Ada Ehi,500,97,450,349.0
179,Overflow,Sinach,500,98,450,349.3333333333333
180,Cultural Praise Vol. 3,KCee and  Okwesili Eze Group,88,510,450,349.3333333333333
181,Show Up,Ema Onyx,500,510,38,349.3333333333333
182,Awurade,Jayana,89,510,450,349.6666666666667
183,I Made It,Gabriel Eziashi,91,510,450,350.3333333333333
184,Peace In the Storm,Sinach,500,510,41,350.3333333333333
185,Incredible God (Live),Mercy Chinwo,92,510,450,350.6666666666667
186,We Bow Down,Sinach,93,510,450,351.0
187,You No Dey Use Me Play,Ema Onyx,500,510,44,351.3333333333333
188,You Are God (Live),Chingtok Ishaku and  House of Judah,94,510,450,351.3333333333333
189,Eze (Radio Edit) [feat. Osby Berry],Dare David,95,510,450,351.6666666666667
190,Jesus Is Coming,Judikay,96,510,450,352.0
191,Rid Me of Those Things,Elijah Oyelade,500,510,48,352.6666666666667
192,My Praise (feat. Solomon Lange),Norine Mindeyes,500,510,49,353.0
193,No One Like You,Flavour and  Semah,100,510,450,353.3333333333333
194,Great I Am,Dare David,500,510,50,353.3333333333333
195,Healing Stream,Evans Ighodalo,500,510,51,353.6666666666667
196,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo,500,510,53,354.3333333333333
197,Yahweh Be Praised ( Live ),Emmasings,500,510,54,354.6666666666667
198,Yours (Live),Minister GUC,500,510,62,357.3333333333333
199,Mimo,Sola Allyson,500,510,65,358.3333333333333
200,Imole De,Dunsin Oyekan,500,510,68,359.3333333333333
201,IZURUKEME (more than enough),Promise Benson,500,510,69,359.6666666666667
202,Gratitude,Tope Alabi,500,510,70,360.0
203,Man of Galilee,Judikay,500,510,71,360.3333333333333
204,Angels Bow (feat. Phil Thompson),Steve Crown,500,510,72,360.6666666666667
205,On #Yes and Amen Album,Tope Alabi,500,510,73,361.0
206,Same God,Segun John,500,510,74,361.3333333333333
207,Idinma,Judikay,500,510,75,361.6666666666667
208,How Great You Are (feat. Mercy Chinwo & Nosa),JOEPRAIZE,500,510,76,362.0
209,You Are Jehovah,Prospa Ochimana,500,510,77,362.3333333333333
210,Awesome God,SINACH,500,510,78,362.6666666666667
211,Yes Lord (Live),Judikay,500,510,79,363.0
212,Spirit Pray (Live),Elijah Oyelade,500,510,80,363.3333333333333
213,I Win,Samsong,500,510,81,363.6666666666667
214,We Wait on You,Steve Crown,500,510,84,364.6666666666667
215,Ebe,Sola Allyson,500,510,85,365.0
216,Born to Worship,Prinz,500,510,86,365.3333333333333
217,INDOMITABLE,Jimmy D Psalmist,500,510,87,365.6666666666667
218,Aye Ole,Infinity,500,510,88,366.0
219,Korede,Mike Abdul,500,510,89,366.3333333333333
220,Iyin,Sola Allyson,500,510,90,366.6666666666667
221,Iyin Ye O,Tope Alabi,500,510,91,367.0
222,E Dey Work,Samsong,500,510,92,367.3333333333333
223,Nobody Can,Sammie Okposo,500,510,93,367.6666666666667
224,My Peace,Elijah Oyelade,500,510,95,368.3333333333333
225,Iro Halleluyah (feat. Tope Alabi),Mike Abdul,500,510,96,368.6666666666667
226,Jésù Mi Dà (feat. Puffy Tee & Bidemi Olaoba),Mike Abdul,500,510,97,369.0
227,ADA EHI,Ada Ehi,500,510,98,369.3333333333333
228,God Alone (Live),Joe Praize,500,510,99,369.6666666666667
229,SOLA ALLYSON,Sola Allyson,500,510,100,370.0
230,ÌRÌ,Sola Allyson,500,510,101,370.3333333333333
