rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,7,1,3,9.0
2,Too Faithful,Moses Bliss,10,13,20,29.666666666666668
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,32,3,27,44.0
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,8,42,24,58.0
5,Omemma,Judikay,22,29,50,67.66666666666667
6,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",58,17,63,96.0
7,Now,Ada Ehi,80,15,40,108.33333333333333
8,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,13,90,21,110.0
9,Nara,Tim Godfrey,86,85,22,178.33333333333334
10,Hosanna,Steve Crown,24,16,450,190.0
11,Jehovah Overdo,Chidinma,38,11,450,199.0
12,Ye Obua Mi (My Help),Joe Mettle,3,48,450,201.0
13,Faithful God (Live),Onos,47,26,450,223.0
14,Fire (Amapiano Remix) ft. Okey Sokay,Dj Ernesty,45,40,450,235.0
15,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,21,65,450,236.0
16,Too Much,Chioma Jesus,26,62,450,238.0
17,AMEN ft. Joe Mettle,Tjsarx,43,49,450,242.0
18,Adom Grace,Diana Hamilton,87,8,450,245.0
19,All Things New,Tee Worship,29,69,450,248.0
20,Amanamo ft. Mercy Chinwo,Chris Morgan,61,47,450,258.0
21,Oka Ome,Chioma Jesus,49,93,450,292.0
22,You are Yahweh,Steve Crown,500,4,17,509.6666666666667
23,Obinasom,Mercy Chinwo,500,5,14,509.6666666666667
24,Onyedikagi (feat. Glowrie),Mercy Chinwo,9,510,1,519.3333333333334
25,You are Great,Steve Crown,500,14,45,529.0
26,Way Maker,Sinach,500,24,16,529.3333333333334
27,Worship Your Maker,Dunsin Oyekan,17,510,8,529.6666666666666
28,Beautiful (feat. Nathaniel Bassey),Sinach,19,510,2,529.6666666666666
29,Jesus (feat. Mercy Chinwo),Samsong,500,21,32,531.6666666666666
30,Fragrance to Fire,Dunsin Oyekan,500,18,57,537.0
31,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,5,510,94,546.3333333333334
32,Yes And Amen,Tope Alabi,500,32,43,546.3333333333334
33,Hallelujah No Go Finish,Freke Umoh,20,510,59,549.6666666666666
34,NO OTHER NAME,Frank Edwards,500,39,54,557.0
35,Covenant Keeping God,Jimmy D Psalmist,39,510,37,561.3333333333334
36,At All Cost,Dunsin Oyekan,500,52,41,565.6666666666666
37,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,54,510,7,566.3333333333334
38,Chinedum,Mercy Chinwo,500,66,34,577.3333333333334
39,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,56,67,578.3333333333334
40,My Father & My Friend,Elijah Oyelade,63,510,19,579.3333333333334
41,You Are Worthy,Tope Alabi,500,59,66,581.0
42,Battles,Tim Godfrey,62,510,38,584.6666666666666
43,Akamdinelu,Mercy Chinwo,500,68,53,585.6666666666666
44,All Things Are Ready,Sinach,500,64,65,585.6666666666666
45,In Your Hands,Moses Bliss,500,78,31,588.3333333333334
46,We Raise a Sound (feat. 121selah),Nosa,73,510,18,589.0
47,Na You Dey Reign,Mercy Chinwo,500,75,44,589.6666666666666
48,Halleluyah,Tope Alabi,500,79,56,597.6666666666666
49,God of Vengeance,Minister GUC,500,91,30,601.0
50,Under The Canopy,Frank Edwards,500,88,58,607.3333333333334
51,Bless Me (feat. Ada Ehi),Mercy Masika,67,510,95,608.6666666666666
52,Yahweh,Ifeoma Okoli,77,510,82,614.3333333333334
53,Imela,Steve Crown,500,98,62,618.6666666666666
54,I Overcame,Ada Ehi,500,100,101,633.6666666666666
55,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,652.0
56,Hallelujah Challenge Praise Medley,Nathaniel Bassey,500,6,450,656.0
57,Thank You For My Life,Ada Ehi,500,7,450,657.0
58,More Than Enough,Ada Ehi,500,9,450,659.0
59,I Bow,Judikay,1,510,450,661.0
