rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Timi Dakolo,1,8
2,Too Faithful,Moses Bliss,2,8
3,Congratulations (feat. Buchi),Ada Ehi,3,7
4,Omemma,Judikay,6,7
5,Worship Your Maker,Dunsin Oyekan,5,8
6,Now,Ada Ehi,7,7
7,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,4,8
8,Nara (feat. Travis Greene),Tim Godfrey,29,7
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",8,7
10,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,10,5
11,Jehovah Overdo,Chidinma,9,8
12,Hosanna (Live),Steve Crown,11,8
13,Obinasom,Mercy Chinwo,16,2
14,You are Yahweh,Steve Crown,15,7
15,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,14,7
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,17,8
17,Way Maker,Sinach,18,7
18,Ye Obua Mi (My Help),Joe Mettle,12,8
19,Faithful God (Live),Onos,19,6
20,Jesus (feat. Mercy Chinwo),Samsong,21,7
21,Beautiful (feat. Nathaniel Bassey),Sinach,20,6
22,You are Great,Steve Crown,22,8
23,My Father My God,Jimmy D Psalmist,13,8
24,Covenant Keeping God,Jimmy D Psalmist,23,8
25,Fragrance to Fire,Dunsin Oyekan,24,8
26,Yes And Amen,Tope Alabi,26,8
27,Hallelujah No Go Finish,Freke Umoh,36,8
28,At All Cost,Dunsin Oyekan,30,8
29,NO OTHER NAME,Frank Edwards,28,8
30,More Than Gold,Judith Kanayo,25,6
31,Na You Dey Reign,Mercy Chinwo,32,7
32,You Are Worthy,Tope Alabi,31,6
33,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,27,6
34,Chinedum,Mercy Chinwo,42,4
35,All That Matters,Minister GUC,44,3
36,In Your Hands,Moses Bliss,37,8
37,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,35,8
38,Mighty God (feat. Nathaniel Bassey),Steve Crown,39,8
39,Imela,Steve Crown,43,5
40,Battles,Tim Godfrey,41,3
41,Halleluyah,Tope Alabi,46,7
42,All Things Are Ready,Sinach,47,8
43,Under The Canopy,Frank Edwards,48,8
44,Bless Me (feat. Ada Ehi),Mercy Masika,50,5
45,Never Go Down ft. Limoblaze,Ada Ehi,0,1
46,Adom Grace,Diana Hamilton,0,1
47,Hallelujah Challenge Praise Medley,Nathaniel Bassey,0,1
48,More Than Enough,Ada Ehi,0,1
49,Jesus the Son of God,Chidinma,0,1
50,Fix My Eyes On You ft. Sinach,Ada Ehi,0,1
