rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Timi Dakolo,1,3
2,Congratulations (feat. Buchi),Ada Ehi,3,3
3,Too Faithful,Moses Bliss,2,2
4,Way Maker,Sinach,26,2
5,Amen,Tjsarx,17,3
6,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,4,2
7,Adom Grace,Diana Hamilton,18,3
8,Omemma,Judikay,5,2
9,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,8,2
10,Jesus Never Fails,MaryJane Nweke,0,1
11,We Raise a Sound (feat. 121SELAH),Nosa,46,3
12,Worship Your Maker,Dunsin Oyekan,27,3
13,Now,Ada Ehi,7,3
14,You Are Worthy,Tope Alabi,41,2
15,Halleluyah,Tope Alabi,48,2
16,Nara (feat. Travis Greene),Tim Godfrey,9,3
17,Bigger Everyday,"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",6,2
18,Hosanna (Live),Steve Crown,10,3
19,Fix My Eyes On You,Ada Ehi,0,1
20,Ye Obua Mi (My Help),Joe Mettle,12,2
21,No Troubles,Chris Morgan,0,1
22,Jehovah Overdo,Chidinma,11,3
23,Obinasom,Mercy Chinwo,23,3
24,You are Yahweh,Steve Crown,22,3
25,Onyedikagi (feat. Glowrie),Mercy Chinwo,24,3
26,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,15,3
27,Faithful God (Live),Onos,13,3
28,Beautiful (feat. Nathaniel Bassey),Sinach,28,3
29,Jesus (feat. Mercy Chinwo),Samsong,29,3
30,Love My Home,Sinach,0,1
31,You are Great,Steve Crown,25,2
32,I Believe (Live),Jessika Kioja,0,1
33,Praise Medley,Joe Mettle,0,1
34,Yes And Amen,Tope Alabi,32,3
35,Too Much,Chioma Jesus,16,3
36,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,37,3
37,More Than Gold,Judith Kanayo,31,3
38,Fragrance to Fire,Dunsin Oyekan,30,3
39,Fire (feat. Okey Sokay),Dj Ernesty,14,3
40,Chinedum,Mercy Chinwo,38,2
41,Covenant Keeping God,Jimmy D Psalmist,35,2
42,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,40,3
43,NO OTHER NAME,Frank Edwards,34,3
44,Hallelujah No Go Finish,Freke Umoh,33,3
45,Yesu Mo,Joe Mettle,0,1
46,In Your Hands,Moses Bliss,45,2
47,Amanamo (feat. Mercy Chinwo),Chris Morgan,20,3
48,Na You Dey Reign,Mercy Chinwo,47,3
49,God of Vengeance,Minister GUC,49,3
50,Battles,Tim Godfrey,42,3
