rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,18,1,3,7.333333333333333
2,Too Faithful,Moses Bliss,1,3,20,8.0
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,24,4,28,18.666666666666668
4,Omemma,Judikay,12,23,53,29.333333333333332
5,Worship Your Maker,Dunsin Oyekan,33,63,8,34.666666666666664
6,Now,Ada Ehi,58,14,42,38.0
7,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,9,85,21,38.333333333333336
8,Nara,Tim Godfrey,94,74,22,63.333333333333336
9,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",90,49,66,68.33333333333333
10,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba",Nathaniel Bassey,4,25,450,159.66666666666666
11,Jehovah Overdo,Chidinma,8,28,450,162.0
12,Hosanna,Steve Crown,48,16,450,171.33333333333334
13,Obinasom,Mercy Chinwo,500,8,14,174.0
14,You are Yahweh,Steve Crown,500,7,17,174.66666666666666
15,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,46,32,450,176.0
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,17,510,6,177.66666666666666
17,Way Maker,Sinach,500,20,16,178.66666666666666
18,Ye Obua Mi (My Help),Joe Mettle,32,64,450,182.0
19,Faithful God (Live),Onos,73,26,450,183.0
20,Jesus (feat. Mercy Chinwo),Samsong,500,19,34,184.33333333333334
21,Beautiful (feat. Nathaniel Bassey),Sinach,42,510,2,184.66666666666666
22,You are Great,Steve Crown,500,11,47,186.0
23,My Father My God,Jimmy D Psalmist,64,52,450,188.66666666666666
24,Covenant Keeping God,Jimmy D Psalmist,21,510,39,190.0
25,Fragrance to Fire,Dunsin Oyekan,500,15,59,191.33333333333334
26,Yes And Amen,Tope Alabi,500,41,45,195.33333333333334
27,Hallelujah No Go Finish,Freke Umoh,14,510,63,195.66666666666666
28,At All Cost,Dunsin Oyekan,500,44,43,195.66666666666666
