rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Timi Dakolo,1,6
2,Too Faithful,Moses Bliss,2,6
3,Congratulations (feat. Buchi),Ada Ehi,3,5
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,11,5
5,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,4,6
6,Omemma,Judikay,5,5
7,Worship Your Maker,Dunsin Oyekan,6,6
8,Now,Ada Ehi,7,5
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",9,5
10,Nara (feat. Travis Greene),Tim Godfrey,8,3
11,Jehovah Overdo,Chidinma,12,6
12,Ye Obua Mi (My Help),Joe Mettle,14,6
13,Hosanna (Live),Steve Crown,13,6
14,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,15,5
15,You are Yahweh,Steve Crown,18,5
16,Obinasom,Mercy Chinwo,16,6
17,Onyedikagi (feat. Glowrie),Mercy Chinwo,17,5
18,Faithful God (Live),Onos,19,6
19,Way Maker,Sinach,20,4
20,Beautiful (feat. Nathaniel Bassey),Sinach,21,5
21,Adom Grace,Diana Hamilton,22,4
22,Jesus (feat. Mercy Chinwo),Samsong,23,6
23,You are Great,Steve Crown,24,6
24,Covenant Keeping God,Jimmy D Psalmist,25,6
25,Fragrance to Fire,Dunsin Oyekan,27,6
26,More Than Gold,Judith Kanayo,29,6
27,Yes And Amen,Tope Alabi,28,6
28,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,26,6
29,NO OTHER NAME,Frank Edwards,33,6
30,You Are Worthy,Tope Alabi,30,4
31,At All Cost,Dunsin Oyekan,31,5
32,Yahweh,Ifeoma Okoli,10,4
33,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,32,4
34,Baba Ese ft. Yoruba Mass Choir,Mike Abdul,34,2
35,Oka Ome,Chioma Jesus,0,1
36,Na You Dey Reign,Mercy Chinwo,38,6
37,Hallelujah No Go Finish,Freke Umoh,37,6
38,In Your Hands,Moses Bliss,39,6
39,We Raise a Sound (feat. 121SELAH),Nosa,36,3
40,Grateful ft. Moses Bliss,Sinach,0,1
41,Mighty God (feat. Nathaniel Bassey),Steve Crown,41,5
42,Chinedum,Mercy Chinwo,35,6
43,Battles,Tim Godfrey,40,6
44,Imela,Steve Crown,47,3
45,God of Vengeance,Minister GUC,42,2
46,All That Matters,Minister GUC,45,2
47,All Things Are Ready,Sinach,44,3
48,Halleluyah,Tope Alabi,43,3
49,Wanibariki,Nandy,46,3
50,Under The Canopy,Frank Edwards,48,3
