rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Timi Dakolo,1,5
2,Too Faithful,Moses Bliss,2,5
3,Congratulations (feat. Buchi),Ada Ehi,3,4
4,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,5,4
5,Omemma,Judikay,6,5
6,Worship Your Maker,Dunsin Oyekan,7,4
7,Now,Ada Ehi,8,5
8,Nara (feat. Travis Greene),Tim Godfrey,11,4
9,Bigger Everyday,"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",9,4
10,Yahweh,Ifeoma Okoli,10,2
11,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,4,5
12,Jehovah Overdo,Chidinma,12,5
13,Hosanna (Live),Steve Crown,13,5
14,Ye Obua Mi (My Help),Joe Mettle,14,4
15,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,17,4
16,Obinasom,Mercy Chinwo,15,5
17,Onyedikagi (feat. Glowrie),Mercy Chinwo,16,4
18,You are Yahweh,Steve Crown,18,5
19,Faithful God (Live),Onos,19,3
20,Way Maker,Sinach,22,4
21,Beautiful (feat. Nathaniel Bassey),Sinach,20,3
22,Adom Grace,Diana Hamilton,23,5
23,Jesus (feat. Mercy Chinwo),Samsong,24,5
24,You are Great,Steve Crown,25,5
25,Covenant Keeping God,Jimmy D Psalmist,32,5
26,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,26,5
27,Fragrance to Fire,Dunsin Oyekan,28,5
28,Yes And Amen,Tope Alabi,30,5
29,More Than Gold,Judith Kanayo,29,5
30,You Are Worthy,Tope Alabi,31,3
31,At All Cost,Dunsin Oyekan,39,4
32,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,33,3
33,NO OTHER NAME,Frank Edwards,35,3
34,Baba Ese ft. Yoruba Mass Choir,Mike Abdul,0,1
35,Chinedum,Mercy Chinwo,36,5
36,We Raise a Sound (feat. 121SELAH),Nosa,38,5
37,Hallelujah No Go Finish,Freke Umoh,37,5
38,Na You Dey Reign,Mercy Chinwo,43,5
39,In Your Hands,Moses Bliss,40,2
40,Battles,Tim Godfrey,41,4
41,Mighty God (feat. Nathaniel Bassey),Steve Crown,44,4
42,God of Vengeance,Minister GUC,42,5
43,Halleluyah,Tope Alabi,45,5
44,All Things Are Ready,Sinach,46,2
45,All That Matters,Minister GUC,0,1
46,Wanibariki,Nandy,0,1
47,Imela,Steve Crown,47,2
48,Under The Canopy,Frank Edwards,48,2
49,Bless Me (feat. Ada Ehi),Mercy Masika,49,2
50,Never Go Down ft. Limoblaze,Ada Ehi,50,2
