rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Ada Ehi,13,1,3,5.666666666666667
2,Too Faithful,Moses Bliss,2,3,20,8.333333333333334
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,22,4,28,18.0
4,Worship Your Maker,Dunsin Oyekan,12,57,8,25.666666666666668
5,Omemma,Judikay,14,23,52,29.666666666666668
6,Now,Ada Ehi,55,16,42,37.666666666666664
7,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,10,90,21,40.333333333333336
8,Nara,Tim Godfrey,96,69,22,62.333333333333336
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",92,50,102,81.33333333333333
10,"Olorun Agbaye - You Are Mighty ft. Chandler Moore, Oba",Nathaniel Bassey,5,24,450,159.66666666666666
11,Jehovah Overdo,Chidinma,9,31,450,163.33333333333334
12,Hosanna,Steve Crown,43,14,450,169.0
13,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,40,32,450,174.0
14,Obinasom,Mercy Chinwo,500,8,14,174.0
15,You are Yahweh,Steve Crown,500,7,17,174.66666666666666
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,20,510,5,178.33333333333334
17,Way Maker,Sinach,500,21,16,179.0
18,Ye Obua Mi (My Help),Joe Mettle,25,72,450,182.33333333333334
19,Beautiful (feat. Nathaniel Bassey),Sinach,36,510,2,182.66666666666666
20,Faithful God (Live),Onos,74,25,450,183.0
21,Jesus (feat. Mercy Chinwo),Samsong,500,19,34,184.33333333333334
22,You are Great,Steve Crown,500,11,47,186.0
23,My Father My God,Jimmy D Psalmist,61,58,450,189.66666666666666
24,Fragrance to Fire,Dunsin Oyekan,500,15,57,190.66666666666666
25,More Than Gold (feat. Mercy Chinwo),Judith Kanayo,6,510,58,191.33333333333334
26,At All Cost,Dunsin Oyekan,500,39,43,194.0
27,Yes And Amen,Tope Alabi,500,38,45,194.33333333333334
28,Hallelujah No Go Finish,Freke Umoh,16,510,61,195.66666666666666
29,Covenant Keeping God,Jimmy D Psalmist,42,510,39,197.0
30,You Are Worthy,Tope Alabi,500,64,30,198.0
31,Na You Dey Reign,Mercy Chinwo,500,48,46,198.0
32,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,85,510,7,200.66666666666666
33,Chinedum,Mercy Chinwo,500,79,36,205.0
34,In Your Hands,Moses Bliss,500,82,33,205.0
35,All That Matters,Minister GUC,500,62,55,205.66666666666666
36,Mighty God (feat. Nathaniel Bassey),Steve Crown,500,55,66,207.0
37,NO OTHER NAME,Frank Edwards,500,33,88,207.0
38,My Father & My Friend,Elijah Oyelade,95,510,19,208.0
39,Imela,Steve Crown,500,66,63,209.66666666666666
40,Halleluyah,Tope Alabi,500,77,56,211.0
41,Battles,Tim Godfrey,94,510,40,214.66666666666666
42,All Things Are Ready,Sinach,500,85,65,216.66666666666666
43,Under The Canopy,Frank Edwards,500,92,60,217.33333333333334
44,Bless Me (feat. Ada Ehi),Mercy Masika,100,510,92,234.0
45,Never Go Down ft. Limoblaze,Ada Ehi,500,2,450,317.3333333333333
