rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Timi Dakolo,1,4
2,Too Faithful,Moses Bliss,3,4
3,Congratulations (feat. Buchi),Ada Ehi,2,3
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,6,3
5,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,9,4
6,Omemma,Judikay,8,3
7,Worship Your Maker,Dunsin Oyekan,12,4
8,Now,Ada Ehi,13,3
9,Bigger Everyday,"Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",17,3
10,Yahweh,Ifeoma Okoli,0,1
11,Nara (feat. Travis Greene),Tim Godfrey,16,4
12,Jehovah Overdo,Chidinma,22,4
13,Hosanna (Live),Steve Crown,18,4
14,Ye Obua Mi (My Help),Joe Mettle,20,3
15,Obinasom,Mercy Chinwo,23,3
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,25,4
17,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,26,3
18,You are Yahweh,Steve Crown,24,4
19,Faithful God (Live),Onos,27,2
20,Beautiful (feat. Nathaniel Bassey),Sinach,28,3
21,Amen,Tjsarx,5,2
22,Way Maker,Sinach,4,4
23,Adom Grace,Diana Hamilton,7,4
24,Jesus (feat. Mercy Chinwo),Samsong,29,4
25,You are Great,Steve Crown,31,4
26,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,36,4
27,Jesus Never Fails,MaryJane Nweke,10,4
28,Fragrance to Fire,Dunsin Oyekan,38,4
29,More Than Gold,Judith Kanayo,37,4
30,Yes And Amen,Tope Alabi,34,2
31,You Are Worthy,Tope Alabi,14,3
32,Covenant Keeping God,Jimmy D Psalmist,41,2
33,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,42,2
34,Oka Ome,Chioma Jesus,0,1
35,NO OTHER NAME,Frank Edwards,43,4
36,Chinedum,Mercy Chinwo,40,4
37,Hallelujah No Go Finish,Freke Umoh,44,4
38,We Raise a Sound (feat. 121SELAH),Nosa,11,4
39,At All Cost,Dunsin Oyekan,0,1
40,In Your Hands,Moses Bliss,46,3
41,Battles,Tim Godfrey,50,3
42,God of Vengeance,Minister GUC,49,4
43,Na You Dey Reign,Mercy Chinwo,48,4
44,Mighty God (feat. Nathaniel Bassey),Steve Crown,0,1
45,Halleluyah,Tope Alabi,15,2
46,All Things Are Ready,Sinach,0,1
47,Imela,Steve Crown,0,1
48,Under The Canopy,Frank Edwards,0,1
49,Bless Me (feat. Ada Ehi),Mercy Masika,0,1
50,Never Go Down ft. Limoblaze,Ada Ehi,0,1
