rank,song,artist,apple,boom,youtube,RT
1,Everything (Amen),Timi Dakolo,7,1,2,3.3333333333333335
2,Too Faithful,Moses Bliss,2,4,20,8.666666666666666
3,Congratulations (feat. Buchi Atuonwu),Ada Ehi,10,3,28,13.666666666666666
4,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & OBA),Nathaniel Bassey,4,37,24,21.666666666666668
5,Excess Love (Live) (feat. Mercy Chinwo),Mercy Chinwo,3,61,21,28.333333333333332
6,Omemma,Judikay,12,27,54,31.0
7,Worship Your Maker,Dunsin Oyekan,18,95,8,40.333333333333336
8,Now,Ada Ehi,80,16,42,46.0
9,"BIGGER EVERYDAY(Live) x Festizie, Membrane, Uwa, Chris Heaven & Temple","Moses Bliss, Festizie, Membrane, Uwa, Chris Heavens, Temple",59,18,67,48.0
10,Yahweh,Ifeoma Okoli,76,40,43,53.0
11,Nara,Tim Godfrey,87,79,22,62.666666666666664
12,Jehovah Overdo,Chidinma,20,23,450,164.33333333333334
13,Hosanna,Steve Crown,29,17,450,165.33333333333334
14,Ye Obua Mi (My Help),Joe Mettle,17,38,450,168.33333333333334
15,Obinasom,Mercy Chinwo,500,5,14,173.0
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,6,510,5,173.66666666666666
17,Yahweh Yahweh ft. Sinach,Nathaniel Bassey,27,47,450,174.66666666666666
18,You are Yahweh,Steve Crown,500,7,17,174.66666666666666
19,Faithful God (Live),Onos,48,34,450,177.33333333333334
20,Beautiful (feat. Nathaniel Bassey),Sinach,24,510,1,178.33333333333334
21,AMEN ft. Joe Mettle,Tjsarx,9,78,450,179.0
22,Way Maker,Sinach,500,21,16,179.0
23,Adom Grace,Diana Hamilton,88,6,450,181.33333333333334
24,Jesus (feat. Mercy Chinwo),Samsong,500,24,34,186.0
25,You are Great,Steve Crown,500,14,48,187.33333333333334
26,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,55,510,7,190.66666666666666
27,Jesus Never Fails,MaryJane Nweke,500,51,23,191.33333333333334
28,Fragrance to Fire,Dunsin Oyekan,500,19,60,193.0
