rank,song,artist,apple,boom,youtube,RT
99,Billion Words,"Limoblaze, Onos",43,510,450,703.0
100,Jesu Ore Otito,Tope Alabi,500,53,450,703.0
101,You Are Worthy,Tope Alabi,500,54,450,704.0
102,Ekele,Desai David,45,510,450,705.0
103,Oka\'ome,Chioma Jesus,46,510,450,706.0
104,Yah,Dunsin Oyekan,500,56,450,706.0
105,God Is Real,Moses Bliss,500,57,450,707.0
106,Perfect Love,Rhema \'Ye,47,510,450,707.0
107,My Beautifier,Chris Shalom,500,58,450,708.0
108,I Believe,Jessika Kioja,49,510,450,709.0
109,Answer Your Name (feat. Rosemary Chibuogwu),Caleb Audu,50,510,450,710.0
110,Okemmuo Ft. Mercy Chinwo,Chioma Jesus,500,60,450,710.0
111,Adam Nana,Joyce Blessing,500,61,450,711.0
112,Konyana,Dr Tumi,52,510,450,712.0
113,Chukwu Eze,Melody Gabriel,53,510,450,713.0
114,Unastahili,Evelyn Wanjiru,54,510,450,714.0
115,Your Name Is Jesus,Eljoe Onoja,56,510,450,716.0
116,Onememma ft. Chioma Jesus,Mercy Chinwo,500,67,450,717.0
117,Mercy O ! (feat. Ini Adesanya & Pastor Sarah Omakwu),Wale Adenuga,57,510,450,717.0
118,Bulldozer,Chioma Jesus,500,68,450,718.0
119,Grace Is Available,Sammie Okposo,61,510,450,721.0
120,Agbebolo ft. NHYIRABA GIDEON,Celestine Donkor,500,71,450,721.0
121,Cultural Praise Vol.2,"KCee, Okwesili Eze Group",62,510,450,722.0
122,Do,Austin Hogan,63,510,450,723.0
123,Settled,Ada Ehi,500,73,450,723.0
124,Yesu Mo,Joe Mettle,500,74,450,724.0
125,Greatest Lord,Sinach,65,510,450,725.0
126,Notice,Ada Ehi,500,75,450,725.0
127,Praise Medley (Live in London),Joe Mettle,66,510,450,726.0
128,iTestify,Ada Ehi,500,76,450,726.0
129,Mma Mma,Frank Edwards,67,510,450,727.0
130,Baba Ese (feat. Yoruba Mass Choir),Mike Abdul,68,510,450,728.0
131,Okokroko (Remix) [Live],Sonnie Badu,69,510,450,729.0
132,Dey Drop,Jlyricz,500,80,450,730.0
133,Holy Ghost (Live),Joe Praize,71,510,450,731.0
134,Shine ft. Chize & Nosa,Ada Ehi,500,81,450,731.0
135,Nazo bondela yo (Je te prie),ROSNY KAYIBA,500,82,450,732.0
136,Nothing Is Impossible (feat. Tope Alabi),EBEN,72,510,450,732.0
137,Cheta ,Ada Ehi,500,83,450,733.0
138,Grateful,Sinach,73,510,450,733.0
139,Covenant Keeper,David G,500,84,450,734.0
140,We Testify,Deborah Lukalu,75,510,450,735.0
141,Awurade,Jayana,76,510,450,736.0
142,Unchangeable God,Joe Praize,500,86,450,736.0
143,Pamoja,Deborah Lukalu,500,87,450,737.0
144,I Made It,Gabriel Eziashi,78,510,450,738.0
145,Oka Ome,Chioma Jesus,500,88,450,738.0
146,Incredible God (Live),Mercy Chinwo,79,510,450,739.0
147,We Bow Down,Sinach,80,510,450,740.0
148,Hallelujah Challenge Worship Medley,Nathaniel Bassey,500,91,450,741.0
149,You Are God (Live),"Chingtok Ishaku, House of Judah",81,510,450,741.0
150,Mai Taimako Na (My Helper),Solomon Lange,500,92,450,742.0
151,Eze (Radio Edit) [feat. Osby Berry],Dare David,82,510,450,742.0
152,Arojinle (Deep Thought),Adeyinka Alaseyori,500,93,450,743.0
153,Yesu Na,Steve Crown,500,95,450,745.0
154,No One Like You,"Flavour, Semah",86,510,450,746.0
155,Jesus Is Coming,Judikay,87,510,450,747.0
156,He Keeps on Doing,Benjamin Dube,88,510,450,748.0
157,Je Laisse Tout A Dieu,Indira,500,98,450,748.0
158,My Everything,Joe Mettle,500,99,450,749.0
159,INDOMITABLE - JIMMY D PSALMIST (OFFICIAL VIDEO),Jimmy D Psalmist,500,510,5,1011.6666666666666
160,Imole,Sola Allyson,500,510,6,1012.0
161,Worship Medley (feat. Toks Nnamani),Kaydee Numbere,500,510,9,1013.0
162,Nothing Without You (feat. Kirk Whalum),Dr Tumi,500,510,10,1013.3333333333334
163,Rejoice in the Lord Philippians 4:4,Victoria Orenze,500,510,11,1013.6666666666666
164,One Moment,Freke Umoh,500,510,12,1014.0
165,Magnify,Dare David,500,510,13,1014.3333333333334
166,Jesus Jehovah,Lara George,500,510,15,1015.0
167,Jesus Never Fails,MaryJane Nweke,500,510,23,1017.6666666666666
168,Knowing You,Minister GUC,500,510,25,1018.3333333333334
169,Unchangeable,Joe Praize,500,510,26,1018.6666666666666
170,Take Over,1spirit & Theopilus Sunday,500,510,28,1019.3333333333334
171,Adonai [Live],Elijah Oyelade,500,510,29,1019.6666666666666
172,WE WORSHIP YOU,Frank Edwards,500,510,33,1021.0
173,Your Word Is Truth (Live),CHRIS SHALOM,500,510,35,1021.6666666666666
174,Show Up,Ema Onyx,500,510,36,1022.0
175,Peace In the Storm,Sinach,500,510,39,1023.0
176,You No Dey Use Me Play,Ema Onyx,500,510,42,1024.0
177,Rid Me of Those Things,Elijah Oyelade,500,510,46,1025.3333333333333
178,My Praise (feat. Solomon Lange),Norine Mindeyes,500,510,47,1025.6666666666667
179,Great I Am,Dare David,500,510,48,1026.0
180,Afarafa,Sola Allyson,500,510,49,1026.3333333333333
181,Healing Stream,Evans Ighodalo,500,510,50,1026.6666666666667
182,Omeriwo (feat. Henrisoul & Mercy Chinwo),Sammie Okposo,500,510,52,1027.3333333333333
183,Yahweh Be Praised ( Live ),Emmasings,500,510,53,1027.6666666666667
184,All That Matters,GUC,500,510,56,1028.6666666666667
185,I Overcame,Ada Ehi,500,510,59,1029.6666666666667
186,Yours (Live),Minister GUC,500,510,62,1030.6666666666667
187,Mimo,Sola Allyson,500,510,65,1031.6666666666667
188,Imole De,Dunsin Oyekan,500,510,68,1032.6666666666667
189,IZURUKEME (more than enough),Promise Benson,500,510,69,1033.0
190,Gratitude,Tope Alabi,500,510,70,1033.3333333333333
