rank,song,artist,Previous week,weeks on chart
1,Everything (Amen),Ada Ehi,1,9
2,Too Faithful,Moses Bliss,2,9
3,Congratulations (feat. Buchi),Ada Ehi,3,8
4,Worship Your Maker,Dunsin Oyekan,5,8
5,Omemma,Judikay,4,9
6,Now,Ada Ehi,6,8
7,Excess Love (feat. J.J. Hairston & Youthful Praise) [Remix],Mercy Chinwo,7,9
8,Nara (feat. Travis Greene),Tim Godfrey,8,8
9,Bigger Everyday,"Moses Bliss,  Festizie,  Membrane,  Uwa,  Chris Heavens and  Temple",9,8
10,Olorun Agbaye - You Are Mighty (feat. Chandler Moore & O/B/A),Nathaniel Bassey,10,6
11,Jehovah Overdo,Chidinma,11,9
12,Hosanna (Live),Steve Crown,12,9
13,Yahweh Yahweh (feat. Sinach),Nathaniel Bassey,15,3
14,Obinasom,Mercy Chinwo,13,8
15,You are Yahweh,Steve Crown,14,8
16,Onyedikagi (feat. Glowrie),Mercy Chinwo,16,9
17,Way Maker,Sinach,17,8
18,Ye Obua Mi (My Help),Joe Mettle,18,9
19,Beautiful (feat. Nathaniel Bassey),Sinach,21,7
20,Faithful God (Live),Onos,19,8
21,Jesus (feat. Mercy Chinwo),Samsong,20,7
22,You are Great,Steve Crown,22,9
23,My Father My God,Jimmy D Psalmist,23,9
24,Fragrance to Fire,Dunsin Oyekan,25,9
25,More Than Gold,Judith Kanayo,30,9
26,At All Cost,Dunsin Oyekan,28,9
27,Yes And Amen,Tope Alabi,26,9
28,Hallelujah No Go Finish,Freke Umoh,27,9
29,Covenant Keeping God,Jimmy D Psalmist,24,9
30,You Are Worthy,Tope Alabi,32,7
31,Na You Dey Reign,Mercy Chinwo,31,8
32,Iyanu a Sele (feat. Pastor E.A Adeboye & Tope Alabi),Tim Godfrey,33,7
33,Chinedum,Mercy Chinwo,34,7
34,In Your Hands,Moses Bliss,36,5
35,All That Matters,Minister GUC,35,4
36,Mighty God (feat. Nathaniel Bassey),Steve Crown,38,9
37,NO OTHER NAME,Frank Edwards,29,9
38,My Father & My Friend (feat. Stephanie Kome Ita),Elijah Oyelade,37,9
39,Imela,Steve Crown,39,6
40,Halleluyah,Tope Alabi,41,4
41,Battles,Tim Godfrey,40,8
42,All Things Are Ready,Sinach,42,9
43,Under The Canopy,Frank Edwards,43,9
44,Bless Me (feat. Ada Ehi),Mercy Masika,44,6
45,Never Go Down ft. Limoblaze,Ada Ehi,45,2
46,Adom Grace,Diana Hamilton,46,2
47,Hallelujah Challenge Praise Medley,Nathaniel Bassey,47,2
48,More Than Enough,Ada Ehi,48,2
49,Capable God,Judikay,0,1
50,Thank You For My Life,Ada Ehi,0,1
