Position,artist,album
1,Drake,Certified Lover Boy
2,Wizkid,Made In Lagos: Deluxe Edition
3,Kanye West,Donda
4,Ayra Starr,19 & Dangerous
5,Johnny Drille,Before We Fall Asleep
6,Tiwa Savage,Water & Garri - EP
7,Troniq Music & Oxlade,Eclipse - EP
8,Dave,We're All Alone In This Together
9,Dangbana Republik & Bella Shmurda,High Tension 2.0
10,Lojay & Sarz,LV N ATTN - EP
11,Doja Cat,Planet Her (Deluxe)
12,Burna Boy,Twice As Tall
13,Lil Baby & Lil Durk,The Voice of the Heroes
14,Ruger,PANDEMIC - EP
15,PsychoYP,Euphoria
16,Rod Wave,SoulFly (Deluxe Version)
17,Olamide,UY Scuti
18,Pop Smoke,Faith
19,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
20,KCee & Okwesili Eze Group,Cultural Praise
21,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
22,J. Cole,The Off-Season
23,The Cavemen.,Roots
24,YKB,Before I Blow
25,Tems,For Broken Ears
26,Burna Boy,African Giant
27,Migos,Culture III (Deluxe)
28,Imagine Dragons,Mercury - Act 1
29,Polo G,Hall of Fame
30,Davido,A Better Time
31,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
32,Lil Durk,The Voice (Deluxe)
33,Chike,Boo of the Booless
34,Liya,Alari - EP
35,J Hus,Big Conspiracy
36,Obongjayar & Sarz,Sweetness - EP
37,Elevation Worship & Maverick City Music,Old Church Basement
38,Fireboy DML,APOLLO
39,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
40,Ria Sean,Fluid (EP)
41,Blaqbonez,Sex Over Love
42,Skepta,All In - EP
43,Ayanfe,All That Matters
44,Yung Bleu,Moon Boy
45,Lil Baby,My Turn (Deluxe)
46,Nas,King's Disease II
47,Judikay,Man of Galilee
48,Wizkid,Superstar
49,Fireboy DML,"Laughter, Tears & Goosebumps"
50,Dunsin Oyekan,The Gospel of the Kingdom
51,Trippie Redd,Trip At Knight (Complete Expanded Edition)
52,Teni,WONDALAND
53,Joeboy,Somewhere Between Beauty & Magic
54,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
55,Billie Eilish,Happier Than Ever
56,Roddy Ricch,Please Excuse Me For Being Antisocial
57,Laycon,...Shall We Begin...
58,The Weeknd,After Hours
59,Travis Scott,ASTROWORLD
60,Juice WRLD,Legends Never Die (Video Version)
61,Davido,A Good Time
62,Little Simz,Sometimes I Might Be Introvert
63,Victor AD,Nothing To Prove - EP
64,Cheque,Bravo
65,Basketmouth,Yabasi
66,Bella Shmurda,High Tension
67,Mercy Chinwo,SATISFIED
68,Pop Smoke,Meet the Woo 2 (Deluxe)
69,Gunna,WUNNA (Deluxe)
70,OneRepublic,Human (Deluxe)
71,Omah Lay,Get Layd - EP
72,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
73,Toosii,Platinum Heart (Deluxe)
74,Olivia Rodrigo,SOUR (Video Version)
75,Olamide,Carpe Diem
76,Spinall,"Afromix, Ep. 2 (DJ Mix)"
77,Jackboy,Jackboy 2
78,Minister GUC,The Message
79,42 Dugg,Free Dem Boyz (Deluxe)
80,Rotimi,All or Nothing
81,YoungBoy Never Broke Again,Top
82,Young Thug,BEAUTIFUL THUGGER GIRLS
83,Not3s,3 Th3 Album
84,CKay,Boyfriend
85,Ayra Starr,Ayra Starr - EP
86,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
87,Juice WRLD,Death Race for Love
88,Drake,Dark Lane Demo Tapes
89,Maverick City Music,Jubilee: Juneteenth Edition
90,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
91,DJ Khaled,KHALED KHALED
92,SAINt JHN,Ghetto Lenny's Love Songs
93,Burna Boy,Outside
94,Drake,Scorpion
95,Abra Cadabra,Product of My Environment
96,Wizkid,Ayo
97,Kanye West,JESUS IS KING
98,The Spirituals,Black History Project (Live from London) - EP
99,Omah Lay,What Have We Done - EP
100,Lil Nas X,MONTERO
101,Polo G,THE GOAT
102,Dave,PSYCHODRAMA
103,Oxlade,OXYGENE - EP
104,Wizkid,Sounds From the Other Side
105,Jaywillz,Love or the Word (EP)
106,Lil Tecca,We Love You Tecca 2 (Deluxe)
107,Future,High Off Life
108,The Kid LAROI,F*CK LOVE 3+: OVER YOU
109,Laolu Gbenjo,"Spontaneous Praise, Vol. 1"
110,Polo G,Die a Legend
111,6LACK,East Atlanta Love Letter
112,GIVĒON,When It's All Said And Done... Take Time
113,Rexxie,A True Champion
114,Post Malone,Hollywood's Bleeding
115,Travis Greene,Oil + Water
116,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
117,Show Dem Camp,The Palmwine Express
118,Tope Alabi,Yes and Amen
119,SAINt JHN,While the World Was Burning
120,21 Savage & Metro Boomin,SAVAGE MODE II
121,Drake,Views
122,Jeriq,Hood Boy Dreams - EP
123,Kodak Black,Haitian Boy Kodak
124,Adekunle Gold,"Afro Pop, Vol. 1"
125,Sola Allyson,ÌRÌ (The Album Live)
126,.SM,Fixed Dice
127,Lorde,Solar Power
128,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
129,Roddy Ricch,Feed Tha Streets ll
130,Beyoncé,The Lion King: The Gift [Deluxe Edition]
131,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
132,NSG,Roots
133,Blxst,No Love Lost (Deluxe)
134,Brymo,Yellow
135,Erigga,Before the Chaos-EP
136,Central Cee,Wild West
137,Drake,Take Care (Deluxe Version)
138,Post Malone,beerbongs & bentleys
139,Mannywellz,Mirage
140,Belly,See You Next Wednesday
141,Amaarae,THE ANGEL YOU DON'T KNOW
142,Lil Tjay,Destined 2 Win
143,YNW Melly,Just A Matter of Slime
144,Jhené Aiko,Chilombo (Deluxe Video Version)
145,Kendrick Lamar,DAMN.
146,Nathaniel Bassey,The King Is Coming
147,Chris Brown,Indigo (Extended)
148,Drake,More Life
149,J Hus,Common Sense
150,MohBad,Light
151,Jaido P,Shopla
152,Tope Alabi & Ty Bello,The Spirit of Light
153,Khalid,Free Spirit
154,Zamir,FLOWERBOI4000
155,Nasty C,Zulu Man With Some Power
156,Meek Mill,Wins & Losses (Deluxe)
157,The Weeknd,Starboy
158,Jon Bellion,The Human Condition
159,Tion Wayne,Green With Envy
160,XXXTENTACION,?
161,Kanye West,The Life of Pablo
162,Various Artists,Budweiser (Remix)
163,Toosii,Thank You For Believing (The Manifestation)
164,Dremo & Jeriq,Ea$t N We$t - EP
165,Summer Walker,Over It
166,Santi,Mandy & The Jungle
167,Young Thug,So Much Fun (Deluxe)
168,The Weeknd,Beauty Behind the Madness
169,Sam Smith,Love Goes
170,Lil Durk,Signed to the Streets 3
171,BIG30,King Of Killbranch
172,Corizo,Dead Rose
173,Kodak Black,Dying to Live
174,Peruzzi,Rum & Boogie
175,Offset,FATHER OF 4
176,Rudeboy,Rudykillus
177,Nasty C,Strings and Bling
178,Sia,This Is Acting (Deluxe Version)
179,J. Cole,2014 Forest Hills Drive
180,Tribl & Maverick City Music,Tribl I
181,Kida Kudz,TOP MEMBA
182,Future,HNDRXX
183,Khalid,American Teen
184,Meek Mill,Championships
185,KDDO,TOO LATE TOO LIT (EP)
186,Spinall,"Afromix, Ep. 1 (DJ Mix)"
187,Gunna,Drip Season 3 (Deluxe)
188,Justin Bieber,Freedom. - EP
189,Halsey,"If I Can’t Have Love, I Want Power"
190,NF,The Search
191,Jaden,CTV3: Day Tripper's Edition
192,Isaiah Rashad,The House Is Burning
193,M.I Abaga,MI 2: The Movie
194,Lil Baby,Street Gossip
195,Balloranking,Zero Panic - EP
196,"Tyler, The Creator",CALL ME IF YOU GET LOST
197,Future,Future Hndrxx Presents: The WIZRD
198,Flavour,Flavour of Africa
