rank,song,artist,R1,R2,R3,RT
46,p u n c h i n \xe2\x80\x98 . t h e . c l o c k,J. Cole,36,44,54,44.666666666666664
47,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,48,48,45,47.0
48,Fendi (feat. Joeboy),Blaqbonez,45,47,52,48.0
49,Kilofeshe,Zinoleesky,52,49,44,48.333333333333336
50,Godly,Omah Lay,49,50,47,48.666666666666664
51,INJURE ME,Teni,51,51,46,49.333333333333336
52,KPK (Ko Por Ke),"Rexxie, MohBad",53,52,48,51.0
53,Too Correct,"Crayon, Rema",50,53,51,51.333333333333336
54,t h e . c l i m b . b a c k,J. Cole,44,55,65,54.666666666666664
55,Okwaraji,Blaqbonez,55,56,53,54.666666666666664
56,Cash App,"Bella Shmurda, Zlatan, Lincoln",57,54,56,55.666666666666664
57,Way Too Big,Burna Boy,60,57,55,57.333333333333336
58,Verified (feat. Mayorkun),Laycon,59,58,60,59.0
59,Reckless,Wizkid,63,59,58,60.0
60,Bank on It,Burna Boy,62,60,59,60.333333333333336
61,Runaway,AURORA,61,62,62,61.666666666666664
62,Jowo,Davido,66,63,57,62.0
63,Loco (feat. Mayorkun),KDDO,64,61,66,63.666666666666664
64,h u n g e r . o n . h i l l s i d e,"J. Cole, Bas",54,66,74,64.66666666666667
65,Abu Dhabi,Ruger,69,64,61,64.66666666666667
66,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",65,68,64,65.66666666666667
67,Infinity (feat. Omah Lay),Olamide,70,67,63,66.66666666666667
68,Straightenin,Migos,58,65,79,67.33333333333333
69,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,68,70,68,68.66666666666667
70,c l o s e,J. Cole,56,69,82,69.0
71,Real Life (feat. Stormzy),Burna Boy,73,71,69,71.0
72,Door,"Joeboy, Kwesi Arthur",74,75,67,72.0
73,Body,"Russ Millions, Tion Wayne",71,74,72,72.33333333333333
74,No Stress,Wizkid,75,72,70,72.33333333333333
75,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,72,73,75,73.33333333333333
76,Longtime (feat. Skepta),Wizkid,77,76,71,74.66666666666667
77,Cho Cho (feat. Davido & Mayorkun),Zlatan,78,77,78,77.66666666666667
78,RAPSTAR,Polo G,81,84,73,79.33333333333333
79,Away,Ayra Starr,79,81,80,80.0
80,Beamer Body,"KDDO, Davido",80,83,77,80.0
81,Sweet One,Wizkid,82,78,83,81.0
82,Holy Ground (feat. Nicki Minaj),Davido,84,86,76,82.0
83,Koleyewon,Naira Marley,83,85,81,83.0
84,His & Hers (feat. Gunna),"Internet Money, Don Toliver, Lil Uzi Vert",76,79,97,84.0
85,Loading (feat. Bad Boy Timz),Olamide,87,80,86,84.33333333333333
86,Mighty Wine,Wizkid,89,82,84,85.0
87,True Love (feat. Tay Iwar & Projexx),Wizkid,85,87,87,86.33333333333333
88,Calling My Phone,"Lil Tjay, 6LACK",86,89,89,88.0
89,Ruger,Ruger,93,88,85,88.66666666666667
90,Focus Beat Dance,Hagman,67,101,101,89.66666666666667
91,Damages,Tems,91,91,88,90.0
92,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,92,90,94,92.0
93,Mood Swings (feat. Lil Tjay),Pop Smoke,94,92,92,92.66666666666667
94,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,90,95,93,92.66666666666667
95,Piece of Me (feat. Ella Mai),Wizkid,96,93,90,93.0
96,Sere (Remix),"Spinall, Fireboy DML, 6LACK",88,94,98,93.33333333333333
97,Bad Influence,Omah Lay,100,97,91,96.0
98,Your Body,Mayorkun,98,98,96,97.33333333333333
99,World (Alternate Cut),"Dangbana Republik, Bella Shmurda",95,96,101,97.33333333333333
100,Onyeka (Baby),Burna Boy,95,101,101,99.0
