Position,song,artist,album
1,Essence (feat. Tems),Wizkid,Made In Lagos
2,All (feat. Davido),Rexxie,A True Champion
3,Rock,Olamide,UY Scuti
4,Feeling,"LADIPOE, Buju",Feeling - Single
5,Show Me,Joeboy,Somewhere Between Beauty & Magic
6,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay],Justin Bieber,Peaches (Masterkraft Remix) [feat. Alpha P & Omah Lay] - Single
7,Fine Wine (feat. King Promise & Joeboy),R2Bees,Fine Wine (feat. King Promise & Joeboy)
8,Outside,Buju,Outside - Single
9,Send Me Nudes (feat. Joey B),KiDi,The Golden Boy
10,Soundgasm,Rema,Soundgasm - Single
11,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
12,Bank On It,Burna Boy,Twice As Tall
13,Slow Down,King Promise,Slow Down - Single
14,Kogi (feat. Bella Shmurda & Poco Lee),Jumabee,Kogi (feat. Bella Shmurda & Poco Lee) - Single
15,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
16,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
17,Bounce,Ruger,PANDEMIC - EP
18,Sisi Caro,"Governor of Africa, Oxlade",Sisi Caro - Single
19,Korope,"Lil Kesh, Naira Marley",Korope - Single
20,Carry Go (feat. Zlatan),Schengen Owner,Carry Go (feat. Zlatan) - Single
21,Kilometre,Burna Boy,Kilometre - Single
22,Oshofree (feat. s3nami),YKB,Oshofree - Single (feat. s3nami) - Single
23,Somebody (feat. Phyno),Olamide,UY Scuti
24,It Is What It Is,Adekunle Gold,It Is What It Is - Single
25,Do Yourself,"Angelique Kidjo, Burna Boy",Mother Nature
26,So Long (feat. Tomi Thomas & Larry Gaaga),Sjxy,So Long (feat. Tomi Thomas & Larry Gaaga) - Single
27,Tonight,Yung D3mz,Tonight - Single
28,PEPE,"L.A.X, Davido",PEPE - Single
29,Berna Reloaded,"Flavour, Fally Ipupa, Diamond Platnumz",Berna Reloaded - Single
30,DKT,Oxlade,DKT - Single
31,PANTIES,Kagwe Mungai,PANTIES - Single
32,Jackpot (feat. Bella Shmurda),Crayon,Jackpot (feat. Bella Shmurda) - Single
33,Kenkey Seller (Remix) [feat. Medikal],Quamina Mp,Kenkey Seller (Remix) [feat. Medikal] - Single
34,Inside House,"D-Tac, Soundz",Inside House - Single
35,Sere (Remix),"Spinall, Fireboy DML, 6LACK",Sere (Remix) - Single
36,Sw\xc3\xa9,Mus,Sw\xc3\xa9 - Single
37,PonPon (feat. Fave),Olamide,UY Scuti
38,Juju,Idyl,Juju - Single
39,Coming,"Naira Marley, Busiswa",Coming - Single
40,KAMBA,Terry Apala,KAMBA - Single
41,Ohemaa,Kelvin Black,Mama Stella - EP
42,Melanin,June Freedom,Anchor Baby
43,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,A True Champion
44,Egbon,"Masterkraft, Phyno",Egbon - Single
45,Chill,KO-C,Chill - Single
46,La La (feat. CKay),Davido,A Better Time
47,Southy Love (feat. Fireboy DML),Peruzzi,Southy Love (feat. Fireboy DML) - Single
48,Kilofeshe,Zinoleesky,Kilofeshe - Single
49,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
50,Let Dem Kno,"Smallgod, Tiwa Savage, Kwesi Arthur",Building Bridges
51,Lifestyle,Fireboy DML,APOLLO
52,Sika (feat. Sarkodie & Kweku Flick) [Remix],Sista Afia,Sika (Remix) [feat. Sarkodie & Kweku Flick] - Single
53,Duro,"Ojayy Wright, Bad Boy Timz",Commander in Chief
54,Yuda,Nandy,Taste - EP
55,World,"Dangbana Republik, Bella Shmurda",World - Single
56,Tropical Breeze,"Magnom, Caine",Tropical Breeze - Single
57,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
58,Okay,Adekunle Gold,"Afro Pop, Vol. 1"
59,"Don Dada (feat. Boyymaph, Moudini & LT)",Killer Producer,Mark My Words
60,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
61,Southside,Delvino,Southside - Single
62,Fendi (feat. Joeboy),Blaqbonez,Sex Over Love
63,KOLO (feat. Oxlade),Ice Prince,KOLO (feat. Oxlade) - Single
64,Door,"Joeboy, Kwesi Arthur",Door - Single
65,Loco (feat. Mayorkun),KDDO,TOO LATE TOO LIT (EP)
66,Money,"Terri, Bella Shmurda, MohBad",Money - Single
67,LEGGO,"Serge Ibaka, Tayc",LEGGO - Single
