Position,artist,album
1,Dave,We\'re All Alone In This Together
2,Pop Smoke,Faith (Deluxe)
3,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
4,Dangbana Republik & Bella Shmurda,High Tension 2.0
5,Lojay & Sarz,LV N ATTN - EP
6,Wizkid,Made In Lagos
7,Olamide,UY Scuti
8,Yung Bleu,Moon Boy
9,Obongjayar & Sarz,Sweetness - EP
10,Kida Kudz,TOP MEMBA
11,Ruger,PANDEMIC - EP
12,Lil Baby & Lil Durk,The Voice of the Heroes
13,Doja Cat,Planet Her (Deluxe)
14,Burna Boy,Twice As Tall
15,The Kid LAROI,F*CK LOVE 3: OVER YOU
16,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
17,Migos,Culture III (Deluxe)
18,J. Cole,The Off-Season
19,Polo G,Hall of Fame
20,Teni,WONDALAND
21,The Cavemen.,Roots
22,Davido,A Better Time
23,Blaqbonez,Sex Over Love
24,KCee & Okwesili Eze Group,Cultural Praise
25,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
26,1da Banton,Original Vibe Machine
27,Chike,Boo of the Booless
28,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
29,Rexxie,A True Champion
30,Burna Boy,African Giant
31,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
32,Joeboy,Somewhere Between Beauty & Magic
33,Wizkid,Superstar
34,Fireboy DML,APOLLO
35,Lil Durk,The Voice (Deluxe)
36,Judikay,Man of Galilee
37,J Hus,Big Conspiracy
38,Elevation Worship & Maverick City Music,Old Church Basement
39,DJ Khaled,KHALED KHALED
40,EST Gee,Bigger Than Life Or Death
41,Laycon,...Shall We Begin...
42,Davido,A Good Time
43,Olivia Rodrigo,SOUR
44,Roddy Ricch,Please Excuse Me For Being Antisocial
45,Kanye West,The Life of Pablo
46,Bella Shmurda,High Tension
47,Juice WRLD,Legends Never Die (Video Version)
48,Jaywillz,Love or the Word (EP)
49,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
50,The Weeknd,After Hours
51,Rod Wave,SoulFly
52,Tems,For Broken Ears
53,Dunsin Oyekan,The Gospel of the Kingdom
54,Kanye West,JESUS IS KING
55,Basketmouth,Yabasi
56,Tribl & Maverick City Music,Tribl I
57,DARKOO,2 in 1
58,Lil Baby,My Turn (Deluxe)
59,Travis Scott,ASTROWORLD
60,Fireboy DML,"Laughter, Tears & Goosebumps"
61,Dave,PSYCHODRAMA
62,Pop Smoke,Meet the Woo 2 (Deluxe)
63,Omah Lay,Get Layd - EP
64,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
65,Abra Cadabra,Product of My Environment
66,Omah Lay,What Have We Done - EP
67,Olamide,Carpe Diem
68,Wizkid,Ayo
69,CKay,Boyfriend
70,KSI,All Over The Place (Platinum Edition)
71,Ayo Jay,Wonder Shall Never End - EP
