Position,artist,album
1,Tiwa Savage,Water & Garri - EP
2,Troniq Music & Oxlade,Eclipse - EP
3,Ayra Starr,19 & Dangerous
4,Dave,We're All Alone In This Together
5,Wizkid,Made In Lagos (Deluxe)
6,Lojay & Sarz,LV N ATTN - EP
7,Dangbana Republik & Bella Shmurda,High Tension 2.0
8,Liya,Alari - EP
9,Rod Wave,SoulFly (Deluxe Version)
10,Trippie Redd,Trip At Knight (Complete Expanded Edition)
11,Doja Cat,Planet Her (Deluxe)
12,Burna Boy,Twice As Tall
13,Lil Baby & Lil Durk,The Voice of the Heroes
14,Olamide,UY Scuti
15,Pop Smoke,Faith
16,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
17,Ruger,PANDEMIC - EP
18,The Cavemen.,Roots
19,Skepta,All In - EP
20,Obongjayar & Sarz,Sweetness - EP
21,Nas,King's Disease II
22,Burna Boy,African Giant
23,Polo G,Hall of Fame
24,Migos,Culture III (Deluxe)
25,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
26,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
27,J. Cole,The Off-Season
28,Yung Bleu,Moon Boy
29,Davido,A Better Time
30,Blaqbonez,Sex Over Love
31,Chike,Boo of the Booless
32,Billie Eilish,Happier Than Ever
33,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
34,Lorde,Solar Power
35,Elevation Worship & Maverick City Music,Old Church Basement
36,KCee & Okwesili Eze Group,Cultural Praise
37,Judikay,Man of Galilee
38,Teni,WONDALAND
39,Travis Greene,Oil + Water
40,Dreylo,Mixed Feelings
41,Lil Durk,The Voice (Deluxe)
42,Roddy Ricch,Please Excuse Me For Being Antisocial
43,Victor AD,Nothing To Prove - EP
44,J Hus,Big Conspiracy
45,Lil Baby,My Turn (Deluxe)
46,Fireboy DML,APOLLO
47,Travis Scott,ASTROWORLD
48,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
49,Tems,For Broken Ears
50,The Weeknd,After Hours
51,Wizkid,Superstar
52,Laycon,...Shall We Begin...
53,YNW Melly,Just A Matter of Slime
54,Juice WRLD,Legends Never Die (Video Version)
55,Dunsin Oyekan,The Gospel of the Kingdom
56,Fireboy DML,"Laughter, Tears & Goosebumps"
57,Joeboy,Somewhere Between Beauty & Magic
58,Basketmouth,Yabasi
59,Bella Shmurda,High Tension
60,DJ Khaled,KHALED KHALED
61,Rexxie,A True Champion
62,Young Thug,BEAUTIFUL THUGGER GIRLS
63,Burna Boy,Outside
64,Mercy Chinwo,SATISFIED
65,Davido,A Good Time
66,dvsn & Ty Dolla $ign,Cheers to the Best Memories
67,Polo G,THE GOAT
68,Gunna,WUNNA (Deluxe)
69,Olivia Rodrigo,SOUR (Video Version)
70,SAINt JHN,Ghetto Lenny's Love Songs
