rank,song,artist,R1,R2,R3,R4,R5,R6,R7,RT
73,True Love (feat. Tay Iwar & Projexx),Wizkid,83,78,74,73,70,68,71,73.85714285714286
74,Bad Influence,Omah Lay,73,75,76,78,75,77,77,75.85714285714286
75,Mighty Wine,Wizkid,82,80,78,76,73,74,72,76.42857142857143
76,Holy Ground (feat. Nicki Minaj),Davido,76,77,82,79,76,70,76,76.57142857142857
77,RAPSTAR,Polo G,75,79,72,80,74,76,87,77.57142857142857
78,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,85,83,79,75,77,75,80,79.14285714285714
79,Loco (feat. Mayorkun),KDDO,70,76,84,77,84,85,81,79.57142857142857
80,Body,"Russ Millions, Tion Wayne",77,74,73,82,83,90,97,82.28571428571429
81,Calling My Phone,"Lil Tjay, 6LACK",95,85,77,81,78,79,82,82.42857142857143
82,Koleyewon,Naira Marley,80,81,89,88,85,80,79,83.14285714285714
83,Damages,Tems,89,88,81,84,81,82,84,84.14285714285714
84,Mood Swings (feat. Lil Tjay),Pop Smoke,88,86,86,83,82,78,88,84.42857142857143
85,Cho Cho (feat. Davido & Mayorkun),Zlatan,74,87,94,90,91,89,69,84.85714285714286
86,Onyeka (Baby),Burna Boy,87,89,87,87,86,83,83,86.0
87,Piece of Me (feat. Ella Mai),Wizkid,92,94,90,85,79,81,85,86.57142857142857
88,Loading (feat. Bad Boy Timz),Olamide,84,91,92,89,88,88,90,88.85714285714286
89,Beamer Body,"KDDO, Davido",86,90,85,93,90,91,92,89.57142857142857
90,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,91,93,95,91,87,86,93,90.85714285714286
91,Your Body,Mayorkun,90,96,96,95,89,87,89,91.71428571428571
92,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,96,95,91,94,92,95,95,94.0
93,Okay,Adekunle Gold,99,99,98,97,96,97,99,97.85714285714286
94,p u n c h i n \xe2\x80\x98 . t h e . c l o c k,J. Cole,63,63,60,71,80,92,301,104.28571428571429
95,GANG GANG,"Polo G, Lil Wayne",94,82,83,86,93,96,301,119.28571428571429
96,t h e . c l i m b . b a c k,J. Cole,81,84,80,92,95,301,301,147.71428571428572
97,h u n g e r . o n . h i l l s i d e,"J. Cole, Bas",93,92,88,98,98,301,301,153.0
98,c l o s e,J. Cole,98,97,93,99,301,301,301,184.28571428571428
99,MONTERO (Call Me By Your Name),Lil Nas X,301,301,100,96,94,98,301,184.42857142857142
100,Straightenin,Migos,97,98,97,100,301,301,301,185.0
101,Kiss Me More (feat. SZA),Doja Cat,301,301,301,301,97,93,94,212.57142857142858
102,Triumphant (feat. Bella Shmurda),Olamide,301,301,301,301,100,94,96,213.42857142857142
103,Smile (feat. H.E.R.),Wizkid,301,301,301,301,99,99,100,214.57142857142858
104,Sere (Remix),"Spinall, Fireboy DML, 6LACK",100,100,99,301,301,301,301,214.71428571428572
105,Money,"Terri, Bella Shmurda, MohBad",301,301,301,301,301,29,18,221.71428571428572
106,Music Messiah,"DJ Neptune, Wande Coal",301,301,301,301,301,301,48,264.85714285714283
107,Ayewada,Barry Jhay,301,301,301,301,301,301,64,267.14285714285717
108,This Your Body,"Skales, Davido",301,301,301,301,301,301,74,268.57142857142856
109,Freaky,Hotkid,301,301,301,301,301,100,301,272.2857142857143
