,song,artist,album
41,Commitment Issues,Central Cee,Wild West
42,Too Correct,"Crayon, Rema",Twelve A.M - EP
43,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
44,Okwaraji,Blaqbonez,Sex Over Love
45,Kilofeshe,Zinoleesky,Kilofeshe - Single
46,9 5 . s o u t h,J. Cole,The Off-Season
47,Abu Dhabi,Ruger,PANDEMIC - EP
48,Way Too Big,Burna Boy,Twice as Tall
49,Bank on It,Burna Boy,Twice As Tall
50,Jowo,Davido,A Better Time
51,Reckless,Wizkid,Made In Lagos
52,Fendi (feat. Joeboy),Blaqbonez,Sex Over Love
53,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
54,Door,"Joeboy, Kwesi Arthur",Door - Single
55,Infinity (feat. Omah Lay),Olamide,Carpe Diem
56,Runaway,AURORA,All My Demons Greeting Me As a Friend (Deluxe)
57,HEARTBREAK ANNIVERSARY,GIV\xc4\x92ON,HEARTBREAK ANNIVERSARY - Single
58,Real Life (feat. Stormzy),Burna Boy,Twice as Tall
59,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open - Single
60,a p p l y i n g . p r e s s u r e,J. Cole,The Off-Season
61,No Stress,Wizkid,Made In Lagos
62,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
63,Seeing Green,"Nicki Minaj, Drake, Lil Wayne",Beam Me Up Scotty
64,Verified (feat. Mayorkun),Laycon,...Shall We Begin...
65,Sweet One,Wizkid,Made In Lagos
66,Ruger,Ruger,PANDEMIC - EP
67,True Love (feat. Tay Iwar & Projexx),Wizkid,Made In Lagos
68,Longtime (feat. Skepta),Wizkid,Made In Lagos
69,Holy Ground (feat. Nicki Minaj),Davido,A Better Time
70,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK",The Off-Season
71,Away,Ayra Starr,Ayra Starr - EP
72,i n t e r l u d e,J. Cole,The Off-Season
73,Mighty Wine,Wizkid,Made In Lagos
74,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,KHALED KHALED
75,RAPSTAR,Polo G,RAPSTAR - Single
76,Bad Influence,Omah Lay,Get Layd - EP
77,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon
78,Calling My Phone,"Lil Tjay, 6LACK",Calling My Phone - Single
79,Koleyewon,Naira Marley,Koleyewon - Single
80,Piece of Me (feat. Ella Mai),Wizkid,Made In Lagos
81,Damages,Tems,For Broken Ears
82,Onyeka (Baby),Burna Boy,Twice As Tall
83,1 0 0 . m i l \xe2\x80\x98,"J. Cole, Bas",The Off-Season
84,Loco (feat. Mayorkun),KDDO,TOO LATE TOO LIT (EP)
85,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay) - Single"
86,Your Body,Mayorkun,Your Body - Single
87,Loading (feat. Bad Boy Timz),Olamide,Carpe Diem
88,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
89,Body,"Russ Millions, Tion Wayne",Body - Single
90,Beamer Body,"KDDO, Davido",TOO LATE TOO LIT (EP)
91,p u n c h i n \xe2\x80\x98 . t h e . c l o c k,J. Cole,The Off-Season
92,Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA) - Single
93,Triumphant (feat. Bella Shmurda),Olamide,Carpe Diem
94,BBC (feat. Tiwa Savage) [Remix],Blaqbonez,Sex Over Love
95,GANG GANG,"Polo G, Lil Wayne",GANG GANG - Single
96,Okay,Adekunle Gold,"Afro Pop, Vol. 1"
97,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name) - Single
98,Smile (feat. H.E.R.),Wizkid,Made In Lagos
99,Freaky,Hotkid,Freaky - Single
