Position,artist,album
1,Tiwa Savage,Water & Garri - EP
2,Oxlade & Troniq Music,Eclipse - EP
3,Ayra Starr,19 & Dangerous
4,Liya,Alari - EP
5,Dave,We're All Alone In This Together
6,Wizkid,Made In Lagos (Deluxe)
7,Rod Wave,SoulFly (Deluxe Version)
8,Trippie Redd,Trip At Knight
9,Dangbana Republik & Bella Shmurda,High Tension 2.0
10,Lojay & Sarz,LV N ATTN - EP
11,Doja Cat,Planet Her (Deluxe)
12,Olamide,UY Scuti
13,Lil Baby & Lil Durk,The Voice of the Heroes
14,Burna Boy,Twice As Tall
15,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
16,Pop Smoke,Faith
17,Lorde,Solar Power
18,Ruger,PANDEMIC - EP
19,Nas,King's Disease II
20,The Cavemen.,Roots
21,Yung Bleu,Moon Boy
22,Migos,Culture III (Deluxe)
23,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
24,J. Cole,The Off-Season
25,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
26,Skepta,All In - EP
27,Tion Wayne,Green With Envy
28,Chike,Boo of the Booless
29,Blaqbonez,Sex Over Love
30,Billie Eilish,Happier Than Ever
31,Polo G,Hall of Fame
32,Travis Greene,Oil + Water
33,Davido,A Better Time
34,Burna Boy,African Giant
35,Judikay,Man of Galilee
36,KCee & Okwesili Eze Group,Cultural Praise
37,dvsn & Ty Dolla $ign,Cheers to the Best Memories
38,Teni,WONDALAND
39,Obongjayar & Sarz,Sweetness - EP
40,Fireboy DML,APOLLO
41,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
42,Morell,MVNSV
43,YoungCee,New Fela
44,Lil Durk,The Voice (Deluxe)
45,Wizkid,Superstar
46,Victor AD,Nothing To Prove - EP
47,Dreylo,Mixed Feelings
48,Elevation Worship & Maverick City Music,Old Church Basement
49,YNW Melly,Just A Matter of Slime
50,J Hus,Big Conspiracy
