Position,song,artist,album
1,Champion,"Dangbana Republik, Bella Shmurda",High Tension 2.0
2,Korope,"Lil Kesh, Naira Marley",Korope - Single
3,Mofoti 2.0 (feat. Naira Marley & Sarkodie),Rexxie,A True Champion
4,Check Am,Chief Obi,Check Am - Single
5,Hello \xe1\xba\xb8,"Reminisce, WestSyde",Hello \xe1\xba\xb8 - Single
6,Naira Marley,Zinoleesky,Naira Marley - Single
7,Sapa (feat. Idowest),Bravo AZ,Sapa (feat. Idowest) - Single
8,Abeykehh (feat. Diamond Platnumz & Flavour),Masterkraft,Masta Groove
9,TEMPLE (Remix) [feat. Bella Shmurda & Wande Coal],Aloma,TEMPLE (Remix) [feat. Wande Coal & Bella Shmurda] - Single
10,Kpk (Remix) [feat. Sho Madjozi & MohBad],Rexxie,A True Champion
11,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,Hallelu (feat. Bella Shmurda & Zlatan) - Single
12,Party Next Door,"Dangbana Republik, Bella Shmurda",High Tension 2.0
13,Problem (feat. Idowest),Stackz,N.E.W (Now Everyone\'s Watching) - EP
14,Rush,"Dangbana Republik, Bella Shmurda",Rush - Single
15,Shigege,"DJames, Komo",Shigege - Single
16,Jafafa,"Chinko Ekun, MohBad",Jafafa - Single
17,Troway (feat. Zlatan),Whalez,Troway (feat. Zlatan) - Single
18,Cho Cho (feat. Davido & Mayorkun),Zlatan,Cho Cho (feat. Davido & Mayorkun) - Single
19,Gbowo,Nikita,Gbowo - Single
20,Tekiller,CDQ,Tekiller - Single
21,About Money,SunkkeySnoop,About Money - Single
22,Coming,"Naira Marley, Busiswa",Coming - Single
23,Koleyewon,Naira Marley,Koleyewon - Single
24,Normal (feat. Nigga Tee),Hypeman Dewale Mr Pablo,Normal (feat. Nigga Tee) - Single
25,High Way,"DJ Kaywise, Phyno",High Way - Single
26,Available (feat. MohBad),C Blvck,Available (feat. MohBad) - Single
27,Egbon,"Masterkraft, Phyno",Egbon - Single
28,Mr Money,Asake,Mr Money - Single
29,Focus Vibe,Slimcase,Focus Vibe - Single
30,Asampepe,"Wale Turner, Idowest",Asampepe - Single
31,Meji,"DwillsHarmony, Viktor Snipes, Chinko Ekun",Meji - Single
32,Squander (feat. Niniola & Sayfar) [Remix],"Falz, Kamo Mphela, Mpura",Squander (feat. Niniola & Sayfar) [Remix] - Single
33,Aye Dun Gan,Oyibo Rebel,Aye Dun Gan - Single
34,Kilofese (feat. Mayorkun & Busiswa) [Remix],Zinoleesky,Kilofeshe (Remix) [feat. Mayorkun & Busiswa] - Single
35,Sugar Daddy,"DJ Enimoney, Olamide",Sugar Daddy - Single
36,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD)",Zlatan,"Lagos Anthem Remix (feat. Oberz, Frescool, Oladips, Kabex & TROD) - Single"
37,World,"Dangbana Republik, Bella Shmurda",World - Single
38,Baba Fela Remix (feat. Zlatan & Laycon),Mr. Real,Baba Fela Remix (feat. Zlatan & Laycon) - Single
39,Sugar Daddy (feat. Small Doctor & Mohbad),OG Hyper,Sugar Daddy (feat. Small Doctor & Mohbad) - Single
40,Hallelujah,"Oladips, Zlatan","Mainland To Island ""the Ep"" - EP"
41,Kabaa (feat. Mayorkun),Idowest,"Mafia Culture, Vol. 2.0"
42,Barawo (feat. Davido) [Remix],Ajebo Hustlers,Barawo (Remix) [feat. Davido] - Single
43,Tesina Pot,"Jaido P, Olamide",Tesina Pot - Single
44,Wagwan,Laycon,Wagwan - Single
45,Lagbaja,Sona,Lagbaja - Single
46,Mandeman (feat. Davido) [Remix],Small Doctor,Mandeman (Remix) [feat. Davido] - Single
47,Dey Here,BoyMX,Dey Here - Single
48,Shamaya (feat. Patoranking),Idowest,"Mafia Culture, Vol. 2.0"
49,Prayer (feat. Drekiss),Lexzydreamz,Prayer (feat. Drekiss) - Single
50,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App - Single
51,Aunty Fisayo,QD,Aunty Fisayo - Single
52,Another Banger,Realonyechi,Another Banger - Single
53,Doing Well Remix (feat. Skales),Ryme,Doing Well Remix - Single (feat. Skales) - Single
54,Formula 1,Damibliz,Formula 1 - Single
55,Certainly (feat. Wale Turner & Jaido P),BODE BLAQ,Journey
56,Kokanmi,Qdot,Kokanmi - Single
57,If No Be You (feat. Mayorkun),Jamopyper,If No Be You (feat. Mayorkun) - Single
58,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck],Abramsoul,Pump Your Parry (Remix) [feat. Naira Marley & C Blvck] - Single
59,Mofo,Fikky,Mofo - Single
60,E Choke,Bils,E Choke - Single
61,Kafaya (feat. Bella Shmurda),Daniel Brown,Kafaya (feat. Bella Shmurda) - Single
62,My Life,"Dj Manuel, Zlatan",My Life - Single
63,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan)",DJ Kaywise,"What Type of Dance (feat. Mayorkun, Naira Marley & Zlatan) - Single"
64,Moyan,CDQ,See the Queue - EP
65,Oge (feat. Bad Boy Timz),Anonymous Music,Oge (feat. Bad Boy Timz) - Single
66,Want (feat. DanDizzy),Rage,Want (feat. DanDizzy) - Single
67,Billing Npayan,Obaflow,Billing Npayan - Single
68,Bad Boy,"Dj Fizzy, Baddy Osha, Slimcase, CDQ",Bad Boy - Single
69,NGNP (No Girlfriend No Problem) [feat. Zlatan],Idowest,NGNP (No Girlfriend No Problem) [feat. Zlatan] - Single
70,Dedede,"Boyodre, Dayo Chino",Dedede - Single
71,Hustle (feat. Zlatan),Reklyn,Hustle (feat. Zlatan) - Single
72,The Matter (feat. Papisnoop),Zlatan,RoadToCDK - EP
73,Isolova,Peruzzi,Isolova - Single
74,Olopa (feat. Zlatan),Qdot,Alagbe
75,One Leg Up (feat. Tekno),Blaq Jerzee,One Leg Up (feat. Tekno) - Single
