Position,artist,album
1,Dangbana Republik & Bella Shmurda,High Tension 2.0
2,Lojay & Sarz,LV N ATTN - EP
3,Olamide,UY Scuti
4,Wizkid,Made In Lagos
5,Show Dem Camp,Clone Wars Vol. 5 - The Algorhythm
6,Lil Baby & Lil Durk,The Voice of the Heroes
7,Ruger,PANDEMIC - EP
8,Doja Cat,Planet Her (Deluxe)
9,Burna Boy,Twice As Tall
10,Migos,Culture III (Deluxe)
11,Polo G,Hall of Fame
12,J. Cole,The Off-Season
13,Rexxie,A True Champion
14,Teni,WONDALAND
15,The Cavemen.,Roots
16,Davido,A Better Time
17,Davido,A Good Time
18,Justin Bieber,Justice (Triple Chucks Deluxe / Deluxe Video Version)
19,Blaqbonez,Sex Over Love
20,Chike,Boo of the Booless
21,Burna Boy,African Giant
22,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
23,Joeboy,Somewhere Between Beauty & Magic
24,Lil Durk,Just Cause Y\'all Waited 2 (Deluxe)
25,DJ Khaled,KHALED KHALED
26,Laycon,...Shall We Begin...
27,Elevation Worship & Maverick City Music,Old Church Basement
28,KCee & Okwesili Eze Group,Cultural Praise
29,StarBoy,SoundMan Vol. 1 (feat. Wizkid)
30,Wizkid,Superstar
31,Lil Durk,The Voice (Deluxe)
32,Fireboy DML,APOLLO
33,Tems,For Broken Ears
34,Omah Lay,Get Layd - EP
35,Olivia Rodrigo,SOUR
36,J Hus,Big Conspiracy
37,Judikay,Man of Galilee
38,Rod Wave,SoulFly
39,Roddy Ricch,Please Excuse Me For Being Antisocial
40,Lil Baby,My Turn (Deluxe)
41,Travis Scott,ASTROWORLD
42,Bella Shmurda,High Tension
43,Omah Lay,What Have We Done - EP
44,The Weeknd,After Hours
45,Fireboy DML,"Laughter, Tears & Goosebumps"
46,Vince Staples,Vince Staples
47,Dunsin Oyekan,The Gospel of the Kingdom
48,Basketmouth,Yabasi
49,Juice WRLD,Legends Never Die (Video Version)
50,Jaywillz,Love or the Word (EP)
51,Wizkid,Sounds From the Other Side
52,Olamide,Carpe Diem
53,Pop Smoke,Meet the Woo 2 (Deluxe)
54,Gunna,WUNNA (Deluxe)
55,Falz,Wazup Guy: The Album (Deluxe Edition)
56,Balloranking,Zero Panic - EP
57,Kodak Black,Haitian Boy Kodak
58,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES
59,Mizzle,In The Dark
60,Amaarae,THE ANGEL YOU DON'T KNOW
61,"Young Stoner Life, Young Thug & Gunna",Slime Language 2 (Deluxe)
62,BadboyMarz,Mars - EP
63,Wizkid,Ayo
64,Dave,PSYCHODRAMA
65,Kida Kudz,TOP MEMBA
66,"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya",The Greatest Showman (Original Motion Picture Soundtrack)
67,Moneybagg Yo,A Gangsta's Pain
68,CKay,Boyfriend
69,Burna Boy,Outside
70,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
71,"Tyler, The Creator",CALL ME IF YOU GET LOST
72,Billie Eilish,Happier Than Ever
73,Mercy Chinwo,SATISFIED
74,SAINt JHN,Ghetto Lenny's Love Songs
75,Peruzzi,Rum & Boogie
76,Polo G,THE GOAT
77,6LACK,East Atlanta Love Letter
78,Post Malone,Hollywood's Bleeding
79,Abra Cadabra,Product of My Environment
80,SAINt JHN,While the World Was Burning
81,Future,High Off Life
82,KDDO,TOO LATE TOO LIT (EP)
83,Maverick City Music,Jubilee: Juneteenth Edition
84,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition)
85,Toosii,Platinum Heart (Deluxe)
86,Show Dem Camp,The Palmwine Express
87,YoungBoy Never Broke Again,Top
88,GIVĒON,When It's All Said And Done... Take Time
89,Roddy Ricch,Feed Tha Streets ll
90,H.E.R.,Back of My Mind (Apple Music Edition)
91,Young Thug,BEAUTIFUL THUGGER GIRLS
92,Nicki Minaj,Beam Me Up Scotty
93,Central Cee,Wild West
94,Minister GUC,The Message
95,Juice WRLD,Death Race for Love
96,Erigga,Before the Chaos-EP
97,Oxlade,OXYGENE - EP
98,Ayra Starr,Ayra Starr - EP
99,Dremo & Jeriq,Ea$t N We$t - EP
100,Nasty C,Zulu Man With Some Power
101,IDK,USEE4YOURSELF
102,Lil Tjay,Destined 2 Win
103,Young M.A,Off the Yak
104,Adekunle Gold,"Afro Pop, Vol. 1"
105,Polo G,Die a Legend
106,Drake,Scorpion
107,The Flowolf,Full Moon - EP
108,Jeriq,Hood Boy Dreams - EP
109,Nathaniel Bassey,The King Is Coming
110,Mannywellz,Mirage
111,Mayorkun,The Mayor of Lagos
112,Santi,Mandy & The Jungle
113,Post Malone,beerbongs & bentleys
114,Tomi Thomas,Hopeless Romantic - EP
115,Brymo,Yellow
116,Blxst,No Love Lost (Deluxe)
117,J. Cole,2014 Forest Hills Drive
118,Drake,Dark Lane Demo Tapes
119,AURORA,All My Demons Greeting Me as a Friend
120,NSG,Roots
121,J Hus,Common Sense
122,Nasty C,Strings and Bling
123,Maroon 5,JORDI (Deluxe)
124,G Herbo,25
125,Lil Wayne,Tha Carter V (Deluxe)
126,Kodak Black,Dying to Live
127,Asa,ASA (Asha) [Deluxe Edition]
128,Jhené Aiko,Chilombo (Deluxe Video Version)
129,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Deluxe)
130,21 Savage & Metro Boomin,SAVAGE MODE II
131,Beyoncé,The Lion King: The Gift [Deluxe Edition]
132,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
133,Pooh Shiesty,Shiesty Season - Spring Deluxe
134,King Perryy,Citizen of the World
135,Offset,FATHER OF 4
136,Khalid,Free Spirit
137,Kendrick Lamar,DAMN.
138,Sola Allyson,ÌRÌ (The Album Live)
139,Tope Alabi,Yes and Amen
140,Lil Durk,Signed to the Streets 3
141,Masterkraft,Masta Groove
142,50 Cent,Get Rich or Die Tryin
143,Jon Bellion,The Human Condition
