Position,song,artist,album
1,Understand,Omah Lay,Understand - Single
2,Bounce,Ruger,PANDEMIC - EP
3,Feeling,"LADIPOE, Buju",Feeling - Single
4,Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],"DJ Tarico, Burna Boy",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix] - Single
5,Outside,Buju,Outside - Single
6,Monalisa,"Lojay, Sarz",LV N ATTN - EP
7,Rock,Olamide,UY Scuti
8,Big Thug Boys,AV,Big Thug Boys - Single
9,Soundgasm,Rema,Soundgasm - Single
10,Confident,"Savage, Buju",Confident - Single
11,Sinner,"Adekunle Gold, Lucky Daye",Sinner
12,Party Next Door,"Dangbana Republik, Bella Shmurda",High Tension 2.0
13,Essence (feat. Tems),Wizkid,Made In Lagos
14,Far Away,"Dangbana Republik, Bella Shmurda",High Tension 2.0
15,Naira Marley,Zinoleesky,Naira Marley - Single
16,Out There,"Dangbana Republik, Bella Shmurda",High Tension 2.0
17,Bling (feat. Amaarae & Buju),Blaqbonez,Sex Over Love
18,Dimension (feat. Skepta & Rema),JAE5,Dimension (feat. Skepta & Rema) - Single
19,Medicine,Jaywillz,Love or the Word (EP)
20,Show Me,Joeboy,Somewhere Between Beauty & Magic
21,Tonongo,"Lojay, Sarz",LV N ATTN - EP
22,World,"Dangbana Republik, Bella Shmurda",High Tension 2.0
23,Rush,"Dangbana Republik, Bella Shmurda",High Tension 2.0
24,Coming,"Naira Marley, Busiswa",Coming - Single
25,Soldier Go,"Dangbana Republik, Bella Shmurda",High Tension 2.0
26,LV N ATTN feat. Wizkid,"Lojay, Sarz",LV N ATTN - EP
27,Lako,"Dangbana Republik, Bella Shmurda",High Tension 2.0
28,Ginger (feat. Burna Boy),Wizkid,Made In Lagos
29,Clash,"Dave, Stormzy",We\'re All Alone In This Together
30,Jailer (feat. Jaywillz),Olamide,UY Scuti
31,It Is What It Is,Adekunle Gold,It Is What It Is - Single
32,Champion,"Dangbana Republik, Bella Shmurda",High Tension 2.0
33,HUSTLE,Teni,WONDALAND
34,"Blessed (feat. Damian ""Jr. Gong"" Marley)",Wizkid,Made In Lagos
35,Felony,CKay,Felony - Single
36,Pronto,"Ajebo Hustlers, Omah Lay",Pronto - Single
37,Kilometre,Burna Boy,Kilometre - Single
38,Celebrate Me,Patoranking,Celebrate Me - Single
39,Forever (Remix),"Gyakie, Omah Lay",Forever (Remix)
40,It Ain\'t Me Tiktok (feat. Dj Abux) [Remix],Eduardo XD,It Ain\'t Me Tiktok (feat. Dj Abux) [Remix] - Single
41,La La (feat. CKay),Davido,A Better Time
42,Bia,Phyno,Bia - Single
43,Abu Dhabi,Ruger,PANDEMIC - EP
