Rank,Previous Rank,Artist Name,Weeks on Chart,Views,Weekly Growth
1,1,Davido,243,849333,-34.5%
2,2,Burna Boy,201,409288,-39.8%
3,4,Wizkid,243,392685,-8.8%
4,5,Omah Lay,51,382679,1.2%
5,3,DJ Khaled,243,375695,-27.7%
6,8,Naira Marley,131,331433,1%
7,6,Mercy Chinwo,143,330944,-9.2%
8,46,Chidinma,125,319570,209.3%
9,9,Flavour,243,309623,-2.9%
10,7,Chike,52,309030,-10.3%
11,13,Joeboy,54,257648,11.8%
12,12,Fireboy DML,108,238382,0.4%
13,11,Justin Bieber,243,234537,-1.9%
14,14,Maverick City Music,54,208992,-4.2%
15,10,Adekunle Gold,243,199936,-27.6%
16,29,Tekno,243,197943,30.8%
17,16,Bella Shmurda,54,197449,-1.9%
18,21,Olamide,243,191762,4.5%
19,18,Teni,157,189797,-2.6%
20,15,Zlatan,108,179352,-11.2%
21,19,Rema,98,176718,-7.7%
22,22,Kizz Daniel,243,172704,-5.3%
23,27,Nathaniel Bassey,221,172046,6.7%
24,23,Elevation Worship,48,170042,-4.3%
25,17,Simi,13,167402,-15.3%
26,25,Hamisu Breaker,63,163123,-6.1%
27,30,Gyakie,16,141738,-5.7%
28,31,Juice WRLD,98,139676,2.4%
29,20,Blaqbonez,16,134975,-27.3%
30,32,Simi,243,134528,-0.5%
31,33,Patoranking,241,126410,-5.6%
32,38,Timaya,232,124978,5.7%
33,36,Pop Smoke,66,123806,2.5%
34,70,Yemi Alade,243,122403,56.9%
35,37,Drake,239,122196,2.2%
36,35,Chris Brown,243,121280,-7.8%
37,99,Tion Wayne,8,117180,100.6%
38,,Russ,7,114610,
39,44,P-Square,243,107884,3.6%
40,41,Phyno,243,107591,-1.7%
41,47,Eminem,243,107166,3.8%
42,,J. Cole,49,104565,
43,50,Zinoleesky,52,103471,3.2%
44,53,Tope Alabi,139,103293,4.7%
45,42,Ariana Grande,211,103019,-5.5%
46,51,Dunsin Oyekan,82,102761,2.8%
47,45,Adam A. Zango,135,102350,-1.7%
48,40,Cheque,23,101501,-7.8%
49,,LADIPOE,31,101209,
50,49,Tiwa Savage,243,100003,-0.6%
51,57,Rihanna,243,99092,7.3%
52,52,Mohbad,43,99032,-0.9%
53,,Ruger,10,96128,
54,39,Young Thug,127,95668,-15.1%
55,,Buju,3,95591,
56,60,Lil Durk,32,93563,2.8%
57,55,Sinach,241,91866,-0.7%
58,62,Ada Ehi,70,91484,3.9%
59,56,Hillsong Worship,243,91367,-1.1%
60,54,Beyoncé,243,91232,-5%
61,59,Nicki Minaj,243,89857,-2%
62,64,The Weeknd,201,88455,5.9%
63,58,Michael Jackson,243,84809,-7.6%
64,48,Lil Baby,72,84262,-17.2%
65,61,Runtown,232,82164,-7.6%
66,,Ckay,2,81874,
67,79,Umar M. Shareef,164,81019,17.7%
68,68,Rexxie,24,80756,1.5%
69,26,JAY-Z,38,80219,-52.2%
70,74,Cardi B,192,80076,9.3%
71,69,FUTURE,243,79591,0.9%
72,72,Celine Dion,243,78202,1.8%
73,65,Chioma Jesus,60,76940,-3.8%
74,63,Bruno Mars,179,76161,-12.9%
75,71,Dj Kaywise,26,75938,-1.6%
76,67,Busiswa,8,75260,-5.7%
77,75,Lil Nas X,61,74714,2.4%
78,28,Nas,17,73447,-53.9%
79,82,2Baba,243,72703,7.8%
80,77,BTS,81,72665,1.1%
81,81,Focalistic,12,71271,5.2%
82,80,Peruzzi,61,70612,4.2%
83,73,Kcee,77,69711,-7.6%
84,,Umu Obiligbo,72,69387,
85,78,Moses Bliss,80,69292,-2.6%
86,43,Billie Eilish,100,68846,-34.1%
87,83,2Pac,243,68561,2.7%
88,85,Mr Eazi,243,68292,4.4%
89,87,Falz,243,67191,4%
90,66,Meek Mill,202,67140,-15.9%
91,92,R. Kelly,243,64655,4.1%
92,91,Mayorkun,226,64078,3.2%
93,88,Ed Sheeran,240,63584,-1.3%
94,84,Roddy Ricch,97,63436,-4%
95,76,Travis Scott,138,63174,-12.2%
96,,Ajebo Hustlers,18,63116,
97,24,Laycon,41,62784,-64.1%
98,98,Westlife,243,62474,4.1%
99,94,Frank Edwards,184,62391,1.2%
100,89,Lil Wayne,242,61825,-1.7%
