Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Shopping Spree (feat. Chris Brown & Young Thug),Davido,3,439506,,https://www.youtube.com/watch?v=vKR0Drgf6vc
2,3,Bounce,Ruger,11,162370,-2.1%,https://www.youtube.com/watch?v=I9tqmugh2X8
3,2,Jennifer,Guchi,10,157784,-5.8%,https://www.youtube.com/watch?v=y3bQfOAsnY0
4,1,Understand,Omah Lay,2,135640,-25.7%,https://www.youtube.com/watch?v=N7N7ZJf1res
5,10,Yaba Buluku (feat. Preck & Nelson Tivane),Dj Tarico & Burna Boy,3,124012,18.3%,https://www.youtube.com/watch?v=CXjLmsOQTkA
6,,Wild Side (feat. Cardi B),Normani,1,113047,,https://www.youtube.com/watch?v=DFMEBquxeO8
7,4,Coming,Naira Marley & Busiswa,18,111902,-17.7%,https://www.youtube.com/watch?v=dAhmUNl62mc
8,6,Feeling,LADIPOE & Buju,11,110117,-13.6%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
9,8,Essence (feat. Tems),Wizkid,36,100156,-8.4%,https://www.youtube.com/watch?v=jipQpjUA_o8
10,9,Sinner (feat. Lucky Daye),Adekunle Gold,2,97520,-8.5%,https://www.youtube.com/watch?v=Gl7SQi4anVk
11,13,Soundgasm,Rema,6,93346,-3.8%,https://www.youtube.com/watch?v=nrTkERuwdCc
12,12,Running (To You),Chike & Simi,23,91999,-7.1%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
13,7,HUSTLE,Teni,3,87107,-21.8%,https://www.youtube.com/watch?v=FKqlAbsGlg0
14,11,Rock,Olamide,10,86770,-13.2%,https://www.youtube.com/watch?v=6WkxiF7nnjY
15,16,Forever (Remix),Gyakie & Omah Lay,28,72703,-6%,https://www.youtube.com/watch?v=q5URc13jOv0
16,21,Godly,Omah Lay,35,69791,-2.4%,https://www.youtube.com/watch?v=DqUd72pK15Y
17,19,Jehovah Overdo,Chidinma,11,68824,-6.1%,https://www.youtube.com/watch?v=jgcXR4U4kEc
18,,Jalebi Baby,Tesher,1,68070,,https://www.youtube.com/watch?v=IFtwhMK64H8
19,18,Big Thug Boys,AV,4,67598,-11%,https://www.youtube.com/watch?v=4iJvmXekbnY
20,14,There Is a Place,Nathaniel Bassey,3,62785,-31.6%,https://www.youtube.com/watch?v=lWGx7EL_rsQ
