Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,HUSTLE,Teni,1,261159,,https://www.youtube.com/watch?v=FKqlAbsGlg0
2,1,Coming,Naira Marley & Busiswa,16,216974,-48.8%,https://www.youtube.com/watch?v=dAhmUNl62mc
3,3,Bounce,Ruger,9,186317,15.6%,https://www.youtube.com/watch?v=I9tqmugh2X8
4,4,Jennifer,Guchi,8,147234,-7.6%,https://www.youtube.com/watch?v=y3bQfOAsnY0
5,5,Feeling,LADIPOE & Buju,9,139415,-8.7%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
6,8,Running (To You),Chike & Simi,21,110249,1.2%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
7,7,Rock,Olamide,8,107528,-9.3%,https://www.youtube.com/watch?v=6WkxiF7nnjY
8,6,Soundgasm,Rema,4,100857,-16.7%,https://www.youtube.com/watch?v=nrTkERuwdCc
9,14,Essence (feat. Tems),Wizkid,34,85511,12.6%,https://www.youtube.com/watch?v=jipQpjUA_o8
10,11,Forever (Remix),Gyakie & Omah Lay,26,84255,7.7%,https://www.youtube.com/watch?v=q5URc13jOv0
11,9,Celebrate Me,Patoranking,3,79611,-21.5%,https://www.youtube.com/watch?v=7XfOyuBSb_k
12,13,Jehovah Overdo,Chidinma,9,77723,1.9%,https://www.youtube.com/watch?v=jgcXR4U4kEc
13,2,Verified (feat. Mayorkun),Laycon,3,76498,-70.5%,https://www.youtube.com/watch?v=L7f147mkO_c
14,12,Show Me,Joeboy,12,73230,-4.5%,https://www.youtube.com/watch?v=F0KN8cgHC8g
15,18,FOR YOU (feat. Davido),Teni,21,72966,10.4%,https://www.youtube.com/watch?v=Y5QUVma7_g4
16,15,Roju,Chike,25,70922,0.7%,https://www.youtube.com/watch?v=19WTWVw15n0
17,16,Godly,Omah Lay,33,67344,-3%,https://www.youtube.com/watch?v=DqUd72pK15Y
18,,Yahweh,Mercy Chinwo,1,63974,,https://www.youtube.com/watch?v=9R1RiGllzj0
19,20,La La (feat. CKay),Davido,14,59040,-7.8%,https://www.youtube.com/watch?v=NM8cY2VzqkI
20,21,Outside,Buju,7,58405,-6.5%,https://www.youtube.com/watch?v=3A3MiNlX6II
