Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Feeling,LADIPOE & Buju,5,167053,7.6%,https://www.youtube.com/watch?v=DfLS0A5IAhk
2,6,Show Me,Joeboy,8,145050,27.7%,https://www.youtube.com/watch?v=F0KN8cgHC8g
3,3,Running (To You),Chike & Simi,17,140452,-7.9%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
4,4,Rock,Olamide,4,133565,-6.8%,https://www.youtube.com/watch?v=6WkxiF7nnjY
5,5,Bounce,Ruger,5,132419,8%,https://www.youtube.com/watch?v=I9tqmugh2X8
6,9,Jennifer,Guchi,4,122265,15.6%,https://www.youtube.com/watch?v=y3bQfOAsnY0
7,7,Forever (Remix),Gyakie & Omah Lay,22,104245,-6.2%,https://www.youtube.com/watch?v=q5URc13jOv0
8,10,Jehovah Overdo,Chidinma,5,101180,-2.5%,https://www.youtube.com/watch?v=jgcXR4U4kEc
9,,All My Life (feat. Oxlade),M.I Abaga,1,88927,,https://www.youtube.com/watch?v=yGUXxw7RAQw
10,,Roju,Chike,21,87717,,https://www.youtube.com/watch?v=4zhoggq0sZA
11,13,Essence (feat. Tems),Wizkid,30,76256,-4.6%,https://www.youtube.com/watch?v=jipQpjUA_o8
12,11,Godly,Omah Lay,29,76142,-11.6%,https://www.youtube.com/watch?v=DqUd72pK15Y
13,14,FOR YOU (feat. Davido),Teni,17,75068,-5.5%,https://www.youtube.com/watch?v=Y5QUVma7_g4
14,8,La La (feat. CKay),Davido,10,73616,-31%,https://www.youtube.com/watch?v=NM8cY2VzqkI
15,1,Cho Cho (feat. Davido & Mayorkun),Zlatan,6,71120,-65.6%,https://www.youtube.com/watch?v=XdclVBcpmdg
16,21,Ke Star (Remix),Focalistic & Davido,16,61118,5.3%,https://www.youtube.com/watch?v=oQKKCXXRcKE
17,15,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ,8,60434,-14.9%,https://www.youtube.com/watch?v=BS3HgiHPYcs
18,17,Bounce,Rema,15,59891,-7.2%,https://www.youtube.com/watch?v=xxMTgqNjZGo
19,20,KPK (Ko Por Ke),Rexxie & Mohbad,27,56806,-3.1%,https://www.youtube.com/watch?v=rs7PiGxBShs
20,18,History,Cheque & Fireboy DML,9,56669,-5.4%,https://www.youtube.com/watch?v=n1FIQVk1JEE
21,12,Butter,BTS,3,54014,-33.4%,https://www.youtube.com/watch?v=WMweEpGlu_U
22,27,Dimension (feat. Skepta & Rema),JAE5,12,53098,1.5%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
