Rank,Previous Rank,Artist Name,Weeks on Chart,Views,Weekly Growth
1,1,Davido,245,610272,-10.1%
2,5,Wizkid,245,380271,0.5%
3,4,Omah Lay,53,353329,-8%
4,3,Olamide,245,339777,-20.5%
5,7,Mercy Chinwo,145,323238,-0.8%
6,6,Burna Boy,203,315318,-8.6%
7,8,Naira Marley,133,290239,-10.3%
8,9,Chike,54,282629,-10.6%
9,10,Flavour,245,280700,-4.4%
10,15,Hamisu Breaker,65,267662,15.2%
11,78,BTS,83,239264,225.4%
12,14,Fireboy DML,110,230085,-2.3%
13,13,Joeboy,56,229793,-6%
14,18,Justin Bieber,245,213964,-2.1%
15,17,Bella Shmurda,56,209341,-4.6%
16,16,Maverick City Music,56,207209,-7.9%
17,2,J. Cole,51,196763,-54.3%
18,43,Buju,5,178899,49.1%
19,12,DJ Khaled,245,175858,-29%
20,21,Teni,159,175594,-4.2%
21,19,Chidinma,127,169942,-14.9%
22,22,Elevation Worship,50,168734,-7.8%
23,89,Lil Nas X,63,167468,152.6%
24,23,Adekunle Gold,245,167443,-7.2%
25,26,Tekno,245,165051,-4.1%
26,28,Kizz Daniel,245,164756,-2%
27,27,Ruger,12,161533,-5%
28,24,Simi,15,160489,-10.6%
29,32,Rema,100,151474,-3.4%
30,29,Nathaniel Bassey,223,149938,-9.7%
31,31,Zlatan,110,147580,-6.6%
32,45,LADIPOE,33,147415,25.4%
33,20,Drake,241,145352,-24.7%
34,35,Juice WRLD,100,138671,3.3%
35,34,Simi,245,134641,-0.7%
36,11,Nicki Minaj,245,132086,-50.5%
37,30,Zinoleesky,54,128341,-18.9%
38,33,Gyakie,18,126024,-8.5%
39,41,Chris Brown,245,121855,-0.5%
40,39,Patoranking,243,121096,-5%
41,37,Lil Wayne,244,121067,-6.1%
42,42,Pop Smoke,68,120404,0%
43,36,Peruzzi,70,120095,-7.1%
44,40,Timaya,234,119699,-2.7%
45,49,P-Square,245,109699,-1.8%
46,52,Dunsin Oyekan,84,105063,-1.3%
47,,Roddy Ricch,99,104507,
48,50,Eminem,245,104279,-6.6%
49,48,Phyno,245,103124,-8.1%
50,55,Adam A. Zango,137,102841,-0.9%
51,56,Tope Alabi,141,102552,0.9%
52,25,Nura M Inuwa,168,102439,-40.9%
53,44,Tion Wayne,10,101189,-14.7%
54,46,Russ,9,98202,-14.2%
55,57,Tiwa Savage,245,97549,-2.2%
56,69,Moses Bliss,82,97332,18.3%
57,64,Michael Jackson,245,96883,9%
58,54,Lil Durk,34,95640,-8.5%
59,71,Chioma Jesus,62,94851,19.4%
60,60,Sinach,243,94726,0.9%
61,38,Yemi Alade,245,94205,-26.4%
62,58,Rihanna,245,93760,-5.4%
63,59,Hillsong Worship,245,93258,-1%
64,61,Beyoncé,245,93187,-0.5%
65,,Polo G,16,92881,
66,67,The Weeknd,203,92851,10%
67,62,Mohbad,45,91405,-1.5%
68,53,Blaqbonez,18,87529,-16.4%
69,65,Ada Ehi,72,87524,-0.6%
70,68,Mr Eazi,245,87506,5.8%
71,,Guchi,4,86052,
72,73,Celine Dion,245,82242,5.5%
73,72,FUTURE,245,80064,2.5%
74,70,Runtown,234,79958,-0.4%
75,66,Young Thug,129,79461,-9%
76,75,Umar M. Shareef,166,79006,2.5%
77,47,Lil Baby,74,78716,-30.1%
78,63,Cheque,25,76981,-16.6%
79,79,Cardi B,194,76479,5.1%
80,76,Ariana Grande,213,76418,1.9%
81,85,2Baba,245,72863,4.8%
82,77,Rexxie,26,69357,-7.1%
83,88,R. Kelly,245,69057,1.9%
84,82,2Pac,245,68332,-2.9%
85,,Olivia Rodrigo,17,67649,
86,51,Migos,174,67644,-39.1%
87,93,Frank Edwards,186,66809,4.9%
88,91,Falz,245,65648,0.3%
89,83,Bruno Mars,181,65185,-7.2%
90,81,Dj Kaywise,28,64772,-8%
91,94,Ed Sheeran,242,64026,0.6%
92,95,Focalistic,14,63069,0.2%
93,,Judikay,51,62987,
94,,Kodak Black,34,62714,
95,90,Kcee,79,62446,-4.8%
96,84,Busiswa,10,61923,-11%
97,96,Westlife,245,61840,-0.3%
98,80,CKay,3,61104,-15.6%
99,,Garzali Miko,38,60854,
100,97,Mayorkun,228,60307,-1.1%
