Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,10,Sinner (feat. Lucky Daye),Adekunle Gold,3,382748,292.5%,https://www.youtube.com/watch?v=XIcsU494u8M
2,,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,1,244176,,https://www.youtube.com/watch?v=UTHLKHL_whs
3,4,Understand,Omah Lay,3,162487,19.8%,https://www.youtube.com/watch?v=N7N7ZJf1res
4,2,Bounce,Ruger,12,148836,-8.3%,https://www.youtube.com/watch?v=I9tqmugh2X8
5,3,Jennifer,Guchi,11,142090,-9.9%,https://www.youtube.com/watch?v=y3bQfOAsnY0
6,50,Paloma,Mr. P & --,2,118449,243.6%,https://www.youtube.com/watch?v=9XV2XGyn25k
7,1,Shopping Spree (feat. Chris Brown & Young Thug),Davido,4,104365,-76.3%,https://www.youtube.com/watch?v=vKR0Drgf6vc
8,8,Feeling,LADIPOE & Buju,12,100923,-8.3%,https://www.youtube.com/watch?v=inu6sJ4p5Xg
9,9,Essence (feat. Tems),Wizkid,37,100903,0.7%,https://www.youtube.com/watch?v=jipQpjUA_o8
10,12,Running (To You),Chike & Simi,24,95400,3.7%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
11,7,Coming,Naira Marley & Busiswa,19,91199,-18.5%,https://www.youtube.com/watch?v=dAhmUNl62mc
12,5,Yaba Buluku (feat. Preck & Nelson Tivane),Dj Tarico & Burna Boy,4,82912,-33.1%,https://www.youtube.com/watch?v=CXjLmsOQTkA
13,11,Soundgasm,Rema,7,81545,-12.6%,https://www.youtube.com/watch?v=nrTkERuwdCc
14,14,Rock,Olamide,11,76633,-11.7%,https://www.youtube.com/watch?v=6WkxiF7nnjY
15,13,HUSTLE,Teni,4,71977,-17.4%,https://www.youtube.com/watch?v=FKqlAbsGlg0
16,15,Forever (Remix),Gyakie & Omah Lay,29,65896,-9.4%,https://www.youtube.com/watch?v=q5URc13jOv0
17,17,Jehovah Overdo,Chidinma,12,65445,-4.9%,https://www.youtube.com/watch?v=jgcXR4U4kEc
18,16,Godly,Omah Lay,36,62529,-10.4%,https://www.youtube.com/watch?v=DqUd72pK15Y
19,19,Big Thug Boys,AV,5,59358,-12.2%,https://www.youtube.com/watch?v=4iJvmXekbnY
20,32,Julie,Olamide,3,57620,30%,https://www.youtube.com/watch?v=0BQxuWujwiw
21,25,Celebrate Me,Patoranking,6,57095,-7.8%,https://www.youtube.com/watch?v=7XfOyuBSb_k
22,21,FOR YOU (feat. Davido),Teni,24,56493,-9.7%,https://www.youtube.com/watch?v=Y5QUVma7_g4
23,24,Show Me,Joeboy,15,55631,-10.4%,https://www.youtube.com/watch?v=F0KN8cgHC8g
24,26,Outside,Buju,10,53849,-5.6%,https://www.youtube.com/watch?v=3A3MiNlX6II
25,22,Roju,Chike,28,53458,-14.5%,https://www.youtube.com/watch?v=19WTWVw15n0
26,,System (feat. Wizkid),Dave,1,53226,,https://www.youtube.com/watch?v=dz1CeVVnduA
