Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Soundgasm,Rema,1,267634,,https://www.youtube.com/watch?v=nrTkERuwdCc
2,1,Feeling,LADIPOE & Buju,6,176314,5.5%,https://www.youtube.com/watch?v=DfLS0A5IAhk
3,6,Jennifer,Guchi,5,155200,26.9%,https://www.youtube.com/watch?v=y3bQfOAsnY0
4,10,Roju,Chike,22,149359,70.3%,https://www.youtube.com/watch?v=4zhoggq0sZA
5,3,Running (To You),Chike & Simi,18,142060,1.1%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
6,5,Bounce,Ruger,6,140487,6.1%,https://www.youtube.com/watch?v=I9tqmugh2X8
7,4,Rock,Olamide,5,138630,3.8%,https://www.youtube.com/watch?v=6WkxiF7nnjY
8,7,Forever (Remix),Gyakie & Omah Lay,23,111544,7%,https://www.youtube.com/watch?v=q5URc13jOv0
9,2,Show Me,Joeboy,9,110078,-24.1%,https://www.youtube.com/watch?v=F0KN8cgHC8g
10,8,Jehovah Overdo,Chidinma,6,89375,-11.7%,https://www.youtube.com/watch?v=jgcXR4U4kEc
11,11,Essence (feat. Tems),Wizkid,31,81426,6.8%,https://www.youtube.com/watch?v=jipQpjUA_o8
12,14,La La (feat. CKay),Davido,11,75275,2.3%,https://www.youtube.com/watch?v=NM8cY2VzqkI
13,13,FOR YOU (feat. Davido),Teni,18,74482,-0.8%,https://www.youtube.com/watch?v=Y5QUVma7_g4
14,12,Godly,Omah Lay,30,72881,-4.3%,https://www.youtube.com/watch?v=DqUd72pK15Y
15,17,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ,9,71817,18.8%,https://www.youtube.com/watch?v=BS3HgiHPYcs
16,16,Ke Star (Remix),Focalistic & Davido,17,61410,0.5%,https://www.youtube.com/watch?v=oQKKCXXRcKE
17,18,Bounce,Rema,16,61263,2.3%,https://www.youtube.com/watch?v=xxMTgqNjZGo
18,60,Outside,Buju,4,58034,112.8%,https://www.youtube.com/watch?v=3A3MiNlX6II
19,,Avalanche,Migos,1,57050,,https://www.youtube.com/watch?v=--14w5SOEUs
20,20,History,Cheque & Fireboy DML,10,56698,0.1%,https://www.youtube.com/watch?v=n1FIQVk1JEE
21,22,Dimension (feat. Skepta & Rema),JAE5,13,54252,2.2%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
22,,If E Happen for Lagos,Runtown,3,52918,,https://www.youtube.com/watch?v=6dE1mygXWOE
23,19,KPK (Ko Por Ke),Rexxie & Mohbad,28,51322,-9.7%,https://www.youtube.com/watch?v=rs7PiGxBShs
24,25,In My Maserati,Olakira,46,51074,2.2%,https://www.youtube.com/watch?v=QEPmDnVkLzg
25,23,Cash App,"Bella Shmurda, Zlatan & Lincoln",36,50017,-4.2%,https://www.youtube.com/watch?v=n1S66UhdIwA
26,25,Onyedikagi (feat. Glowrie),Mercy Chinwo,8,49745,-0.4%,https://www.youtube.com/watch?v=o4pm6f5zv4I
27,36,Airplane Mode,Fireboy DML,3,49465,17.8%,https://www.youtube.com/watch?v=fROdHu_oI7g
28,27,Bling (feat. Amaarae & Buju),Blaqbonez,8,49015,-1%,https://www.youtube.com/watch?v=JJsCz_1ib30
29,24,Coming,Naira Marley & Busiswa,13,48856,-4.2%,https://www.youtube.com/watch?v=dAhmUNl62mc
30,56,Pempe (Live),Seyi Shay & --,2,47196,58.6%,https://www.youtube.com/watch?v=xCvOUDN7Gtc
31,32,It Is What It Is,Adekunle Gold,7,45986,2.1%,https://www.youtube.com/watch?v=fgNKzf92gNo
32,15,Cho Cho (feat. Davido & Mayorkun),Zlatan,7,44117,-38%,https://www.youtube.com/watch?v=XdclVBcpmdg
33,,Need To Know,Doja Cat,1,43746,,https://www.youtube.com/watch?v=dI3xkL7qUAc
34,,Modern Day,Migos,1,43074,,https://www.youtube.com/watch?v=8Q7JDYg-LI0
35,31,High Way (feat. Phyno),Dj Kaywise,26,42809,-6.9%,https://www.youtube.com/watch?v=eVq3ijdk0E8
36,30,Kilometre,Burna Boy,8,42708,-7.4%,https://www.youtube.com/watch?v=eKv5CBr-kKo
37,80,Ameno,ERA,5,42246,111.6%,https://www.youtube.com/watch?v=onjPLuZp6hY
38,28,Focus,Joeboy,19,42051,-10.5%,https://www.youtube.com/watch?v=X8NGfvelGy4
39,37,Felony,--,20,41010,-1.6%,https://www.youtube.com/watch?v=URISA3m0OfA
40,38,Somebody Baby,Peruzzi & Davido,13,40649,1.2%,https://www.youtube.com/watch?v=anYV459bfmM
41,49,Ginger (feat. Burna Boy),Wizkid,33,39530,8.1%,https://www.youtube.com/watch?v=YSy2lBZ1QrA
42,43,The Best (feat. Mayorkun),Davido,31,39378,4%,https://www.youtube.com/watch?v=91D1H29rToQ
43,35,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,23,39372,-6.5%,https://www.youtube.com/watch?v=jPZsU17Z5T8
44,42,Olorun Agbaye (You Are Mighty) (feat. Chandler Moore & Oba),Nathaniel Bassey,33,39038,1.9%,https://www.youtube.com/watch?v=psieSr_bu8o
45,45,If You No Love (feat. Mayorkun),Chike,36,38908,5%,https://www.youtube.com/watch?v=71-aBRC565w
46,47,Enjoy,Tekno,27,38744,4.9%,https://www.youtube.com/watch?v=vnaykXFFXgg
47,,Thot Shit,Megan Thee Stallion,1,38489,,https://www.youtube.com/watch?v=KynkMn5Hv3Q
48,34,MONTERO (Call Me By Your Name),Lil Nas X,12,38169,-9.6%,https://www.youtube.com/watch?v=6swmTBVI83k
49,44,Sare,Ayra Starr,3,38047,1.2%,https://www.youtube.com/watch?v=Gm1bpmNKII0
50,39,Southy Love (feat. Fireboy DML),Peruzzi,22,36794,-7.2%,https://www.youtube.com/watch?v=92St1TBJL2E
51,61,Too Correct (feat. Rema),Crayon,11,35330,31.4%,https://www.youtube.com/watch?v=FRQsG8WKETg
52,48,Pronto,Ajebo Hustlers & Omah Lay,18,34086,-7.5%,https://www.youtube.com/watch?v=s1Rs5Ew71FY
53,51,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship & Maverick City Music,12,32611,-3.6%,https://www.youtube.com/watch?v=mC-zw0zCCtg
54,21,Butter,BTS,4,32075,-40.6%,https://www.youtube.com/watch?v=WMweEpGlu_U
55,41,Save Your Tears,The Weeknd,17,31437,-18.2%,https://www.youtube.com/watch?v=XXYlFuWEuKI
56,,No Return (feat. The Kid Laroi & Lil Durk),Polo G,1,29888,,https://www.youtube.com/watch?v=kTVDiFX6Ag4
57,55,Early Momo,Vector & Good Girl La,12,29844,-2.6%,https://www.youtube.com/watch?v=PU2dnlpQNOg
58,52,Sai dake,Hamisu Breaker,6,29319,-11.9%,https://www.youtube.com/watch?v=1eWinSRXuo0
59,54,World,Dangbana Republik & Bella Shmurda,11,29116,-6.3%,https://www.youtube.com/watch?v=SbPAsVsJq7w
60,,Arojinle,Adeyinka Alaseyori,8,28809,,https://www.youtube.com/watch?v=MmBNocZYJW4
61,,Aye Ope yo,Adeyinka Alaseyori,6,28479,,https://www.youtube.com/watch?v=_jcyOSKBuBk
62,57,Dama,Namenj & Hamisu Breaker,15,27979,-5.2%,https://www.youtube.com/watch?v=-37FwMOcA3E
63,,Having Our Way (feat. Drake),Migos,1,27114,,https://www.youtube.com/watch?v=gTf36GEcK8s
64,89,Straightenin,Migos,5,26570,54.1%,https://www.youtube.com/watch?v=E553AnMAvlU
65,64,KOLO (feat. Oxlade),Ice Prince,14,26468,1.5%,https://www.youtube.com/watch?v=Ts19iSWEvds
66,9,All My Life (feat. Oxlade),M.I Abaga,2,25847,-70.9%,https://www.youtube.com/watch?v=yGUXxw7RAQw
