Position,song,artist
1,Feeling,Ladipoe & Buju
2,Bounce (Official Video),Ruger
3,Southy Love (feat. Fireboy DML),Peruzzi
4,Rock (Official Video),Olamide
5,KOLO (feat. Oxlade),Ice Prince
6,Kilometre,Burna Boy
7,Ke Star (feat. Vigro Deep),Focalistic
8,Ginger (feat. Burna Boy),Wizkid
9,Crayon - Too Correct feat Rema (Official Video),MavinRecords
10,INJURE ME,Teni
11,Coming,Naira Marley & Busiswa
12,High Way,Dj Kaywise & Phyno
13,Zinoleesky - Kilofeshe (Official Video),MarlianMusic HQ
14,Bounce,Rema
15,All My Life (feat. Oxlade),M.I Abaga
16,Somebody Baby,Davido & Peruzzi
17,Koroba,Tiwa Savage
18,Make Up Your Mind (feat. Tekno),Ice Prince
19,Your Body,Mayorkun
20,Godly,Omah Lay
21,Coachella (feat. Kwesi Arthur),Sarkodie
22,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz
23,Loading (feat. Bad Boy Timz),Olamide
24,The Best (feat. Mayorkun),Davido
25,Door,Joeboy & Kwesi Arthur
26,Tonongo,Sarz & Lojay
27,Verified (feat. Mayorkun),Laycon
28,Baajo,Kwesi Arthur & Joeboy
29,Shad̩,Fireboy DML
30,Suzanna,Sauti Sol
31,Onyeka (Baby),Burna Boy
32,Abule,Patoranking
33,Woman,Rema
34,AG Baby,Nailah Blackman & Adekunle Gold
35,Enjoy (Remix),Tekno & Mafikizolo
36,World People,Basketmouth
37,My Bebe,Omah Lay
38,If You No Love (feat. Mayorkun),Chike
39,Spiritual (feat. Patoranking & Kuami Eugene),KiDi
40,See Love,Peruzzi
41,MONEY DANCE,Dice Ailes
42,Fendi (feat. Joeboy),Blaqbonez
43,Dollar (feat. R2bees),DJ Spinall
44,African Sugar (feat. Tiwa Savage),Tayc
45,World,Bella Shmurda
46,French Kiss,Mr Eazi & Tega Starr
47,TBDK (feat. Erigga & Sinzu),M.I Abaga
48,Dollar On You,Kuami Eugene
49,Roma (feat. Terri),Wizkid
50,Kilode (feat. Wes7ar22),Worlasi and Drvmroll
