Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Cho Cho (feat. Davido & Mayorkun),Zlatan,5,206467,,https://www.youtube.com/watch?v=XdclVBcpmdg
2,4,Feeling,LADIPOE & Buju,4,155255,21%,https://www.youtube.com/watch?v=DfLS0A5IAhk
3,1,Running (To You),Chike & Simi,16,152517,-4.9%,https://www.youtube.com/watch?v=9DpejbEJ5Gs
4,3,Rock,Olamide,3,143260,-0.7%,https://www.youtube.com/watch?v=6WkxiF7nnjY
5,5,Bounce,Ruger,4,122577,0.2%,https://www.youtube.com/watch?v=I9tqmugh2X8
6,42,Show Me,Joeboy,7,113561,180.2%,https://www.youtube.com/watch?v=F0KN8cgHC8g
7,6,Forever (Remix),Gyakie & Omah Lay,21,111160,-5.4%,https://www.youtube.com/watch?v=q5URc13jOv0
8,8,La La (feat. CKay),Davido,9,106631,-5.7%,https://www.youtube.com/watch?v=NM8cY2VzqkI
9,17,Jennifer,Guchi,3,105727,62.1%,https://www.youtube.com/watch?v=y3bQfOAsnY0
10,7,Jehovah Overdo,Chidinma,4,103823,-10.8%,https://www.youtube.com/watch?v=jgcXR4U4kEc
11,10,Godly,Omah Lay,28,86172,3.1%,https://www.youtube.com/watch?v=DqUd72pK15Y
12,2,Butter,BTS,2,81054,-46.5%,https://www.youtube.com/watch?v=WMweEpGlu_U
13,11,Essence (feat. Tems),Wizkid,29,79923,-3.1%,https://www.youtube.com/watch?v=m77FDcKg96Q
14,12,FOR YOU (feat. Davido),Teni,16,79425,-2%,https://www.youtube.com/watch?v=Y5QUVma7_g4
15,9,"Body (Remix) (feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ,7,70984,-17.5%,https://www.youtube.com/watch?v=BS3HgiHPYcs
16,,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,2,69693,,https://www.youtube.com/watch?v=l-dBqCtQu6U
17,15,Bounce,Rema,14,64541,-5.1%,https://www.youtube.com/watch?v=xxMTgqNjZGo
18,16,History,Cheque & Fireboy DML,8,59906,-10.2%,https://www.youtube.com/watch?v=n1FIQVk1JEE
19,18,MONTERO (Call Me By Your Name),Lil Nas X,10,58794,-6.3%,https://www.youtube.com/watch?v=6swmTBVI83k
20,20,KPK (Ko Por Ke),Rexxie & Mohbad,26,58594,-3.3%,https://www.youtube.com/watch?v=rs7PiGxBShs
21,19,Ke Star (Remix),Focalistic & Davido,15,58028,-5.1%,https://www.youtube.com/watch?v=oQKKCXXRcKE
22,22,Kilometre,Burna Boy,6,54767,-7.4%,https://www.youtube.com/watch?v=eKv5CBr-kKo
23,23,Cash App,"Bella Shmurda, Zlatan & Lincoln",34,54011,-5.7%,https://www.youtube.com/watch?v=n1S66UhdIwA
24,25,Onyedikagi (feat. Glowrie),Mercy Chinwo,6,53998,-5.3%,https://www.youtube.com/watch?v=o4pm6f5zv4I
25,21,Coming,Naira Marley & Busiswa,11,53158,-11.1%,https://www.youtube.com/watch?v=dAhmUNl62mc
26,24,High Way (feat. Phyno),Dj Kaywise,24,52599,-7.8%,https://www.youtube.com/watch?v=eVq3ijdk0E8
27,26,Dimension (feat. Skepta & Rema),JAE5,11,52317,-0.8%,https://www.youtube.com/watch?v=3QWCjiZSdGQ
28,28,In My Maserati,Olakira,44,51547,6.8%,https://www.youtube.com/watch?v=QEPmDnVkLzg
29,27,It Is What It Is,Adekunle Gold,5,51267,-1.7%,https://www.youtube.com/watch?v=fgNKzf92gNo
30,,Happy Birthday,"Simi, Adekunle Gold & Deja",1,50617,,https://www.youtube.com/watch?v=-63AbTNyznY
31,34,Bling (feat. Amaarae & Buju),Blaqbonez,6,49653,9.3%,https://www.youtube.com/watch?v=JJsCz_1ib30
32,55,Save Your Tears,The Weeknd,15,47466,46.5%,https://www.youtube.com/watch?v=XXYlFuWEuKI
33,31,Focus,Joeboy,17,46913,1.8%,https://www.youtube.com/watch?v=X8NGfvelGy4
34,13,Sai dake,Hamisu Breaker,4,46897,-38.8%,https://www.youtube.com/watch?v=1eWinSRXuo0
