,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Lie,Kizz Daniel
2,3,Understand,Omah lay
3,4,Bloody Samaritan,Ayra Starr
4,5,Essence (feat. Justin Bieber & Tems),Wizkid
5,6,Monalisa,Lojay
6,7,Sinner,Adekunle Gold
7,8,Bounce,Ruger
8,9,Let Me Know,Mayorkun
9,10,Feel Good,MohBad
10,11,Big Thug Boys,AV
11,12,Outside,Buju
12,13,Feeling,LADIPOE
13,14,Naira Marley,Zinoleesky
14,15,Rock,Olamide
15,16,Soundgasm,Rema
16,17,Fashion Killer,Ayra Starr
17,18,Yaba Buluku (Remix),DJ Tárico
18,19,INDUSTRY BABY,Lil Nas X
19,20,STAY,The Kid Laroi
20,21,Medicine,Jaywillz
21,22,Cocaine,Dai Verse
22,23,Party Next Door,Dangbana Republik
23,24,Clash,Dave
24,25,Bling (feat. Amaarae & Buju),Blaqbonez
25,31,System,Dave
26,32,Coming,Naira Marley
27,33,Forever (Remix),Gyakie
28,34,It Is What It Is,Adekunle Gold
29,35,LV N ATTN feat. Wizkid,Lojay
30,36,Drug Test,Naira Marley
31,37,Cast (Gen Z Anthem),Ayra Starr
32,38,Beggie Beggie,Ayra Starr
33,39,HUSTLE,Teni
34,40,Mercy,Falz
35,41,Oliver Twist,ArrDee
36,42,Kilometre,Burna Boy
37,43,Wid It,Tion Wayne
38,44,Somebody’s Son,Tiwa Savage
39,45,Hallelu,Masterkraft
40,46,Abu Dhabi,Ruger
41,47,Far Away,Dangbana Republik
42,48,Ke Star (Remix),Focalistic
43,49,Bounce,Rema
44,50,Kilofeshe,Zinoleesky
45,51,Work Fada,Tiwa Savage
46,52,Loved By You,Justin Bieber
47,53,Lazarus,Dave
48,54,RAPSTAR,POLO G
49,55,Show Me,Joeboy
50,56,Alubarika,Zlatan
51,57,Bad Habits,Ed Sheeran
52,58,Ginger (feat. Burna Boy),Wizkid
53,59,Lonely,Ayra Starr
54,60,Tales By Moonlight,Tiwa Savage
55,61,Tonongo,Lojay
56,62,Need To Know,Doja Cat
57,63,Somebody Baby,Peruzzi
58,64,Infinity,Olamide
59,65,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
60,66,All,Rexxie
61,67,Running (To You),Chike
62,68,MONTERO (Call Me By Your Name),Lil Nas X
63,69,Ade Ori,Tiwa Savage
64,70,Snitch,Ayra Starr
65,71,Call Me Baby,Cheque
66,72,Bridgertn,Ayra Starr
67,73,PonPon,Olamide
68,74,Ile Aye (This Life),Josseyan-tizzy
69,75,History,Cheque
70,76,FOR YOU,Teni
71,77,Godly,Omah lay
72,78,Early Momo,Vector
73,79,Celebrate Me,Patoranking
74,80,Toxic,Ayra Starr
75,81,Motley Crew,Post Malone
76,82,23,Burna Boy
77,83,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
78,84,La La (feat. Ckay),DaVido
79,85,Karma,Ayra Starr
80,86,Pronto,Ajebo Hustlers
81,87,KOLO (feat. Oxlade),Ice Prince
82,88,Focus,Joeboy
83,89,KPK (Ko Por Ke),Rexxie
84,90,Music Messiah,DJ Neptune
85,91,Damages,Tems
86,92,Bad Influence,Omah lay
87,93,My Advice,Vik dash
