,Position,song,artist
0,1,Feeling,LADIPOE
1,2,La go,Kiff No Beat
2,3,KOLO (feat. Oxlade),Ice Prince
3,4,Second Sermon,Black Sherif
4,5,Ring My Line (feat. Headie One),King Promise
5,6,Jack,Nasty C
6,7,Rollies and Cigars,Sarkodie
7,8,Slide,Lucasraps
8,9,In My Bed,Rotimi
9,10,Do or Die,Kweku Smoke
10,11,Gbese,Ogranya
11,12,Aketesia,Kweku Darlington
12,13,Easy Come,$pacely
13,14,Ghetto (feat. Nasty C),Kizz Daniel
14,15,Money Bag,Ria Sean
15,16,Uthini (feat. Blxckie & Phantom Steeze),Costa Titch
16,17,Yafun Yafun,Ajebo Hustlers
17,18,Coachella,Sarkodie
18,19,Wonder,Dremo
19,20,Purple rain,LAIME
20,21,Brag,DETO BLACK
21,22,All My Life (feat. Oxlade),M.I Abaga
22,23,If Its On,Silverstone Barz
23,24,Crown Of Clay (Remix),Vector
24,25,Vibration,Sarkodie
25,26,Tycoon,Show Dem Camp
26,27,Champion,Fireboy Dml
27,28,Ofr3,$pacely
28,29,Best Friend (Bonus Track),Ashs the Best
29,30,Warena,mbogi genje
30,31,Money Calling,P Montana
31,32,Best I Ever Had,Nasty C
32,33,Omo X 100,Reminisce
33,34,Pockets,Octopizzo
34,35,Forever,Frank Casino
35,36,"Keja feat Munyax, Nare (feat. Boutross)",Juicee Mann
36,37,Eazy,Nasty C
37,38,Kokonsa,Omar Sterling
38,39,RBG,Elzo Jamdong
39,40,My Crew,Kiiwii
40,41,Petty,Kim of Diamonds
41,42,DKM (Ma Pa Mi),Loti
42,43,Rise Of The Underdogs 2,Show Dem Camp
43,44,First Sermon,Black Sherif
44,45,Y3 Y3 DOM,Jay Bahd
45,46,Long Way,Emtee
46,47,Bazenga,Ethic Entertainment
47,48,Wavy (feat. Sarkodie),Khaligraph Jones
48,49,Breathe,A-Q
49,50,Euphoria,PsychoYP
