,Position,song,artist
0,1,Feeling,LADIPOE
1,2,Bounce,Ruger
2,3,Soundgasm,Rema
3,4,Understand,Omah lay
4,5,It Is What It Is,Adekunle Gold
5,6,Peru,Fireboy Dml
6,7,Forever (Remix),Gyakie
7,8,Infinity,Olamide
8,9,Touch It,KiDi
9,10,Maserati (Remix),Olakira
10,11,FOR YOU,Teni
11,12,Jealous (feat. Mayorkun),Alikiba
12,13,Damages,Tems
13,31,Kilometre,Burna Boy
14,32,Godly,Omah lay
15,33,Coming,Naira Marley
16,34,LV N ATTN feat. Wizkid,Lojay
17,35,Activate,Stonebwoy
18,36,History,Cheque
19,37,Ke Star (Remix),Focalistic
20,38,AG Baby,Adekunle Gold
21,39,Banyana,DJ Maphorisa
22,40,Bling (feat. Amaarae & Buju),Blaqbonez
23,41,Felony,CKay
24,42,23,Burna Boy
25,43,Summeryomuthi,Blaq Diamond
26,44,MAD,Sarz
27,45,Hallelu,Masterkraft
28,46,Somebody Baby,Peruzzi
29,47,Woman,Rema
30,48,Away,Ayra Starr
31,49,Kilofeshe,Zinoleesky
32,50,Again,Wande Coal
