,Position,song,artist
0,1,Understand,Omah lay
1,2,Sinner,Adekunle Gold
2,3,Bounce,Ruger
3,4,Peru,Fireboy Dml
4,5,Big Thug Boys,AV
5,6,Feeling,LADIPOE
6,7,Outside,Buju
7,8,Monalisa,Lojay
8,9,Soundgasm,Rema
9,10,Rock,Olamide
10,11,Feel Good,MohBad
11,12,INDUSTRY BABY,Lil Nas X
12,13,Clash,Dave
13,14,System,Dave
14,15,Naira Marley,Zinoleesky
15,16,Confident,Savage
16,17,Yaba Buluku (Remix),DJ Tárico
17,18,Essence (feat. Tems),Wizkid
18,19,Lazarus,Dave
19,20,Bling (feat. Amaarae & Buju),Blaqbonez
20,21,Testimony,Buju
21,22,Party Next Door,Dangbana Republik
22,23,Dimension (feat. Skepta & Rema),Jae5
23,24,Felony,CKay
24,25,Coming,Naira Marley
25,26,It Is What It Is,Adekunle Gold
26,27,Oliver Twist,ArrDee
27,28,Forever (Remix),Gyakie
28,29,LV N ATTN feat. Wizkid,Lojay
29,30,Cocaine,Dai Verse
30,31,Ke Star (Remix),Focalistic
31,32,Kilometre,Burna Boy
32,33,STAY,The Kid Laroi
33,34,Abu Dhabi,Ruger
34,35,Bounce,Rema
35,36,Medicine,Jaywillz
36,37,Hallelu,Masterkraft
37,38,HUSTLE,Teni
38,39,Far Away,Dangbana Republik
39,40,Somebody Baby,Peruzzi
40,41,We're All Alone,Dave
41,42,Loved By You,Justin Bieber
42,43,FOR YOU,Teni
43,44,Show Me,Joeboy
44,45,Pronto,Ajebo Hustlers
45,46,Verdansk,Dave
46,47,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
47,48,Bloody Samaritan,Ayra Starr
48,49,History,Cheque
49,50,RAPSTAR,POLO G
50,51,PonPon,Olamide
51,52,Infinity,Olamide
52,53,In The Fire,Dave
53,54,KPK (Ko Por Ke),Rexxie
54,55,MONTERO (Call Me By Your Name),Lil Nas X
55,56,Ginger (feat. Burna Boy),Wizkid
56,57,All,Rexxie
57,58,Law Of Attraction,Dave
58,59,Twenty To One,Dave
59,60,Kilofeshe,Zinoleesky
60,61,Running (To You),Chike
61,62,Tonongo,Lojay
62,63,Both Sides Of A Smile,Dave
63,64,Bad Habits,Ed Sheeran
64,65,23,Burna Boy
65,66,Godly,Omah lay
66,67,Celebrate Me,Patoranking
67,68,Ile Aye (This Life),Josseyan-tizzy
68,69,Call Me Baby,Cheque
69,70,Peaches,Justin Bieber
70,71,KOLO (feat. Oxlade),Ice Prince
71,72,Nirvana,Skepta
72,73,La La (feat. Ckay),DaVido
73,74,Heart Attack,Dave
74,75,Mercy,Falz
75,76,Focus,Joeboy
76,77,Late At Night,Roddy Ricch
77,78,Pray,Victony
78,79,Three Rivers,Dave
79,80,Commitment Issues,Central Cee
80,81,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
81,82,ROCKSTAR,DaBaby
82,83,World,Dangbana Republik
83,84,PEPE,L.A.X
84,85,Runaway,AURORA
85,86,Heartbreak Anniversary,Giveon
86,87,Blessed (feat. Damian Marley),Wizkid
87,88,Rush,Dangbana Republik
88,89,Bad Influence,Omah lay
89,90,Bellator,Skepta
90,91,Lemonade,Internet money
91,92,Motley Crew,Post Malone
92,93,Lit Like This,Skepta
93,94,Yafun Yafun,Ajebo Hustlers
94,95,Ruger,Ruger
95,96,Dior,Pop Smoke
96,97,Damages,Tems
97,98,Out There,Dangbana Republik
98,99,Early Momo,Vector
99,100,Leave The Door Open,Bruno Mars
