,Position,song,artist
0,1,Bounce,Ruger
1,2,Infinity,Olamide
2,3,NEED ME,Gyakie
3,4,Bling (feat. Amaarae & Buju),Blaqbonez
4,5,Running (To You),Chike
5,6,Essence (feat. Justin Bieber & Tems),Wizkid
6,7,Forever (Remix),Gyakie
7,8,Peru,Fireboy Dml
8,9,Feeling,LADIPOE
9,10,Snitch,Ayra Starr
10,11,Pray,Victony
11,12,Ogogoro,Yemi Alade
12,13,Peaches (Masterkraft Remix),Justin Bieber
13,14,Gone Girl,Obongjayar
14,15,Outside,Buju
15,16,Essence (feat. Tems),Wizkid
16,17,Bloody Samaritan,Ayra Starr
17,18,Slow Down,King Promise
18,19,Vibration,Fireboy Dml
19,20,Call Me Baby,Cheque
20,21,Touch It,KiDi
21,22,Baby I'm Jealous,Mr Eazi
22,23,Soundgasm,Rema
23,24,Searching,Lady Donli
24,25,In My Maserati,Olakira
25,26,PANTIES,Kagwe Mungai
26,27,Send Me Nudes,KiDi
27,28,Away,Ayra Starr
28,29,My Jaber (Friday),H_art the Band
29,30,Whine,Gyakie
30,31,Shine Your Light (feat. Akon),Master KG
31,32,La La (feat. Ckay),DaVido
32,33,Say Cheese,KiDi
33,34,Nana,TomE
34,35,Woman,Rema
35,36,Enjoy (Remix),Tekno
36,37,Bank Notification,Ciza
37,38,Summeryomuthi,Blaq Diamond
38,39,Damages,Tems
39,40,Baikoko,Mbosso
40,41,Nobody,DJ Neptune
41,42,FOR YOU,Teni
42,43,The Best (feat. Mayorkun),DaVido
43,44,Bossy Part II,WurlD
44,45,Lonely,Joeboy
45,46,I Love You,Mr. P
46,47,Questions,Shekhinah
47,48,Thunder Fire You,Ric Hassani
48,49,Kiss Me Like You Miss Me,CKay
49,50,Designer,Tekno
