,Position,song,artist
0,1,Understand,Omah lay
1,2,Sinner,Adekunle Gold
2,3,Bounce,Ruger
3,4,Feeling,LADIPOE
4,5,Outside,Buju
5,6,Peru,Fireboy Dml
6,7,Monalisa,Lojay
7,8,Big Thug Boys,AV
8,9,Soundgasm,Rema
9,10,Rock,Olamide
10,11,INDUSTRY BABY,Lil Nas X
11,12,Feel Good,MohBad
12,13,Clash,Dave
13,14,System,Dave
14,15,Naira Marley,Zinoleesky
15,16,Yaba Buluku (Remix),DJ Tárico
16,17,Lazarus,Dave
17,18,Confident,Savage
18,19,Essence (feat. Tems),Wizkid
19,20,Testimony,Buju
20,21,Bling (feat. Amaarae & Buju),Blaqbonez
21,22,Party Next Door,Dangbana Republik
22,23,Dimension (feat. Skepta & Rema),Jae5
23,24,Felony,CKay
24,25,Oliver Twist,ArrDee
25,26,Forever (Remix),Gyakie
26,27,Coming,Naira Marley
27,28,LV N ATTN feat. Wizkid,Lojay
28,29,It Is What It Is,Adekunle Gold
29,30,Ke Star (Remix),Focalistic
30,31,STAY,The Kid Laroi
31,32,Abu Dhabi,Ruger
32,33,Bloody Samaritan,Ayra Starr
33,34,Medicine,Jaywillz
34,35,Far Away,Dangbana Republik
35,36,Pronto,Ajebo Hustlers
36,37,Kilometre,Burna Boy
37,38,Bounce,Rema
38,39,Twenty To One,Dave
39,40,Ile Aye (This Life),Josseyan-tizzy
40,41,In The Fire,Dave
41,42,Loved By You,Justin Bieber
42,43,We're All Alone,Dave
43,44,Hallelu,Masterkraft
44,45,Somebody Baby,Peruzzi
45,46,Law Of Attraction,Dave
46,47,Verdansk,Dave
47,48,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
48,49,Cocaine,Dai Verse
49,50,FOR YOU,Teni
50,51,History,Cheque
51,52,Both Sides Of A Smile,Dave
52,53,HUSTLE,Teni
53,54,RAPSTAR,POLO G
54,55,Show Me,Joeboy
55,56,PonPon,Olamide
56,57,Tonongo,Lojay
57,58,Kilofeshe,Zinoleesky
58,59,MONTERO (Call Me By Your Name),Lil Nas X
59,60,KPK (Ko Por Ke),Rexxie
60,61,All,Rexxie
61,62,Ginger (feat. Burna Boy),Wizkid
62,63,Infinity,Olamide
63,64,Running (To You),Chike
64,65,Commitment Issues,Central Cee
65,66,Godly,Omah lay
66,67,La La (feat. Ckay),DaVido
67,68,Nirvana,Skepta
68,69,Getting Older,Billie Eilish
69,70,Peaches,Justin Bieber
70,71,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
71,72,KOLO (feat. Oxlade),Ice Prince
72,73,Heart Attack,Dave
73,74,Three Rivers,Dave
74,75,Bellator,Skepta
75,76,Yafun Yafun,Ajebo Hustlers
76,77,Mercy,Falz
77,78,Omo X 100,Reminisce
78,79,Peace of Mind,Skepta
79,80,Celebrate Me,Patoranking
80,81,Call Me Baby,Cheque
81,82,Pray,Victony
82,83,Dior,Pop Smoke
83,84,World,Dangbana Republik
84,85,Focus,Joeboy
85,86,23,Burna Boy
86,87,Late At Night,Roddy Ricch
87,88,Bad Habits,Ed Sheeran
88,89,Bad Influence,Omah lay
89,90,ROCKSTAR,DaBaby
90,91,Lit Like This,Skepta
91,92,Out There,Dangbana Republik
92,93,Damages,Tems
93,94,Motley Crew,Post Malone
94,95,Rush,Dangbana Republik
95,96,Blessed (feat. Damian Marley),Wizkid
96,97,Astronaut In The Ocean,Masked Wolf
97,98,I Didn't Change My Number,Billie Eilish
98,99,Eyes on Me,Skepta
99,100,Leave The Door Open,Bruno Mars
