Position,artist,album
1,Dave,We're All Alone In This Together
2,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
3,Yung Bleu,Moon Boy
4,Obongjayar,Sweetness
5,The Kid Laroi,F*CK LOVE 3: OVER YOU
6,Kida Kudz,TOP MEMBA
7,Dangbana Republik,High Tension 2.0
8,Anne-Marie,Therapy
9,Pop Smoke,Faith (Deluxe)
10,Olamide,UY Scuti
11,Jaywillz,Love or the Word (EP)
12,Ruger,PANDEMIC
13,1da Banton,Original Vibe Machine
14,Pop Smoke,Faith
15,Wizkid,Made In Lagos
16,Lojay,LV N ATTN
17,The Kid Laroi,F*CK LOVE 3: OVER YOU
18,Lil Duke,Duke Hefner
19,KSI,All Over The Place (Platinum VIP Edition)
20,Central Cee,Wild West
21,Blaqbonez,Sex Over Love
22,POLO G,Hall of Fame
23,J. Cole,The Off-Season
24,DaVido,A Good Time
25,Kanye West,JESUS IS KING
26,DJ Khaled,KHALED KHALED
27,Justin Bieber,Justice
28,tribl,Tribl I
29,Post Malone,beerbongs & bentleys
30,A\u1e63a,Asa (Asha)
31,MARVZEHIZ,Storyline
32,Snoh Aalegra,TEMPORARY HIGHS IN THE VIOLET SKIES
33,DaVido,A Better Time
34,Basketmouth,Yabasi
35,Nasty C,Zulu Man With Some Power
36,Judikay,Man Of Galilee
37,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
38,YXNG K.A,BABY REAPER EP
39,Doja Cat,Planet Her
40,Fireboy Dml,"Laughter, Tears & Goosebumps"
41,Oxlade,OXYGENE
42,Ransom,Heavy Is the Head
43,Burna Boy,African Giant
44,Lil Nas X,7 EP
45,Nasty C,Strings And Bling
46,Burna Boy,Outside
47,NF,Therapy Session
48,J Hus,Common Sense
49,Wizkid,Superstar
50,Lil Tjay,Destined 2 Win
51,YXNG K.A,REAPER SZN (Deluxe)
52,Joeboy,Somewhere Between Beauty & Magic
53,Leon Bridges,Gold-Diggers Sound
54,Future,HNDRXX
55,Lorde,Melodrama
56,Jeune Lio,A Night In Cocody
57,Anne-Marie,Speak Your Mind (Deluxe)
58,Wizkid,Sounds From The Other Side
59,J. Cole,2014 Forest Hills Drive
60,Migos,Culture III
61,Tones and I,Welcome To The Madhouse (Deluxe)
62,Against The Current,fever
63,Rexxie,A True Champion
64,Labrinth,Imagination & the Misfit Kid
65,21 Savage,i am > i was (Deluxe)
66,Mr Eazi,"Life is Eazi, Vol. 2 - Lagos To London"
67,Future,SUPER SLIMEY
68,Sonnie Badu,Colours of Africa: Live in London
69,Doja Cat,Planet Her (Deluxe)
70,Aramide,Bittersweet
71,NF,CLOUDS (THE MIXTAPE)
72,MiZZle,In The Dark
73,Ski Mask the Slump God,Sin City The Mixtape
74,Lil Wayne,Tha Carter V (Deluxe)
75,Sam Smith,Love Goes
76,Tems,For Broken Ears
77,Burna Boy,Twice As Tall
78,Victoria Mon\u00e9t,JAGUAR
79,Fireboy Dml,APOLLO
80,Juice Wrld,Legends Never Die
81,Olivia Rodrigo,SOUR
82,Terri,Afro Series
83,Enya,The Very Best of Enya (Deluxe Edition)
84,Dax,I'll Say It For You
85,Lil Baby,My Turn
86,Bella Shmurda,High Tension
87,Starboy,SoundMan Vol. 1
88,Ajebutter22,Make E No Cause Fight 2
89,Zlatan,Zanku
90,Post Malone,Hollywood's Bleeding
91,NF,The Search
92,Khalid,Free Spirit
93,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
94,Ariana Grande,"thank u, next"
95,Koffee,Rapture EP
96,Tope Alabi,The Spirit of Light
97,Lil Nas X,MONTERO (Call Me By Your Name)
98,Young M.A,Off the Yak
99,Kanye West,ye
100,J. Cole,KOD
