Position,song,artist,album
1,Bounce,Ruger,PANDEMIC
2,Feeling,"LADIPOE, Buju",Feeling
3,Rock,Olamide,Rock
4,Soundgasm,Rema,Soundgasm
5,Outside,Buju,Outside
6,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
7,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
8,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
9,Felony,CKay,Boyfriend
10,Coming,"Naira Marley, Busiswa",Coming
11,PonPon,"Olamide, FAVE",UY Scuti
12,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
13,It Is What It Is,Adekunle Gold,It Is What It Is
14,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
15,Julie,Olamide,UY Scuti
16,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
17,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
18,Bounce,Rema,Bounce
19,Kilometre,Burna Boy,Kilometre
20,Naira Marley,Zinoleesky,Naira Marley
21,Jailer,"Olamide, Jaywillz",UY Scuti
22,Confident,"Savage, Buju",Confident
23,Need For Speed,Olamide,UY Scuti
24,Infinity,"Olamide, Omah lay",Carpe Diem
25,Pronto,"Ajebo Hustlers, Omah lay",Pronto
26,Show Me,Joeboy,Somewhere Between Beauty & Magic
27,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
28,RAPSTAR,POLO G,Hall of Fame
29,FOR YOU,"Teni, DaVido",FOR YOU
30,History,"Cheque, Fireboy Dml",History
31,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
32,Kilofeshe,Zinoleesky,Chrome
33,Loved By You,"Justin Bieber, Burna Boy",Justice
34,Oliver Twist,ArrDee,Oliver Twist
35,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
36,Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice
37,Running (To You),"Chike, Simi",Running (To You)
38,Godly,Omah lay,What Have We Done
39,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
40,Cup of Tea,Olamide,UY Scuti
41,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
42,Focus,Joeboy,Somewhere Between Beauty & Magic
43,Big Thug Boys,AV,Big Thug Boys
44,23,Burna Boy,Twice As Tall
45,Want,"Olamide, FAVE",UY Scuti
46,Rough Up,"Olamide, LaYYdoe",UY Scuti
47,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
48,LET IT GO (feat. Justin Bieber & 21 Savage),"DJ Khaled, 21 Savage, Justin Bieber",KHALED KHALED
49,Somebody,"Olamide, Phyno",UY Scuti
50,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)
51,Commitment Issues,Central Cee,Commitment Issues
52,Blessed (feat. Damian Marley),"Wizkid, Damian Marley",Made In Lagos
53,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean
54,Peaches (Masterkraft Remix),"Justin Bieber, Alpha P, Omah lay",Peaches (Masterkraft Remix)
55,La La (feat. Ckay),"DaVido, CKay",A Better Time
56,Tonongo,"Lojay, Sarz",LV N ATTN
57,Abu Dhabi,Ruger,PANDEMIC
58,a m a r i,J. Cole,The Off-Season
59,Monalisa,"Lojay, Sarz",LV N ATTN
60,Rush,"Dangbana Rebublik, Bella Shmurda",Rush
