Position,artist,album
1,Rexxie,A True Champion
2,Limoblaze,God's Favourite Baby
3,Olamide,UY Scuti
4,G Herbo,25
5,MiZZle,In The Dark
6,Masterkraft,Masta Groove
7,Wizkid,Made In Lagos
8,Ruger,PANDEMIC
9,Burna Boy,African Giant
10,Justin Bieber,Justice
11,Doja Cat,Planet Her (Deluxe)
12,Nas,It Was Written (Expanded Edition)
13,Joeboy,Somewhere Between Beauty & Magic
14,Teni,WONDALAND
15,DJ Khaled,KHALED KHALED
16,Lojay,LV N ATTN
17,Migos,Culture III
18,POLO G,THE GOAT
19,Juice Wrld,Goodbye & Good Riddance (Anniversary Edition)
20,G4 Boyz,Scam
21,The Flowolf,Full Moon
22,Dave,PSYCHODRAMA
23,Bella Shmurda,High Tension
24,Show Dem Camp,The Palmwine Express
25,Burna Boy,Twice As Tall
26,Burna Boy,Outside
27,Lil Baby,The Voice of the Heroes
28,Blaqbonez,Sex Over Love
29,POLO G,Hall of Fame
30,Lil Peep,CASTLES II
31,"Tyler, The Creator",CALL ME IF YOU GET LOST
32,Pa Salieu,Send Them To Coventry
33,The Cavemen.,ROOTS
34,J. Cole,KOD
35,Olamide,Eyan Mayweather
36,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
37,Doja Cat,Planet Her
38,Olivia Rodrigo,SOUR
39,Koffee,Rapture EP
40,6lack,East Atlanta Love Letter
41,Rema,Rema Compilation
42,Oxlade,OXYGENE
43,King Perryy,CITIZEN OF THE WORLD
44,Adekunle Gold,"Afro Pop, Vol. 1"
45,Jaden,CTV3: Cool Tape Vol. 3
46,XXXTentacion,?
47,Rod Wave,SoulFly
48,J. Cole,The Off-Season
49,H.E.R.,Back of My Mind
50,Kendrick Lamar,DAMN.
51,Khalid,American Teen
52,Juice Wrld,Death Race For Love
53,Patoranking,Three
54,Juice Wrld,Legends Never Die
55,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack)
56,SAINt JHN,Ghetto Lenny's Love Songs
57,Lil Durk,The Voice (Deluxe)
58,Justin Bieber,Justice (Triple Chucks Deluxe)
59,DAP The Contract,Powers Vol. 2
60,Beyonc\u00e9,The Lion King: The Gift [Deluxe Edition]
61,Bazzi,COSMIC
62,J.I the Prince of N.Y,Hood Life Krisis Vol. 3 EP
63,The Weeknd,The Highlights
64,Lil Tjay,Destined 2 Win
65,Tooclasiq,4 Am
66,Corizo,Chronicles of CORIZO
67,Yungeen Ace,Life of Betrayal 2x
68,G Herbo,25
69,Dax,I'll Say It For You
70,Tems,For Broken Ears
71,Omah lay,What Have We Done
72,Migos,Culture II
73,Elevation Worship,Old Church Basement
74,Jp Saxe,Dangerous Levels of Introspection
75,OLUWAF3Mi,LATE GRADUATION
76,Maverick City Music,Jubilee: Juneteenth Edition
77,Logic,YS Collection Vol. 1
78,Stormzy,Gang Signs & Prayer
79,Dreylo,Mixed Feelings
80,Dave,Six Paths
81,Blaqbonez,Bad Boy Blaq Re-Up
82,Kanye West,The Life Of Pablo
83,Jon Bellion,The Human Condition
84,Alessia Cara,Know-It-All (Deluxe)
85,Travis Greene,The Hill
86,N.W.A,Straight Outta Compton
87,J. Cole,2014 Forest Hills Drive
88,Jon Bellion,The Definition
89,Lil Wayne,Tha Carter V
90,Wizkid,Superstar
91,2Pac,All Eyez On Me
92,The Game,The Documentary
93,C\u00e9line Dion,The Very Best of Celine Dion
94,Eminem,The Marshall Mathers LP
95,Nas,It Was Written
96,Khalid,Free Spirit
97,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
98,C\u00e9line Dion,Falling into You
99,Erigga,The Erigma II
100,Drake,Care Package
