,Position,song,artist
0,1,Understand,Omah lay
1,2,System,Dave
2,3,Bounce,Ruger
3,4,Sinner,Adekunle Gold
4,5,INDUSTRY BABY,Lil Nas X
5,6,Clash,Dave
6,7,Feeling,LADIPOE
7,8,Soundgasm,Rema
8,29,Both Sides Of A Smile,Dave
9,30,LV N ATTN feat. Wizkid,Lojay
10,31,Felony,CKay
11,32,Coming,Naira Marley
12,33,Forever (Remix),Gyakie
13,34,It Is What It Is,Adekunle Gold
14,35,Oliver Twist,ArrDee
15,36,Medicine,Jaywillz
16,37,Three Rivers,Dave
17,38,Kilometre,Burna Boy
18,39,Far Away,Dangbana Republik
19,40,Abu Dhabi,Ruger
20,41,History,Cheque
21,42,Ke Star (Remix),Focalistic
22,43,RAPSTAR,POLO G
23,44,Heart Attack,Dave
24,45,Bounce,Rema
25,46,Pronto,Ajebo Hustlers
26,47,Somebody Baby,Peruzzi
27,48,STAY,The Kid Laroi
28,49,Hallelu,Masterkraft
29,50,HUSTLE,Teni
30,51,Loved By You,Justin Bieber
31,52,FOR YOU,Teni
32,53,Show Me,Joeboy
33,54,All,Rexxie
34,55,MONTERO (Call Me By Your Name),Lil Nas X
35,56,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
36,57,Cocaine,Dai Verse
37,58,KPK (Ko Por Ke),Rexxie
38,59,Ginger (feat. Burna Boy),Wizkid
39,60,DESTRUCTO,Diamondxx
40,61,PonPon,Olamide
41,62,Infinity,Olamide
42,63,Kilofeshe,Zinoleesky
43,64,Tonongo,Lojay
