,Position,song,artist
0,1,Mood (feat. Buju),Wizkid
1,2,Peru,Fireboy Dml
2,3,Bloody Samaritan,Ayra Starr
3,4,Understand,Omah lay
4,5,Anoti,Wizkid
5,6,Lie,Kizz Daniel
6,7,Fountains,Drake
7,8,High,Adekunle Gold
8,9,Feel Good,MohBad
9,10,Monalisa,Lojay
10,11,Essence (feat. Justin Bieber & Tems),Wizkid
11,12,Girls Want Girls,Drake
12,13,Question,Burna Boy
13,14,Bounce,Ruger
14,15,Sinner,Adekunle Gold
15,16,Fair Trade,Drake
16,17,Outside,Buju
17,18,Big Thug Boys,AV
18,19,Champagne Poetry,Drake
19,20,Way 2 Sexy,Drake
20,21,Feeling,LADIPOE
21,22,Fashion Killer,Ayra Starr
22,23,In The Bible,Drake
23,24,Cocaine,Dai Verse
24,25,INDUSTRY BABY,Lil Nas X
25,31,STAY,The Kid Laroi
26,32,Rock,Olamide
27,33,Steady,Wizkid
28,34,Medicine,Jaywillz
29,35,Somebody’s Son,Tiwa Savage
30,36,Papi’s Home,Drake
31,37,TSU,Drake
32,38,Hurricane,Kanye West
33,39,Jail,Kanye West
34,40,Clash,Dave
35,41,Yaba Buluku (Remix),DJ Tárico
36,42,Confident,Savage
37,43,N 2 Deep,Drake
38,44,7am On Bridle Path,Drake
39,45,Knife Talk,Drake
40,46,Testimony,Buju
41,47,Party Next Door,Dangbana Republik
42,48,Dimension (feat. Skepta & Rema),Jae5
43,49,Pipe Down,Drake
44,50,No Friends In The Industry,Drake
45,51,Bling (feat. Amaarae & Buju),Blaqbonez
46,52,Get Along Better,Drake
47,53,So Cold,Bella Shmurda
48,54,Cast (Gen Z Anthem),Ayra Starr
49,55,It Is What It Is,Adekunle Gold
50,56,Felony,CKay
51,57,Race My Mind,Drake
52,58,Yebba’s Heartbreak,Drake
53,59,Essence (feat. Tems),Wizkid
54,60,You Only Live Twice,Drake
55,61,System,Dave
56,62,IMY2,Drake
57,63,Oliver Twist,ArrDee
58,64,loving is harder,Johnny Drille
59,65,Kilometre,Burna Boy
60,66,Ginger (feat. Burna Boy),Wizkid
61,67,Beggie Beggie,Ayra Starr
62,68,Drug Test,Naira Marley
63,69,Forever (Remix),Gyakie
64,70,HUSTLE,Teni
65,71,Coming,Naira Marley
66,72,ova,Johnny Drille
67,73,ludo,Johnny Drille
68,74,Abu Dhabi,Ruger
69,75,Far Away,Dangbana Republik
70,76,Praise God,Kanye West
71,77,Off The Grid,Kanye West
72,78,Mercy,Falz
73,79,MY KIND OF BROWN,Johnny Drille
74,80,Wid It,Tion Wayne
75,81,Hallelu,Masterkraft
76,82,Reckless,Wizkid
77,83,Bounce,Rema
78,84,LV N ATTN feat. Wizkid,Lojay
79,85,Blessed (feat. Damian Marley),Wizkid
80,86,Fucking Fans,Drake
81,87,odo,Johnny Drille
82,88,The Remorse,Drake
83,89,RAPSTAR,POLO G
84,90,Colorado,Zugo
85,91,Need To Know,Doja Cat
86,92,Show Me,Joeboy
87,93,LOML,Cheque
