,Position,song,artist
0,1,Fountains,Drake
1,2,Mood (feat. Buju),Wizkid
2,3,Champagne Poetry,Drake
3,4,Girls Want Girls,Drake
4,5,Peru,Fireboy Dml
5,6,High,Adekunle Gold
6,7,Bloody Samaritan,Ayra Starr
7,8,Anoti,Wizkid
8,9,In The Bible,Drake
9,10,Lie,Kizz Daniel
10,11,Fair Trade,Drake
11,12,Understand,Omah lay
12,13,Papi’s Home,Drake
13,14,Essence (feat. Justin Bieber & Tems),Wizkid
14,15,Love All,Drake
15,16,Way 2 Sexy,Drake
16,17,Question,Burna Boy
17,18,Monalisa,Lojay
18,19,Feel Good,MohBad
19,20,Sinner,Adekunle Gold
20,21,Bounce,Ruger
21,22,Steady,Wizkid
22,23,TSU,Drake
23,24,Outside,Buju
24,25,Get Along Better,Drake
25,31,7am On Bridle Path,Drake
26,32,Pipe Down,Drake
27,33,Let Me Know,Mayorkun
28,34,You Only Live Twice,Drake
29,35,Fashion Killer,Ayra Starr
30,36,Soundgasm,Rema
31,37,Hurricane,Kanye West
32,38,Yebba’s Heartbreak,Drake
33,39,Naira Marley,Zinoleesky
34,40,Cocaine,Dai Verse
35,41,Jail,Kanye West
36,42,INDUSTRY BABY,Lil Nas X
37,43,Medicine,Jaywillz
38,44,Rock,Olamide
39,45,Race My Mind,Drake
40,46,IMY2,Drake
41,47,ova,Johnny Drille
42,48,MY KIND OF BROWN,Johnny Drille
43,49,Somebody’s Son,Tiwa Savage
44,50,loving is harder,Johnny Drille
45,51,STAY,The Kid Laroi
46,52,odo,Johnny Drille
47,53,Ojuju,Troniq Music
48,54,Yaba Buluku (Remix),DJ Tárico
49,55,Confident,Savage
50,56,ludo,Johnny Drille
51,57,Fucking Fans,Drake
52,58,Clash,Dave
53,59,Party Next Door,Dangbana Republik
54,60,driving in the rain,Johnny Drille
55,61,Praise God,Kanye West
56,62,So Cold,Bella Shmurda
57,63,The Remorse,Drake
58,64,Off The Grid,Kanye West
59,65,Essence (feat. Tems),Wizkid
60,66,BEFORE I LET GO,Johnny Drille
61,67,Felony,CKay
62,68,Testimony,Buju
63,69,Dimension (feat. Skepta & Rema),Jae5
64,70,Bling (feat. Amaarae & Buju),Blaqbonez
65,71,System,Dave
66,72,HUSTLE,Teni
67,73,Ginger (feat. Burna Boy),Wizkid
68,74,in the light,Johnny Drille
69,75,It Is What It Is,Adekunle Gold
70,76,CLOCKS,Johnny Drille
71,77,Moon,Kanye West
72,78,Reckless,Wizkid
73,79,Abu Dhabi,Ruger
74,80,Jonah,Kanye West
75,81,Kilometre,Burna Boy
76,82,LIES (To Whom It May Concern),Johnny Drille
77,83,Oliver Twist,ArrDee
78,84,LOML,Cheque
79,85,Wid It,Tion Wayne
80,86,LV N ATTN feat. Wizkid,Lojay
81,87,Alubarika,Zlatan
82,88,Coming,Naira Marley
83,89,Blessed (feat. Damian Marley),Wizkid
84,90,Forever (Remix),Gyakie
85,91,Drug Test,Naira Marley
86,92,Colorado,Zugo
87,93,Beggie Beggie,Ayra Starr
