Position,artist,album
1,Dave,We're All Alone In This Together
2,Billie Eilish,Happier Than Ever
3,Skepta,All In
4,Pop Smoke,Faith
5,POLO G,Hall of Fame
6,Lojay,LV N ATTN
7,Dangbana Republik,High Tension 2.0
8,Lil Baby,The Voice of the Heroes
9,Ajebo Hustlers,"Kpos Lifestyle, Vol. 1"
10,Ruger,PANDEMIC
11,Burna Boy,African Giant
12,Rudeboy,Rudykillus
13,Blaqbonez,Sex Over Love
14,Wizkid,Made In Lagos
15,Burna Boy,Twice As Tall
16,POLO G,THE GOAT
17,Barry Jhay,Barry Back
18,Logic,Bobby Tarantino III
19,Unknown T,Adolescence
20,Obongjayar,Sweetness
21,Various Artists,Budweiser (Remix)
22,Migos,Culture III
23,Kida Kudz,TOP MEMBA
24,DJ Khaled,KHALED KHALED
25,Olamide,UY Scuti
26,Burna Boy,Outside
27,J Hus,Common Sense
28,Odumodublvck,Eye Don Red
29,Isaiah Rashad,The House Is Burning
30,Skepta,Ignorance is Bliss
31,Sarkodie,No Pressure
32,Hillsong Young & Free,Out Here On A Friday Where It Began
33,Yung Bleu,Moon Boy
34,Doja Cat,Planet Her
35,Corizo,Chronicles of CORIZO
36,Lil Nas X,7 EP
37,Jon Bellion,The Human Condition
38,MohBad,Light
39,The Cavemen.,ROOTS
40,Lil Durk,Signed To The Streets 3
41,Future,Future & Juice WRLD Present... WRLD ON DRUGS
42,amaarae,THE ANGEL YOU DON'T KNOW
43,Ayra Starr,Ayra Starr
44,Juice Wrld,Legends Never Die
45,Kizz Daniel,King Of Love
46,J Hus,Big Conspiracy
47,JACKBOYS,JACKBOYS
48,Roddy Ricch,Please Excuse Me for Being Antisocial
49,Huncho Jack,"Huncho Jack, Jack Huncho"
50,Oxlade,OXYGENE
51,Teni,WONDALAND
52,Kaptain,Kapacity
53,Jon Bellion,Glory Sound Prep
54,Sam Smith,Love Goes
55,Lil Durk,Just Cause Y'all Waited 2 (Deluxe)
56,Jeriq,Hood Boy Dreams
57,Starboy,SoundMan Vol. 1
58,Pop Smoke,Faith (Deluxe)
59,Vader the Wildcard,To Be Frank
60,Mercy Chinwo,Satisfied
61,DaVido,Son of Mercy - EP
62,Metro Boomin,NOT ALL HEROES WEAR CAPES
63,Lil Baby,Drip Harder
64,Lil Baby,My Turn (Deluxe)
65,Nasty C,Strings And Bling
66,Juice Wrld,Legends Never Die
67,Burna Boy,On a Spaceship
68,Sola Allyson,\u00ccR\u00cc (The Album Live) (Live)
69,9ice,Gongo Aso
70,Only The Family,Family Over Everything
71,Pop Smoke,Meet The Woo
72,Billie Eilish,dont smile at me
73,XXXTentacion,17
74,The Kid Laroi,F*CK LOVE 3+: OVER YOU
75,Juice Wrld,Death Race For Love
76,Tory Lanez,We Outside
77,Anne-Marie,Therapy
78,Offset,FATHER OF 4
79,Dave East,HOFFA
80,Rexxie,A True Champion
81,Maroon 5,JORDI (Deluxe)
82,Olivia Rodrigo,SOUR
83,Moses Bliss,Too Faithful
84,J. Cole,The Off-Season
85,Justin Bieber,Freedom.
86,Joeboy,Deezer Sessions
87,Justin Bieber,Justice
88,Rod Wave,SoulFly
89,Alicia Keys,As I Am (Expanded Edition)
90,Kendrick Lamar,"good kid, m.A.A.d city"
91,Flavour,Best Of Flavour
92,Travis Greene,The Hill
93,Jah Prayzah,Chitubu
94,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
95,Trippie Redd,LIFE'S A TRIP
96,NSG,Roots
97,Fireboy Dml,"Laughter, Tears & Goosebumps"
98,Labrinth,Euphoria (Original Score from the HBO Series)
99,XXXTentacion,?
100,Lil Baby,Street Gossip
