Position,artist,album
1,Lojay,LV N ATTN
2,Doja Cat,Planet Her (Deluxe)
3,Rexxie,A True Champion
4,Wizkid,Made In Lagos
5,Teni,WONDALAND
6,Olamide,UY Scuti
7,Ruger,PANDEMIC
8,"Tyler, The Creator",CALL ME IF YOU GET LOST
9,Abra Cadabra,Product of My Environment
10,Blaqbonez,Sex Over Love
11,Jon Bellion,The Human Condition
12,XXXTentacion,?
13,Lil Baby,The Voice of the Heroes
14,Nasty C,Strings And Bling
15,Masterkraft,Masta Groove
16,Olivia Rodrigo,SOUR
17,MiZZle,In The Dark
18,POLO G,Hall of Fame
19,Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe)
20,Nasty C,Zulu Man With Some Power
21,Migos,Culture III
22,Basketmouth,Yabasi
23,Dunsin Oyekan,The Gospel of the Kingdom
24,XXXTentacion,17
25,Nas,It Was Written (Expanded Edition)
26,Jon Bellion,Glory Sound Prep
27,Show Dem Camp,The Palmwine Express
28,J Hus,Big Conspiracy
29,Burna Boy,Twice As Tall
30,Lil Baby,My Turn (Deluxe)
31,Jaywillz,Love or the Word (EP)
32,Powfu,some boring love stories pt 5
33,AJ Tracey,Flu Game
34,Fireboy Dml,APOLLO
35,Olamide,Carpe Diem
36,Kanye West,My Beautiful Dark Twisted Fantasy
37,Young M.A,Off the Yak
38,Chris Tomlin,Chris Tomlin & Friends: Summer EP
39,Bella Shmurda,High Tension
40,Reminisce,Baba Hafusa
41,Chloe x Halle,Ungodly Hour
42,Tems,For Broken Ears
43,Rod Wave,SoulFly
44,NF,CLOUDS (THE MIXTAPE)
45,DJ Khaled,KHALED KHALED
46,NF,Perception
47,Young Thug,Beautiful Thugger Girls
48,Jay-Z,4:44
49,Falz,27
50,Limoblaze,God's Favourite Baby
51,Nathaniel Bassey,The King Is Coming
52,Huncho Jack,"Huncho Jack, Jack Huncho"
53,Nipsey Hussle,Victory Lap
54,Migos,Culture III (Deluxe)
55,Jorja Smith,Lost & Found
56,Doja Cat,Planet Her
57,Anthem Lights,Worship
58,Jacob Banks,Village
59,Koffee,Rapture EP
60,Lekan Salamii,Redemption
61,Khalid,Free Spirit
62,Burna Boy,African Giant
63,Powfu,drinking under the streetlights
64,DaVido,A Good Time
65,Bugzy Malone,The Resurrection
66,Topaz,I Feel Like Topaz
67,Chike,Boo of the Booless
68,Pop Smoke,Meet The Woo 2 (Deluxe)
69,Various Artists,"Praise & Worship, Vol. 5"
70,Giveon,TAKE TIME
71,Reminisce,Vibes & Insha Allah
72,Nathaniel Bassey,Hallelujah Again (Revelation 19:3)
73,Maroon 5,JORDI (Deluxe)
74,Jacob Banks,The Monologue
75,Jim Reeves,20 Songs of Inspiration
76,Era,Era I 2002
77,NF,Therapy Session
78,Drake,Views
79,Khalid,American Teen
80,Kodak Black,Haitian Boy Kodak
81,Boney M.,Boney M.
82,Jay Electronica,A Written Testimony
83,MckNasty,As Things Grow
84,Juice Wrld,Goodbye & Good Riddance
85,Bazzi,Soul Searching
86,Jack Harlow,Sweet Action
87,Enya,A Day Without Rain
88,Julia Michaels,Not In Chronological Order
89,J Hus,Big Spang - EP
90,Token,Between Somewhere
91,Childish Gambino,Because the Internet
92,Lil Tjay,F.N
93,Labrinth,Euphoria (Original Score from the HBO Series)
94,9ice,Tradition
95,Carly Rae Jepsen,Call Me Maybe
96,Logic,The Incredible True Story
97,Tory Lanez,PLAYBOY Live
98,T.I.,T.I. VS T.I.P.
99,Hillsong Worship,There Is More
100,Pusha T,DAYTONA
