Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling
2,Rock,Olamide,Rock
3,Soundgasm,Rema,Soundgasm
4,Bounce,Ruger,PANDEMIC
5,Outside,Buju,Outside
6,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
7,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
8,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
9,Julie,Olamide,UY Scuti
10,PonPon,"Olamide, FAVE",UY Scuti
11,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
12,Felony,CKay,Boyfriend
13,Jailer,"Olamide, Jaywillz",UY Scuti
14,Coming,"Naira Marley, Busiswa",Coming
15,Need For Speed,Olamide,UY Scuti
16,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
17,It Is What It Is,Adekunle Gold,It Is What It Is
18,Bounce,Rema,Bounce
19,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
20,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
21,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
22,Kilometre,Burna Boy,Kilometre
23,History,"Cheque, Fireboy Dml",History
24,Omo X 100,"Reminisce, Olamide",Omo X 100
25,Oliver Twist,ArrDee,Oliver Twist
26,Cup of Tea,Olamide,UY Scuti
27,Pronto,"Ajebo Hustlers, Omah lay",Pronto
28,RAPSTAR,POLO G,Hall of Fame
29,FOR YOU,"Teni, DaVido",FOR YOU
30,Want,"Olamide, FAVE",UY Scuti
31,Infinity,"Olamide, Omah lay",Carpe Diem
32,Rough Up,"Olamide, LaYYdoe",UY Scuti
33,Loved By You,"Justin Bieber, Burna Boy",Justice
34,Show Me,Joeboy,Somewhere Between Beauty & Magic
35,Kilofeshe,Zinoleesky,Chrome
36,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
37,Tonongo,"Lojay, Sarz",LV N ATTN
38,Somebody,"Olamide, Phyno",UY Scuti
39,Confident,"Savage, Buju",Confident
40,23,Burna Boy,Twice As Tall
41,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
42,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
43,Running (To You),"Chike, Simi",Running (To You)
44,So Much More,Olamide,UY Scuti
45,Godly,Omah lay,What Have We Done
46,Focus,Joeboy,Somewhere Between Beauty & Magic
47,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
48,Commitment Issues,Central Cee,Commitment Issues
49,Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice
50,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
51,Heartbreak Anniversary,Giveon,TAKE TIME
52,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)
53,Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe)
54,Early Momo,"Vector, Good girl LA",Early Momo
55,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean
56,Calling My Phone,"Lil Tjay, 6lack",Calling My Phone
57,LET IT GO (feat. Justin Bieber & 21 Savage),"DJ Khaled, 21 Savage, Justin Bieber",KHALED KHALED
58,Blessed (feat. Damian Marley),"Wizkid, Damian Marley",Made In Lagos
59,La La (feat. Ckay),"DaVido, CKay",A Better Time
60,World,"Dangbana Republik, Bella Shmurda",World
61,Rush,"Dangbana Rebublik, Bella Shmurda",Rush
62,Having Our Way,"Migos, Drake",Culture III
63,Fendi (feat. Joeboy),"Blaqbonez, Joeboy",Sex Over Love
64,Cash App,"Bella Shmurda, Zlatan, Lincoln",Cash App
65,Yaba Buluku (Remix),"DJ TÃ¡rico, Burna Boy, Preck, Nelson Tivane",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix]
66,a m a r i,J. Cole,The Off-Season
67,Abu Dhabi,Ruger,PANDEMIC
68,Monalisa,"Lojay, Sarz",LV N ATTN
69,Koleyewon,Naira Marley,Koleyewon
70,Straightenin,Migos,Culture III
71,Ruger,Ruger,PANDEMIC
72,PEPE,"L.A.X, DaVido",PEPE
73,Damages,Tems,Damages
74,Big Thug Boys,AV,Big Thug Boys
75,Ball If I Want To,DaBaby,Ball If I Want To
76,Bad Influence,Omah lay,Bad Influence
77,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open
78,Music Messiah,"DJ Neptune, Wande Coal",Music Messiah
79,All My Life (feat. Oxlade),"M.I Abaga, Oxlade",All My Life (feat. Oxlade)
