rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
185,Fear of Music (Deluxe Version),Talking Heads,90,90,301,301,301,301,301,240.71428571428572
186,StarStruck,Various Artists,91,91,301,301,301,301,301,241.0
187,Murmur,R.E.M.,92,92,301,301,301,301,301,241.28571428571428
188,Reckoning,R.E.M.,93,93,301,301,301,301,301,241.57142857142858
189,Aphrodite,Kylie Minogue,94,94,301,301,301,301,301,241.85714285714286
190,Recovery,Eminem,95,95,301,301,301,301,301,242.14285714285714
191,"So Wrong, It's Right",All Time Low,96,96,301,301,301,301,301,242.42857142857142
192,Casting Crowns,Casting Crowns,97,97,301,301,301,301,301,242.71428571428572
193,Exile On Main Street,The Rolling Stones,98,98,301,301,301,301,301,243.0
194,Spirit Of The Irish: The Ultimate Collection,The Dubliners,99,99,301,301,301,301,301,243.28571428571428
195,Our Earthly Pleasures,Maxïmo Park,100,100,301,301,301,301,301,243.57142857142858
