,Position,song,artist
0,1,Understand,Omah lay
1,2,System,Dave
2,3,Bounce,Ruger
3,4,Sinner,Adekunle Gold
4,5,Clash,Dave
5,6,Feeling,LADIPOE
6,7,Outside,Buju
7,8,INDUSTRY BABY,Lil Nas X
8,9,Lazarus,Dave
9,10,Soundgasm,Rema
10,11,Peru,Fireboy Dml
11,12,Rock,Olamide
12,13,Big Thug Boys,AV
13,14,Monalisa,Lojay
14,15,Naira Marley,Zinoleesky
15,16,We're All Alone,Dave
16,17,Law Of Attraction,Dave
17,18,Confident,Savage
18,19,Real Shiii,Graimmy Thesoh
19,20,Verdansk,Dave
20,21,Essence (feat. Tems),Wizkid
21,22,In The Fire,Dave
22,23,Yaba Buluku (Remix),DJ Tárico
23,24,Bling (feat. Amaarae & Buju),Blaqbonez
24,25,Dimension (feat. Skepta & Rema),Jae5
25,26,Both Sides Of A Smile,Dave
26,27,Testimony,Buju
27,28,Feel Good,MohBad
28,29,Twenty To One,Dave
29,30,Party Next Door,Dangbana Republik
30,31,Coming,Naira Marley
31,32,Three Rivers,Dave
32,33,STAY,The Kid Laroi
33,34,Felony,CKay
34,35,Forever (Remix),Gyakie
35,36,It Is What It Is,Adekunle Gold
36,37,LV N ATTN feat. Wizkid,Lojay
37,38,Heart Attack,Dave
38,39,Pronto,Ajebo Hustlers
39,40,Loved By You,Justin Bieber
40,41,Abu Dhabi,Ruger
41,42,Oliver Twist,ArrDee
42,43,Kilometre,Burna Boy
43,44,Ke Star (Remix),Focalistic
44,45,Bounce,Rema
45,46,Far Away,Dangbana Republik
46,47,Medicine,Jaywillz
47,48,Hallelu,Masterkraft
48,49,Somebody Baby,Peruzzi
49,50,History,Cheque
50,51,FOR YOU,Teni
51,52,PonPon,Olamide
52,53,Show Me,Joeboy
53,54,RAPSTAR,POLO G
54,55,Survivor's Guilt,Dave
55,56,Kilofeshe,Zinoleesky
56,57,All,Rexxie
57,58,Bad Influence,Omah lay
58,59,Ginger (feat. Burna Boy),Wizkid
59,60,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
60,61,Infinity,Olamide
61,62,Running (To You),Chike
62,63,KPK (Ko Por Ke),Rexxie
63,64,Yafun Yafun,Ajebo Hustlers
64,65,MONTERO (Call Me By Your Name),Lil Nas X
65,66,Runaway,AURORA
66,67,Tonongo,Lojay
67,68,Godly,Omah lay
68,69,HUSTLE,Teni
69,70,23,Burna Boy
70,71,Peaches,Justin Bieber
71,72,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
72,73,Celebrate Me,Patoranking
73,74,Call Me Baby,Cheque
74,75,Gone Girl,Obongjayar
75,76,Focus,Joeboy
76,77,Late At Night,Roddy Ricch
77,78,La La (feat. Ckay),DaVido
78,79,Out There,Dangbana Republik
79,80,Bad Habits,Ed Sheeran
80,81,Tell The Vision,Pop Smoke
81,82,The Best (feat. Mayorkun),DaVido
82,83,Damages,Tems
83,84,Bout A Million,Pop Smoke
84,85,World,Dangbana Republik
85,86,New Normal,Khalid
86,87,Ruger,Ruger
87,88,KOLO (feat. Oxlade),Ice Prince
88,89,Early Momo,Vector
89,90,Jailer,Olamide
90,91,Commitment Issues,Central Cee
91,92,Blessed (feat. Damian Marley),Wizkid
92,93,ROCKSTAR,DaBaby
93,94,Astronaut In The Ocean,Masked Wolf
94,95,Rush,Dangbana Republik
95,96,Calling My Phone,Lil Tjay
96,97,Leave The Door Open,Bruno Mars
97,98,Heartbreak Anniversary,Giveon
98,99,Dior,Pop Smoke
99,100,Motley Crew,Post Malone
