,Position,song,artist
0,1,Mood (feat. Buju),Wizkid
1,2,Peru,Fireboy Dml
2,3,Anoti,Wizkid
3,4,Understand,Omah lay
4,5,Bloody Samaritan,Ayra Starr
5,6,Essence (feat. Justin Bieber & Tems),Wizkid
6,7,Lie,Kizz Daniel
7,8,Steady,Wizkid
8,9,Feel Good,MohBad
9,10,Question,Burna Boy
10,11,Sinner,Adekunle Gold
11,12,Monalisa,Lojay
12,13,Bounce,Ruger
13,14,Outside,Buju
14,15,Jail,Kanye West
15,16,Big Thug Boys,AV
16,17,Feeling,LADIPOE
17,18,Let Me Know,Mayorkun
18,19,Hurricane,Kanye West
19,20,Naira Marley,Zinoleesky
20,21,Soundgasm,Rema
21,22,Fashion Killer,Ayra Starr
22,23,Cocaine,Dai Verse
23,24,Rock,Olamide
24,25,INDUSTRY BABY,Lil Nas X
25,31,Essence (feat. Tems),Wizkid
26,32,Off The Grid,Kanye West
27,33,Party Next Door,Dangbana Republik
28,34,Confident,Savage
29,35,Praise God,Kanye West
30,36,Jonah,Kanye West
31,37,Bling (feat. Amaarae & Buju),Blaqbonez
32,38,Clash,Dave
33,39,Testimony,Buju
34,40,Ginger (feat. Burna Boy),Wizkid
35,41,Felony,CKay
36,42,Dimension (feat. Skepta & Rema),Jae5
37,43,Moon,Kanye West
38,44,System,Dave
39,45,Reckless,Wizkid
40,46,God Breathed,Kanye West
41,47,It Is What It Is,Adekunle Gold
42,48,LV N ATTN feat. Wizkid,Lojay
43,49,No Child Left Behind,Kanye West
44,50,Ok Ok,Kanye West
45,51,Remote Control,Kanye West
46,52,Blessed (feat. Damian Marley),Wizkid
47,53,HUSTLE,Teni
48,54,Coming,Naira Marley
49,55,Colorado,Zugo
50,56,Sisi,Geminigh
51,57,Abu Dhabi,Ruger
52,58,Forever (Remix),Gyakie
53,59,Oliver Twist,ArrDee
54,60,Kilometre,Burna Boy
55,61,Believe What I Say,Kanye West
56,62,Hallelu,Masterkraft
57,63,Junya,Kanye West
58,64,Bounce,Rema
59,65,Jesus Lord,Kanye West
60,66,RAPSTAR,POLO G
61,67,Mercy,Falz
62,68,Donda,Kanye West
63,69,Pure Souls,Kanye West
64,70,24,Kanye West
65,71,Wid It,Tion Wayne
66,72,Far Away,Dangbana Republik
67,73,Cast (Gen Z Anthem),Ayra Starr
68,74,Alubarika,Zlatan
69,75,So Cold,Bella Shmurda
70,76,Beggie Beggie,Ayra Starr
71,77,Drug Test,Naira Marley
72,78,Longtime (feat. Skepta),Wizkid
73,79,Heaven and Hell,Kanye West
74,80,Keep My Spirit Alive,Kanye West
75,81,Lazarus,Dave
76,82,Fire Fighter,Kashcoming
77,83,Need To Know,Doja Cat
78,84,Loved By You,Justin Bieber
79,85,Show Me,Joeboy
80,86,Lord I Need You,Kanye West
81,87,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
82,88,Bad Habits,Ed Sheeran
83,89,Mighty Wine,Wizkid
84,90,Kilofeshe,Zinoleesky
85,91,Somebody Baby,Peruzzi
86,92,MONTERO (Call Me By Your Name),Lil Nas X
87,93,Infinity,Olamide
