,Position,song,artist
0,1,Essence (feat. Justin Bieber & Tems),Wizkid
1,2,Understand,Omah lay
2,3,Lie,Kizz Daniel
3,4,Peru,Fireboy Dml
4,5,Sinner,Adekunle Gold
5,6,Bounce,Ruger
6,7,Monalisa,Lojay
7,8,Feel Good,MohBad
8,9,Outside,Buju
9,10,Big Thug Boys,AV
10,11,Bloody Samaritan,Ayra Starr
11,12,Feeling,LADIPOE
12,13,Naira Marley,Zinoleesky
13,14,Ojuju,Oxlade
14,15,Soundgasm,Rema
15,16,Rock,Olamide
16,17,INDUSTRY BABY,Lil Nas X
17,18,Fashion Killer,Ayra Starr
18,19,Essence (feat. Tems),Wizkid
19,20,Clash,Dave
20,21,Medicine,Jaywillz
21,22,Yaba Buluku (Remix),DJ Tárico
22,23,Confident,Savage
23,24,Testimony,Buju
24,25,Bling (feat. Amaarae & Buju),Blaqbonez
25,31,It Is What It Is,Adekunle Gold
26,32,System,Dave
27,33,Cocaine,Dai Verse
28,34,Drug Test,Naira Marley
29,35,Coming,Naira Marley
30,36,Beggie Beggie,Ayra Starr
31,37,Mercy,Falz
32,38,LV N ATTN feat. Wizkid,Lojay
33,39,Forever (Remix),Gyakie
34,40,Abu Dhabi,Ruger
35,41,Oliver Twist,ArrDee
36,42,Kilometre,Burna Boy
37,43,Bounce,Rema
38,44,Ke Star (Remix),Focalistic
39,45,Far Away,Dangbana Republik
40,46,Ile Aye (This Life),Josseyan-tizzy
41,47,Lazarus,Dave
42,48,Alubarika,Zlatan
43,49,Hallelu,Masterkraft
44,50,RAPSTAR,POLO G
45,51,Loved By You,Justin Bieber
46,52,HUSTLE,Teni
47,53,Kilofeshe,Zinoleesky
48,54,Motley Crew,Post Malone
49,55,Lonely,Ayra Starr
50,56,Show Me,Joeboy
51,57,All,Rexxie
52,58,PonPon,Olamide
53,59,Ginger (feat. Burna Boy),Wizkid
54,60,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
55,61,MONTERO (Call Me By Your Name),Lil Nas X
56,62,Somebody Baby,Peruzzi
57,63,Tonongo,Lojay
58,64,Call Me Baby,Cheque
59,65,Infinity,Olamide
60,66,Anyone,Justin Bieber
61,67,Celebrate Me,Patoranking
62,68,Pronto,Ajebo Hustlers
63,69,FOR YOU,Teni
64,70,History,Cheque
65,71,Godly,Omah lay
66,72,Snitch,Ayra Starr
67,73,La La (feat. Ckay),DaVido
68,74,Bad Habits,Ed Sheeran
69,75,Need To Know,Doja Cat
70,76,Peaches,Justin Bieber
71,77,Bridgertn,Ayra Starr
72,78,Toxic,Ayra Starr
73,79,KOLO (feat. Oxlade),Ice Prince
74,80,Wade In The Water (Live),The Spirituals
75,81,Law Of Attraction,Dave
76,82,Karma,Ayra Starr
77,83,Yafun Yafun,Ajebo Hustlers
78,84,KPK (Ko Por Ke),Rexxie
79,85,Running (To You),Chike
80,86,23,Burna Boy
81,87,Verdansk,Dave
82,88,Damages,Tems
83,89,In Between,Ayra Starr
84,90,Heartbreak Anniversary,Giveon
85,91,Focus,Joeboy
86,92,We're All Alone,Dave
87,93,Petite,NSG
