Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling
2,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
3,La go,Kiff No Beat,La go
4,Jack,Nasty C,Jack
5,In My Bed,"Rotimi, Wale",The Beauty of Becoming
6,Omo X 100,"Reminisce, Olamide",Omo X 100
7,Coachella,"Sarkodie, Kwesi Arthur",Coachella
8,Forever,"Frank Casino, Riky Rick",Forever
9,All My Life (feat. Oxlade),"M.I Abaga, Oxlade",All My Life (feat. Oxlade)
10,Pockets,Octopizzo,Pockets
11,Ghetto (feat. Nasty C),"Kizz Daniel, Nasty C",No Bad Songz
12,Vibration,"Sarkodie, Vic Mensa",Vibration
13,Decisions,"Jay Bahd, Sean Lifer",RETURN OF OKOMFO ANOKYE
14,Tycoon,"Show Dem Camp, Reminisce, Mojo",Clone Wars Vol. 5 - The Algorhythm
15,Champion,"Fireboy Dml, D Smoke",APOLLO
16,Hustlers Prayer (feat. A-Reece),"25K, A-Reece",Hustlers Prayer (feat. A-Reece)
17,My Crew,"Kiiwii, Lil5ive",My Crew (feat. Lil5ive)
18,"Keja (feat. Munyakx, Nare & Boutross)","Juicee Man, Munyakx, Nar̩, Boutross","Keja (feat. Munyakx, Nare & Boutross)"
19,Rise Of The Underdogs 2,"Show Dem Camp, Tomi Thomas",Rise Of The Underdogs 2
20,Best I Ever Had,Nasty C,Best I Ever Had
21,Euphoria,PsychoYP,Euphoria
22,Kokonsa,"Omar Sterling, Kwesi Arthur",Same Earth Different Worlds
23,RBG,Elzo Jamdong,RBG
24,Eazy,Nasty C,Eazy
25,Money Calling,"P Montana, Kofi Jamar, Suspect OTB",Money Calling
26,DKM (Ma Pa Mi),"Loti, PsychoYP, EESKAY, Magna.",DKM (Ma Pa Mi)
27,Heartbreaker (feat. Nasty C),"Blaqbonez, Nasty C",Sex Over Love
28,Bazenga,Ethic Entertainment,Bazenga
29,Y3 Y3 DOM,"Jay Bahd, Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga, O'Kenneth","Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)"
30,Fierce,"Laycon, Reminisce, Chinko Ekun",Who Is Laycon?
31,I Want,"Chris Kaiga, Mutoriah",I Want
32,Breathe,"A-Q, Chike",GOLDEN
33,First Sermon,Black Sherif,First Sermon
34,Ye x4,"Blxckie, Nasty C",B4Now
35,Slow Wine,"Acebergtm, Mstruff",Far from Home
36,Long Way,Emtee,LOGAN
37,W.A.G (feat. Sarkodie & Youssoupha),"Rouge, Sarkodie, Youssoupha",W.A.G (feat. Sarkodie & Youssoupha)
38,Winning,"Kwesi Arthur, Vic Mensa",Winning
39,Crown Of Clay,"Vector, MI Abaga, Pheelz",Crown Of Clay
40,Nikwa Ni Shoke,Khaligraph Jones,Nikwa Ni Shoke
41,Ama,Medikal,Ama
42,Wavy (feat. Sarkodie),"Khaligraph Jones, Sarkodie",Wavy (feat. Sarkodie)
43,Sinner,"Smallgod, Headie One, O'Kenneth, Kwaku DMC, Lp2loose",Sinner
44,Sore (Remix),"Yaw Tog, Stormzy, Kwesi Arthur",Sore (Remix)
45,Dumelang,Tumi Tladi,Dumelang
46,East To West,"Dremo, Jeriq",Ea$t N We$t
47,"Loose Guard (I See, I Saw) (Remix)","Legendary Styles, Falz","Loose Guard (I See, I Saw) (Remix)"
48,Another Level,Olamide,Carpe Diem
49,Lemme Know (Remix),"LADIPOE, Teni",Lemme Know (Remix)
50,Village To City,"Alpha Bankz, Khountri Boss",The Village Dream
