,Position,song,artist
0,1,Understand,Omah lay
1,2,Sinner,Adekunle Gold
2,3,Bounce,Ruger
3,4,Feeling,LADIPOE
4,5,INDUSTRY BABY,Lil Nas X
5,6,Outside,Buju
6,7,System,Dave
7,8,Clash,Dave
8,9,Soundgasm,Rema
9,10,Rock,Olamide
10,11,Big Thug Boys,AV
11,12,Monalisa,Lojay
12,13,Peru,Fireboy Dml
13,14,Lazarus,Dave
14,15,Feel Good,MohBad
15,16,Naira Marley,Zinoleesky
16,17,Essence (feat. Tems),Wizkid
17,18,Testimony,Buju
18,19,Confident,Savage
19,20,Party Next Door,Dangbana Republik
20,21,Yaba Buluku (Remix),DJ Tárico
21,22,Bling (feat. Amaarae & Buju),Blaqbonez
22,23,It Is What It Is,Adekunle Gold
23,24,Dimension (feat. Skepta & Rema),Jae5
24,25,We're All Alone,Dave
25,26,Felony,CKay
26,27,Verdansk,Dave
27,28,Law Of Attraction,Dave
28,29,Oliver Twist,ArrDee
29,30,Coming,Naira Marley
30,31,LV N ATTN feat. Wizkid,Lojay
31,32,In The Fire,Dave
32,33,Both Sides Of A Smile,Dave
33,34,Forever (Remix),Gyakie
34,35,Twenty To One,Dave
35,36,Far Away,Dangbana Republik
36,37,Medicine,Jaywillz
37,38,Kilometre,Burna Boy
38,39,Pronto,Ajebo Hustlers
39,40,Cocaine,Dai Verse
40,41,Ke Star (Remix),Focalistic
41,42,Three Rivers,Dave
42,43,Abu Dhabi,Ruger
43,44,Show Me,Joeboy
44,45,Heart Attack,Dave
45,46,Bounce,Rema
46,47,Somebody Baby,Peruzzi
47,48,Loved By You,Justin Bieber
48,49,History,Cheque
49,50,Running (To You),Chike
50,51,Hallelu,Masterkraft
51,52,STAY,The Kid Laroi
52,53,FOR YOU,Teni
53,54,KPK (Ko Por Ke),Rexxie
54,55,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
55,56,Ginger (feat. Burna Boy),Wizkid
56,57,PonPon,Olamide
57,58,RAPSTAR,POLO G
58,59,Tonongo,Lojay
59,60,Kilofeshe,Zinoleesky
60,61,MONTERO (Call Me By Your Name),Lil Nas X
61,62,HUSTLE,Teni
62,63,All,Rexxie
63,64,Infinity,Olamide
64,65,Runaway,AURORA
65,66,Peaches,Justin Bieber
66,67,Survivor's Guilt,Dave
67,68,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
68,69,Godly,Omah lay
69,70,Bad Habits,Ed Sheeran
70,71,Yafun Yafun,Ajebo Hustlers
71,72,23,Burna Boy
72,73,KOLO (feat. Oxlade),Ice Prince
73,74,World,Dangbana Republik
74,75,Focus,Joeboy
75,76,Celebrate Me,Patoranking
76,77,Rush,Dangbana Republik
77,78,Early Momo,Vector
78,79,Astronaut In The Ocean,Masked Wolf
79,80,Lemonade,Internet money
80,81,Blessed (feat. Damian Marley),Wizkid
81,82,Out There,Dangbana Republik
82,83,Late At Night,Roddy Ricch
83,84,Heartbreak Anniversary,Giveon
84,85,ROCKSTAR,DaBaby
85,86,La La (feat. Ckay),DaVido
86,87,Solace,Ajebo Hustlers
87,88,Bout A Million,Pop Smoke
88,89,Bad Influence,Omah lay
89,90,Commitment Issues,Central Cee
90,91,Dior,Pop Smoke
91,92,Damages,Tems
92,93,Motley Crew,Post Malone
93,94,Real Life,Burna Boy
94,95,The Best (feat. Mayorkun),DaVido
95,96,All In,Nasty C
96,97,Leave The Door Open,Bruno Mars
97,98,Ruger,Ruger
98,99,Calling My Phone,Lil Tjay
99,100,Julie,Olamide
