,Position,song,artist
0,1,Peru,Fireboy Dml
1,2,Bloody Samaritan,Ayra Starr
2,3,Mood (feat. Buju),Wizkid
3,4,Understand,Omah lay
4,5,High,Adekunle Gold
5,6,Lie,Kizz Daniel
6,7,Anoti,Wizkid
7,8,Feel Good,MohBad
8,9,Question,Burna Boy
9,10,Monalisa,Lojay
10,11,Essence (feat. Justin Bieber & Tems),Wizkid
11,12,Sinner,Adekunle Gold
12,13,Bounce,Ruger
13,14,Crazy Tings,Tems
14,15,Cocaine,Dai Verse
15,16,Outside,Buju
16,17,Big Thug Boys,AV
17,18,Fountains,Drake
18,19,Feeling,LADIPOE
19,20,Fashion Killer,Ayra Starr
20,21,Girls Want Girls,Drake
21,22,Naira Marley,Zinoleesky
22,23,Ojuju,Troniq Music
23,24,Soundgasm,Rema
24,25,Let Me Know,Mayorkun
25,31,Fair Trade,Drake
26,32,Yaba Buluku (Remix),DJ Tárico
27,33,Confident,Savage
28,34,STAY,The Kid Laroi
29,35,Clash,Dave
30,36,Party Next Door,Dangbana Republik
31,37,Hurricane,Kanye West
32,38,Testimony,Buju
33,39,Felony,CKay
34,40,Bling (feat. Amaarae & Buju),Blaqbonez
35,41,Way 2 Sexy,Drake
36,42,Dimension (feat. Skepta & Rema),Jae5
37,43,Àkọ́kọ́,Brymo
38,44,Méjì Méjì,Brymo
39,45,System,Dave
40,46,Champagne Poetry,Drake
41,47,So Cold,Bella Shmurda
42,48,It Is What It Is,Adekunle Gold
43,49,Essence (feat. Tems),Wizkid
44,50,Abu Dhabi,Ruger
45,51,Tèmi Nì Tèmi,Brymo
46,52,LOML,Cheque
47,53,Coming,Naira Marley
48,54,Ọkùnrin Mẹ́ta (Ẹ̀dùn Ọkàn),Brymo
49,55,Cast (Gen Z Anthem),Ayra Starr
50,56,HUSTLE,Teni
51,57,Ginger (feat. Burna Boy),Wizkid
52,58,In The Bible,Drake
53,59,Jail,Kanye West
54,60,Hallelu,Masterkraft
55,61,Oliver Twist,ArrDee
56,62,Beggie Beggie,Ayra Starr
57,63,Love All,Drake
58,64,Forever (Remix),Gyakie
59,65,Mercy,Falz
60,66,Alelúyà Méje,Brymo
61,67,Drug Test,Naira Marley
62,68,Far Away,Dangbana Republik
63,69,Ọkán Mi Ti Fọ́ Wẹ́wẹ́,Brymo
64,70,Kilometre,Burna Boy
65,71,Need To Know,Doja Cat
66,72,Show Me,Joeboy
67,73,LV N ATTN feat. Wizkid,Lojay
68,74,RAPSTAR,POLO G
69,75,Òkùnkùn,Brymo
70,76,Alubarika,Zlatan
71,77,TSU,Drake
72,78,Infinity,Olamide
73,79,Papi’s Home,Drake
74,80,Bounce,Rema
75,81,Wid It,Tion Wayne
76,82,7am On Bridle Path,Drake
77,83,MAKAVELI,T-Classic
78,84,family ties,Baby Keem
79,85,Fura Sára,Brymo
80,86,Blessed (feat. Damian Marley),Wizkid
81,87,Loved By You,Justin Bieber
82,88,Reckless,Wizkid
83,89,Colorado,Zugo
84,90,Lazarus,Dave
85,91,odo,Johnny Drille
86,92,Knife Talk,Drake
87,93,Bad Habits,Ed Sheeran
